Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 101;
005575690_00115 (imageset: 186974E0-8092-48E2-B969-E3323F28D31D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/186974E0-8092-48E2-B969-E3323F28D31D/batches/4A844A4B-BFFA-48EC-A6BB-5D2AA5845A46]
005575690_00114 (imageset: 186974E0-8092-48E2-B969-E3323F28D31D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/186974E0-8092-48E2-B969-E3323F28D31D/batches/4A844A4B-BFFA-48EC-A6BB-5D2AA5845A46]
005607584_00231 (imageset: CD4DA92C-1610-4D92-857F-7F32C80AF5E7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/CD4DA92C-1610-4D92-857F-7F32C80AF5E7/batches/995647A1-C02B-4759-842B-EC6590F2456D]
005575727_00050 (imageset: 22C1420C-38B2-401C-8477-39956C06F73D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/22C1420C-38B2-401C-8477-39956C06F73D/batches/448FBEB5-BA3B-40B5-BFDF-D4E94BD00850]
005575690_00113 (imageset: 186974E0-8092-48E2-B969-E3323F28D31D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/186974E0-8092-48E2-B969-E3323F28D31D/batches/4A844A4B-BFFA-48EC-A6BB-5D2AA5845A46]
005607584_00232 (imageset: CD4DA92C-1610-4D92-857F-7F32C80AF5E7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/CD4DA92C-1610-4D92-857F-7F32C80AF5E7/batches/995647A1-C02B-4759-842B-EC6590F2456D]
005575690_00112 (imageset: 186974E0-8092-48E2-B969-E3323F28D31D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/186974E0-8092-48E2-B969-E3323F28D31D/batches/4A844A4B-BFFA-48EC-A6BB-5D2AA5845A46]
005575690_00111 (imageset: 186974E0-8092-48E2-B969-E3323F28D31D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/186974E0-8092-48E2-B969-E3323F28D31D/batches/4A844A4B-BFFA-48EC-A6BB-5D2AA5845A46]
005607584_00230 (imageset: CD4DA92C-1610-4D92-857F-7F32C80AF5E7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4CAA937A-776C-4B1F-8329-6F0E6D8EDF9B/manage/CD4DA92C-1610-4D92-857F-7F32C80AF5E7/batches/995647A1-C02B-4759-842B-EC6590F2456D]
