Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 295;
101501009 (A03807C4-1C12-4EF6-A6A0-1687E84F035F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/A03807C4-1C12-4EF6-A6A0-1687E84F035F/batches/list]
101531062 (7E420283-830A-44EB-9085-59288997A0CA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/7E420283-830A-44EB-9085-59288997A0CA/batches/list]
101531044 (52B0020B-8679-467D-8493-C87006BD3A2F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/52B0020B-8679-467D-8493-C87006BD3A2F/batches/list]
101530940 (CDE913F6-129A-49D7-80EF-7E2071F349CF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/CDE913F6-129A-49D7-80EF-7E2071F349CF/batches/list]
101530923 (DABE3B55-C167-4550-BDD5-55B03605127F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/DABE3B55-C167-4550-BDD5-55B03605127F/batches/list]
101501494 (71C0762A-4917-4CE1-A8F0-C2CF99CA7D5D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/71C0762A-4917-4CE1-A8F0-C2CF99CA7D5D/batches/list]
101501085 (E5BC89BA-202C-417D-A6F9-D578006DD02A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/E5BC89BA-202C-417D-A6F9-D578006DD02A/batches/list]
101531026 (9E411B78-B3B4-425F-98F7-A29752F451D6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/9E411B78-B3B4-425F-98F7-A29752F451D6/batches/list]
101501490 (56A5C56F-A41C-4144-90A9-FEC58EE3F6E6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/56A5C56F-A41C-4144-90A9-FEC58EE3F6E6/batches/list]
101530916 (3F6F063B-4F60-4635-84C1-ACBF879509F7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/3F6F063B-4F60-4635-84C1-ACBF879509F7/batches/list]
101501004 (D2AAADBA-EB7F-47B4-94F6-0B6C29B4464F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/D2AAADBA-EB7F-47B4-94F6-0B6C29B4464F/batches/list]
101501047 (090FA35B-ACE1-43E4-BDB7-D7E312AD5BCC);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/090FA35B-ACE1-43E4-BDB7-D7E312AD5BCC/batches/list]
101500994 (E6EF6D5A-6468-46C9-9D3A-899EE27C8743);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/E6EF6D5A-6468-46C9-9D3A-899EE27C8743/batches/list]
101501075 (2C94BA67-3050-46A9-A90D-B5BF4CFD67F2);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/2C94BA67-3050-46A9-A90D-B5BF4CFD67F2/batches/list]
101501431 (3BB18D9E-8A3D-4B94-B3ED-F626142CC54A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/3BB18D9E-8A3D-4B94-B3ED-F626142CC54A/batches/list]
101500989 (34C3A246-46B3-4FE7-95C9-44A4F8F53B2E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/34C3A246-46B3-4FE7-95C9-44A4F8F53B2E/batches/list]
101501384 (1A8C1456-217B-4674-85C0-B5227E794B35);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/1A8C1456-217B-4674-85C0-B5227E794B35/batches/list]
101531019 (AA3347FF-72EF-4FD4-ADE7-5C77D8FE6259);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/AA3347FF-72EF-4FD4-ADE7-5C77D8FE6259/batches/list]
101501408 (E2F4A36A-3A46-4719-B4A7-8FC49E6EF247);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/E2F4A36A-3A46-4719-B4A7-8FC49E6EF247/batches/list]
101501485 (6DF963DD-942B-462E-A1AF-5D98AEBE0471);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/6DF963DD-942B-462E-A1AF-5D98AEBE0471/batches/list]
101500984 (934596D8-99CB-4F80-A73B-35A2817B3B7B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/934596D8-99CB-4F80-A73B-35A2817B3B7B/batches/list]
101501055 (9F401682-93F9-47FB-8632-3D17137AC503);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/9F401682-93F9-47FB-8632-3D17137AC503/batches/list]
101501093 (68F8FFD1-D5CE-4918-B801-E32AC153CA93);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/68F8FFD1-D5CE-4918-B801-E32AC153CA93/batches/list]
101501495 (96DEF594-85EB-48DB-90D7-B3EDC1443FA7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/96DEF594-85EB-48DB-90D7-B3EDC1443FA7/batches/list]
101501045 (54E6B7AF-E94B-4DE7-ACA8-062C62710149);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/54E6B7AF-E94B-4DE7-ACA8-062C62710149/batches/list]
101500990 (87254156-9C44-403C-A20C-BC86FDDC1443);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/87254156-9C44-403C-A20C-BC86FDDC1443/batches/list]
101531047 (5880E0E5-84F3-4B9B-91EA-7AD55B4EE79C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/5880E0E5-84F3-4B9B-91EA-7AD55B4EE79C/batches/list]
101531003 (0E68E59C-B1B3-47B4-9A4B-9FAF861BAC1E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/0E68E59C-B1B3-47B4-9A4B-9FAF861BAC1E/batches/list]
101531021 (D30E9EF1-6847-4578-B0A7-124118E5EA49);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/D30E9EF1-6847-4578-B0A7-124118E5EA49/batches/list]
101501077 (7F82134B-0B3F-423B-9633-F7876075AD5A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/7F82134B-0B3F-423B-9633-F7876075AD5A/batches/list]
101530943 (42BF87C6-0405-4FC7-8075-02BF50B6E7CD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/42BF87C6-0405-4FC7-8075-02BF50B6E7CD/batches/list]
101530909 (009639C8-E29D-49CA-B2AB-CA7842330CDA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/009639C8-E29D-49CA-B2AB-CA7842330CDA/batches/list]
101530952 (341AD296-7F67-4B24-B864-54C14F3206C6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/4D531E44-4DFA-4923-A5B8-43A9A1AD4C3E/manage/341AD296-7F67-4B24-B864-54C14F3206C6/batches/list]
