Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 484;
100441125_00278 (imageset: 60CA1EAF-50DC-4A89-8B29-3785429CBA38);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/60CA1EAF-50DC-4A89-8B29-3785429CBA38/batches/25FC6162-6496-41FB-ABA4-0583C33B45F8]
100428574_00181 (imageset: 477834E3-C516-4322-9057-4FD46DEC8449);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/477834E3-C516-4322-9057-4FD46DEC8449/batches/D959E1D3-DB3F-48F8-909B-E39250B0E1E4]
100478387_00194 (imageset: 6958976D-D25B-4746-B32B-CC5BC70A447F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/6958976D-D25B-4746-B32B-CC5BC70A447F/batches/75A9A2EB-4869-4E47-9AB0-4D4C3C9A9146]
100441125_00279 (imageset: 60CA1EAF-50DC-4A89-8B29-3785429CBA38);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/60CA1EAF-50DC-4A89-8B29-3785429CBA38/batches/25FC6162-6496-41FB-ABA4-0583C33B45F8]
100478387_00196 (imageset: 6958976D-D25B-4746-B32B-CC5BC70A447F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/6958976D-D25B-4746-B32B-CC5BC70A447F/batches/75A9A2EB-4869-4E47-9AB0-4D4C3C9A9146]
100428566_00081 (imageset: ADC07B92-65C6-4AE5-9712-024BCDA0E44A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/ADC07B92-65C6-4AE5-9712-024BCDA0E44A/batches/125A9D05-8041-4956-B0B8-D430B41B338E]
100428566_00083 (imageset: ADC07B92-65C6-4AE5-9712-024BCDA0E44A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/ADC07B92-65C6-4AE5-9712-024BCDA0E44A/batches/125A9D05-8041-4956-B0B8-D430B41B338E]
100441127_00332 (imageset: 67CDEDA1-5162-408F-88B9-0679904CAB11);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/67CDEDA1-5162-408F-88B9-0679904CAB11/batches/33022D45-59F2-405D-B850-8FB4E88609FB]
100441127_00331 (imageset: 67CDEDA1-5162-408F-88B9-0679904CAB11);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/67CDEDA1-5162-408F-88B9-0679904CAB11/batches/33022D45-59F2-405D-B850-8FB4E88609FB]
100441127_00330 (imageset: 67CDEDA1-5162-408F-88B9-0679904CAB11);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/4F02454B-27D4-4880-83E1-EA168DF69183/manage/67CDEDA1-5162-408F-88B9-0679904CAB11/batches/33022D45-59F2-405D-B850-8FB4E88609FB]
