Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1600;
102484018_00650 (imageset: 8AD7D7F9-1A06-4D5F-BE9F-DC4D0EFE9ABC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/8AD7D7F9-1A06-4D5F-BE9F-DC4D0EFE9ABC/batches/52F7C4FB-D038-4F1C-9153-DD92AA339212]
102471880_01093 (imageset: 2DF657D7-CFA3-4E1C-B9D4-2E01C8248CC1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/2DF657D7-CFA3-4E1C-B9D4-2E01C8248CC1/batches/C88BDFBE-0F02-4561-9076-05D0DA04EF16]
102380334_00677 (imageset: C0B10079-E7E4-4E9C-887A-406B8DDFDA1D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/C0B10079-E7E4-4E9C-887A-406B8DDFDA1D/batches/B17DB5DD-2D2B-438F-A0D5-294857905AEE]
102321383_00777 (imageset: 877DC278-71FD-41E8-AF8E-601B51D51B76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/877DC278-71FD-41E8-AF8E-601B51D51B76/batches/6A160DBC-033F-4A25-8FC0-77C83200D48A]
102258448_00852 (imageset: DEC352EE-B7FE-4F5C-8CDF-3965FFB75F44);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/DEC352EE-B7FE-4F5C-8CDF-3965FFB75F44/batches/97193AF4-6C71-445A-A1CA-476A9DD93C79]
102321383_00301 (imageset: 877DC278-71FD-41E8-AF8E-601B51D51B76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/877DC278-71FD-41E8-AF8E-601B51D51B76/batches/377267AE-7943-4BDB-8761-B54C23FA0F15]
102321383_00302 (imageset: 877DC278-71FD-41E8-AF8E-601B51D51B76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/877DC278-71FD-41E8-AF8E-601B51D51B76/batches/97A395FE-6335-45D2-B851-211B4CE7A3B1]
102504788_00718 (imageset: 7B4BAC4F-A42F-4280-8077-176562E7868B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/7B4BAC4F-A42F-4280-8077-176562E7868B/batches/56581185-D082-4C3B-B207-6B49DDF0FDB5]
102122929_00081 (imageset: 3032EE1F-174D-45F6-A77E-337A48D22DCA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/3032EE1F-174D-45F6-A77E-337A48D22DCA/batches/1BD15D44-6A81-4CE5-95E7-B2DC7B8B6949]
102339701_00015 (imageset: 4D410EF4-07AF-4C74-864A-CC2E78BA43C2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/4D410EF4-07AF-4C74-864A-CC2E78BA43C2/batches/C5711DBF-25F5-4383-A983-6E79E0A33572]
102274159_00308 (imageset: 9D4A7943-08C9-4B49-9690-F6F137300B93);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/9D4A7943-08C9-4B49-9690-F6F137300B93/batches/105D43D5-30CD-4E69-9F6F-692483020ADD]
102504788_00713 (imageset: 7B4BAC4F-A42F-4280-8077-176562E7868B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/7B4BAC4F-A42F-4280-8077-176562E7868B/batches/0FA90B62-0DBD-4482-9982-64FD94C8A3ED]
102258448_00408 (imageset: DEC352EE-B7FE-4F5C-8CDF-3965FFB75F44);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/DEC352EE-B7FE-4F5C-8CDF-3965FFB75F44/batches/F6CB12CB-3269-475D-AC5F-E752A822FAD9]
102471880_01076 (imageset: 2DF657D7-CFA3-4E1C-B9D4-2E01C8248CC1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/2DF657D7-CFA3-4E1C-B9D4-2E01C8248CC1/batches/0CDA9835-B5D7-4741-B148-4613CFAE1EAF]
102380338_00811 (imageset: 33B98118-6C04-4CB7-94FF-1C77BDB288FA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/33B98118-6C04-4CB7-94FF-1C77BDB288FA/batches/56D8D30B-E0AB-4779-9E05-2CB92FAE5ECA]
102180021_00744 (imageset: 1C630CBC-F2EC-4335-99BE-8D15E02D4096);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5098AA75-BBF6-429E-B404-A046CF661C18/manage/1C630CBC-F2EC-4335-99BE-8D15E02D4096/batches/C5D9168F-A898-4733-BE81-83FC75F7888F]
