Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 3;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 78;
004868265_01760 (imageset: 3C587378-A7EB-4D1A-A949-BB2248C39432);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/3C587378-A7EB-4D1A-A949-BB2248C39432/batches/8EDED83A-DF44-499A-A0C2-E8D321A79235]
004871646_00843 (imageset: E5C27D52-F108-4D94-8BD1-17C1C6206574);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/E5C27D52-F108-4D94-8BD1-17C1C6206574/batches/A34E8DDE-138D-4BF6-A09F-69B9AF75765E]
004856402_01689 (imageset: 74D82441-B086-4E17-A343-0179BAF3259B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/74D82441-B086-4E17-A343-0179BAF3259B/batches/E2B307C2-A40A-41C2-ACCF-D5810DF5640B]
004868265_01763 (imageset: 3C587378-A7EB-4D1A-A949-BB2248C39432);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/3C587378-A7EB-4D1A-A949-BB2248C39432/batches/8EDED83A-DF44-499A-A0C2-E8D321A79235]
004868265_01762 (imageset: 3C587378-A7EB-4D1A-A949-BB2248C39432);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/3C587378-A7EB-4D1A-A949-BB2248C39432/batches/8EDED83A-DF44-499A-A0C2-E8D321A79235]
004856001_00744 (imageset: 2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330/batches/7315C709-23A2-461F-91A7-AC3275D855FB]
004871645_00753 (imageset: 190FB99F-595C-4D18-BD73-1F267C4102CD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/190FB99F-595C-4D18-BD73-1F267C4102CD/batches/7F8071EE-3DF3-404D-8F2F-675C3CAC0D55]
004856001_00745 (imageset: 2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330/batches/7315C709-23A2-461F-91A7-AC3275D855FB]
004856001_00742 (imageset: 2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330/batches/7315C709-23A2-461F-91A7-AC3275D855FB]
004856214_00930 (imageset: 48E83446-31D3-4ECB-BF99-C8AF45823F0B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/48E83446-31D3-4ECB-BF99-C8AF45823F0B/batches/83766FB7-0460-4E6B-A125-FBA05F021EAA]
004871828_01557 (imageset: 3A32840F-80E9-4B7D-87AB-7299C4B2CABD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/3A32840F-80E9-4B7D-87AB-7299C4B2CABD/batches/D3BFF0E6-EED2-4D58-A45D-FE0DE8F64B09]
004871666_01374 (imageset: 3EC41A75-BABD-4681-AD77-BE262D238860);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/3EC41A75-BABD-4681-AD77-BE262D238860/batches/B129EFBB-39B1-4471-9067-3FA26D4B7DEE]
004856001_00743 (imageset: 2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330/batches/7315C709-23A2-461F-91A7-AC3275D855FB]
004856437_01781 (imageset: 9424119C-FC7A-400F-98AE-2BCDBCE88E11);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/9424119C-FC7A-400F-98AE-2BCDBCE88E11/batches/78B2AEEC-96A3-4157-9731-8257020FC3CB]
004871633_00333 (imageset: D1F457B5-EADC-4E64-8BE5-F3C5C2B88DEB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/D1F457B5-EADC-4E64-8BE5-F3C5C2B88DEB/batches/D16565FA-00B4-4135-B6D1-3D2AF0966EA3]
004871667_01153 (imageset: 3297D1FA-38F3-4A3A-A71A-D24FD69CECD7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/3297D1FA-38F3-4A3A-A71A-D24FD69CECD7/batches/92CE0BBD-577D-45F5-8154-BA9D6875AE98]
004856001_00749 (imageset: 2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330/batches/7315C709-23A2-461F-91A7-AC3275D855FB]
004856001_00746 (imageset: 2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330/batches/7315C709-23A2-461F-91A7-AC3275D855FB]
004871667_01151 (imageset: 3297D1FA-38F3-4A3A-A71A-D24FD69CECD7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/3297D1FA-38F3-4A3A-A71A-D24FD69CECD7/batches/92CE0BBD-577D-45F5-8154-BA9D6875AE98]
004856001_00747 (imageset: 2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/2FEFBB7C-E8D6-4151-AF58-C4D14F4D0330/batches/7315C709-23A2-461F-91A7-AC3275D855FB]
004870625_01678 (imageset: 186FA260-C1CF-443B-BB21-00284A588C91);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/186FA260-C1CF-443B-BB21-00284A588C91/batches/7B8089A2-F940-40DB-A524-3DC5DBA50EA2]
004856010_01577 (imageset: E76D84A6-090A-4C51-8631-964C5EC76C0D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/E76D84A6-090A-4C51-8631-964C5EC76C0D/batches/509181A4-715F-4AE3-8684-91B957E0D0DF]
004856271_01599 (imageset: 310C768F-F3DA-46E3-8F3C-CFFB886B0EF0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5148D244-BB6F-42F6-9FEA-1F15D76732E8/manage/310C768F-F3DA-46E3-8F3C-CFFB886B0EF0/batches/6E03B480-9A5D-4169-B0B6-C4B01B700A0A]
