Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 4;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 76;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 3;
515A4E71-0279-4ADE-8BD7-9F54BB2C9B64;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https:///www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/overview]
18AACCE4-16E1-4847-9930-7DA3340299EB;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/18AACCE4-16E1-4847-9930-7DA3340299EB]
D26B43E7-229B-4092-9932-F1D99DBE453E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/D26B43E7-229B-4092-9932-F1D99DBE453E]
A44A35C8-9AFA-47BE-8E52-D28C661060DF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/A44A35C8-9AFA-47BE-8E52-D28C661060DF]
99C2CA6F-5929-45EA-B7E1-F0EB7DAAB607;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/99C2CA6F-5929-45EA-B7E1-F0EB7DAAB607]
004112229_00328 (imageset: 497BF6E7-2019-4717-A910-1EB5DB549A4B);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/6A4F436D-1BDD-411F-A01A-FAD1EDD71158]
004112229_01180 (imageset: 497BF6E7-2019-4717-A910-1EB5DB549A4B);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/6A4F436D-1BDD-411F-A01A-FAD1EDD71158]
004112229_01330 (imageset: 497BF6E7-2019-4717-A910-1EB5DB549A4B);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/6A4F436D-1BDD-411F-A01A-FAD1EDD71158]
004112229_01331 (imageset: 497BF6E7-2019-4717-A910-1EB5DB549A4B);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/6A4F436D-1BDD-411F-A01A-FAD1EDD71158]
004112229_00242 (imageset: 497BF6E7-2019-4717-A910-1EB5DB549A4B);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/6A4F436D-1BDD-411F-A01A-FAD1EDD71158]
004112229_00240 (imageset: 497BF6E7-2019-4717-A910-1EB5DB549A4B);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/6A4F436D-1BDD-411F-A01A-FAD1EDD71158]
004112229_00326 (imageset: 497BF6E7-2019-4717-A910-1EB5DB549A4B);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/515A4E71-0279-4ADE-8BD7-9F54BB2C9B64/manage/497BF6E7-2019-4717-A910-1EB5DB549A4B/batches/6A4F436D-1BDD-411F-A01A-FAD1EDD71158]
