Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
004560104_00026 (imageset: A8B8C5F9-A12F-4396-B9A9-681906E46F33);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/A8B8C5F9-A12F-4396-B9A9-681906E46F33/batches/8D354272-A22D-42EE-A0B2-C828238266C7]
004560104_00028 (imageset: A8B8C5F9-A12F-4396-B9A9-681906E46F33);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/A8B8C5F9-A12F-4396-B9A9-681906E46F33/batches/8D354272-A22D-42EE-A0B2-C828238266C7]
004560099_00008 (imageset: CC472196-5C60-4046-B324-1902C1EA449B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/CC472196-5C60-4046-B324-1902C1EA449B/batches/730104A4-81CC-4793-B007-F6D58F5D141A]
004560104_00027 (imageset: A8B8C5F9-A12F-4396-B9A9-681906E46F33);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/A8B8C5F9-A12F-4396-B9A9-681906E46F33/batches/8D354272-A22D-42EE-A0B2-C828238266C7]
004560099_00009 (imageset: CC472196-5C60-4046-B324-1902C1EA449B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/CC472196-5C60-4046-B324-1902C1EA449B/batches/730104A4-81CC-4793-B007-F6D58F5D141A]
004560099_00006 (imageset: CC472196-5C60-4046-B324-1902C1EA449B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/CC472196-5C60-4046-B324-1902C1EA449B/batches/730104A4-81CC-4793-B007-F6D58F5D141A]
004560104_00029 (imageset: A8B8C5F9-A12F-4396-B9A9-681906E46F33);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/A8B8C5F9-A12F-4396-B9A9-681906E46F33/batches/8D354272-A22D-42EE-A0B2-C828238266C7]
004560099_00007 (imageset: CC472196-5C60-4046-B324-1902C1EA449B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/CC472196-5C60-4046-B324-1902C1EA449B/batches/730104A4-81CC-4793-B007-F6D58F5D141A]
004560119_00139 (imageset: 4FF1B149-B0EA-47DD-A3ED-B1444D68BBC7);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/528FF5FD-1B49-4FCF-86BA-916AD4A8ACA4/manage/4FF1B149-B0EA-47DD-A3ED-B1444D68BBC7/batches/C5F1F845-1D8C-4526-8DA0-CD8E8AB247F3]
