Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 98;
FD454210-1D2E-4F21-A416-2CA6FEF7806B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/8E9C6818-0156-450D-B5AB-68FA6501AEA3/batches/FD454210-1D2E-4F21-A416-2CA6FEF7806B]
04ABAB4D-8421-4D85-B618-95C69EBC6057;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/2AFBBD31-0F76-4B73-89AE-E6A87852318A/batches/04ABAB4D-8421-4D85-B618-95C69EBC6057]
47E04116-D280-4BAD-BC0F-D352F4974D7F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/1E65A376-26A7-4725-8BCC-58BF14E9E498/batches/47E04116-D280-4BAD-BC0F-D352F4974D7F]
C2D2DB32-0012-4314-AD4C-E9ACE7D669F7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/C2D2DB32-0012-4314-AD4C-E9ACE7D669F7]
39448E72-73AC-4605-AEC3-3256C47C9766;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/2AFBBD31-0F76-4B73-89AE-E6A87852318A/batches/39448E72-73AC-4605-AEC3-3256C47C9766]
15133EBB-194B-4757-AA39-47EFA449FAB9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/59737BFB-7F09-478C-98FA-A1DBBC3EA59F/batches/15133EBB-194B-4757-AA39-47EFA449FAB9]
CADB3F59-7F08-4F97-92AA-B4818E0A6A43;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/CADB3F59-7F08-4F97-92AA-B4818E0A6A43]
6C8F4D01-18D1-43E5-A791-4BE4ED72F3CF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/6C8F4D01-18D1-43E5-A791-4BE4ED72F3CF]
C85B924D-0C07-487C-8465-B976C940AB5B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/C85B924D-0C07-487C-8465-B976C940AB5B]
ECAF70F3-B85C-4592-B3A5-A22AB50637E5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/59737BFB-7F09-478C-98FA-A1DBBC3EA59F/batches/ECAF70F3-B85C-4592-B3A5-A22AB50637E5]
E605B76A-3332-462E-9B95-F2CDC9DB3D3D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/59737BFB-7F09-478C-98FA-A1DBBC3EA59F/batches/E605B76A-3332-462E-9B95-F2CDC9DB3D3D]
2D65F002-67DD-4870-A083-5F910FA80F17;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/8E9C6818-0156-450D-B5AB-68FA6501AEA3/batches/2D65F002-67DD-4870-A083-5F910FA80F17]
F34A846E-029A-411C-95CD-03831AF2C9D1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/8E9C6818-0156-450D-B5AB-68FA6501AEA3/batches/F34A846E-029A-411C-95CD-03831AF2C9D1]
A6BBBF3D-EFDA-4590-944A-60779225BEEE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/8E9C6818-0156-450D-B5AB-68FA6501AEA3/batches/A6BBBF3D-EFDA-4590-944A-60779225BEEE]
FD3052AB-7500-4274-A145-8D1B98D12AAA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/FD3052AB-7500-4274-A145-8D1B98D12AAA]
56560A04-396A-40A3-9000-AFDD3B8FA9BC;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/F2B9306C-61C0-4906-9AA3-67D4068FA800/batches/56560A04-396A-40A3-9000-AFDD3B8FA9BC]
B4FB232F-DC30-4473-80A3-C318AD4B0EFE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/B4FB232F-DC30-4473-80A3-C318AD4B0EFE]
A0CF2401-EF94-4228-A1BF-32A91B992CB2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/B6BE8AA2-C262-4268-BD65-AE13409CC4E3/batches/A0CF2401-EF94-4228-A1BF-32A91B992CB2]
D427D911-CF9B-431E-A988-01495A0CB4B4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/D427D911-CF9B-431E-A988-01495A0CB4B4]
3AE700C4-633D-4DDA-BC1A-398E0C08FE18;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/1E65A376-26A7-4725-8BCC-58BF14E9E498/batches/3AE700C4-633D-4DDA-BC1A-398E0C08FE18]
DB5A6659-F3BD-4EF6-BAED-DC560E8A6D3C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/1E65A376-26A7-4725-8BCC-58BF14E9E498/batches/DB5A6659-F3BD-4EF6-BAED-DC560E8A6D3C]
CD8E6271-D1EA-49BA-8F5C-EC9E3FFAF8E9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/E299AB3C-8C15-4892-80A9-DCFF4542C733/batches/CD8E6271-D1EA-49BA-8F5C-EC9E3FFAF8E9]
8AD041E9-3A84-462F-8F1C-1FA3F9EF7429;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/1E65A376-26A7-4725-8BCC-58BF14E9E498/batches/8AD041E9-3A84-462F-8F1C-1FA3F9EF7429]
4CDBE74F-19F5-4AB8-8E7B-014D5BEE5573;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/4CDBE74F-19F5-4AB8-8E7B-014D5BEE5573]
8BCAC5EF-429D-47B5-B8F6-1CC4AE58CBD8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/F2B9306C-61C0-4906-9AA3-67D4068FA800/batches/8BCAC5EF-429D-47B5-B8F6-1CC4AE58CBD8]
A9929BBC-869C-4C4F-979B-0FF89BF30C46;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/59737BFB-7F09-478C-98FA-A1DBBC3EA59F/batches/A9929BBC-869C-4C4F-979B-0FF89BF30C46]
A3F9B4AB-3BEE-49E8-9C9A-682833E8800C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/DAF943E2-4AA8-4C12-8557-7BE72C18F233/batches/A3F9B4AB-3BEE-49E8-9C9A-682833E8800C]
8E507EBE-009D-42D6-8F4F-1B01FF3768F6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/59737BFB-7F09-478C-98FA-A1DBBC3EA59F/batches/8E507EBE-009D-42D6-8F4F-1B01FF3768F6]
CD3EB07E-E9AD-4DB4-8733-2212B76F2644;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/1E65A376-26A7-4725-8BCC-58BF14E9E498/batches/CD3EB07E-E9AD-4DB4-8733-2212B76F2644]
98D0ABDE-05FF-4869-8BFB-0FAD77AE3AAF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/52E692F1-F281-4515-AAF5-D009972B43FD/manage/F2B9306C-61C0-4906-9AA3-67D4068FA800/batches/98D0ABDE-05FF-4869-8BFB-0FAD77AE3AAF]
