Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_HAS_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 41;
1BB5BF5E-5DB2-4EDD-9A46-ED8183887BF7;BATCH;BATCH_HAS_TOO_MANY_IMAGES;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5424424A-9832-4749-BC4E-7DEDB2078FDC/manage/BB40B9DF-9A17-44AE-8F52-D9EC9970BAE9/batches/1BB5BF5E-5DB2-4EDD-9A46-ED8183887BF7]
5424424A-9832-4749-BC4E-7DEDB2078FDC;PROJECT;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/5424424A-9832-4749-BC4E-7DEDB2078FDC/overview]
005399456_00987 (imageset: D6F36CA6-6209-4954-86DC-71DC8F5BBEAE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5424424A-9832-4749-BC4E-7DEDB2078FDC/manage/D6F36CA6-6209-4954-86DC-71DC8F5BBEAE/batches/ADA3976F-3BC9-4A7C-AC07-74C10BBF00C3]
005399456_00448 (imageset: D6F36CA6-6209-4954-86DC-71DC8F5BBEAE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5424424A-9832-4749-BC4E-7DEDB2078FDC/manage/D6F36CA6-6209-4954-86DC-71DC8F5BBEAE/batches/4232CBAE-3AB9-42F3-B631-59FA646868D8]
005407232_01546 (imageset: C28101D5-AF57-4A3C-839B-97CC8C0B999D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5424424A-9832-4749-BC4E-7DEDB2078FDC/manage/C28101D5-AF57-4A3C-839B-97CC8C0B999D/batches/17E73E89-CC08-4B3F-B0AF-E28333FE38D8]
005407233_00067 (imageset: 5A85E0BC-D8F5-472D-B3EC-E78AF2CF333A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5424424A-9832-4749-BC4E-7DEDB2078FDC/manage/5A85E0BC-D8F5-472D-B3EC-E78AF2CF333A/batches/7BC97078-6226-4775-9CC7-3FA58BD96105]
005399465_00015 (imageset: F96EEE54-8A8D-4C9E-A042-8D0A9510C3AB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5424424A-9832-4749-BC4E-7DEDB2078FDC/manage/F96EEE54-8A8D-4C9E-A042-8D0A9510C3AB/batches/078D5DE5-28FF-4545-ACA8-5C8FFD37F82F]
