Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 10;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 10;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
1E4734F8-C9A1-4528-B9AB-9CA36BD7B34F;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/1E4734F8-C9A1-4528-B9AB-9CA36BD7B34F]
18C323CD-F7F8-4F76-80A2-49509A783E83;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/2ED4A4D9-EF41-4B07-907B-F42DE5A3BC08/batches/18C323CD-F7F8-4F76-80A2-49509A783E83]
18C323CD-F7F8-4F76-80A2-49509A783E83;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/2ED4A4D9-EF41-4B07-907B-F42DE5A3BC08/batches/18C323CD-F7F8-4F76-80A2-49509A783E83]
2D8A1F61-0E8B-4252-8742-95F9BEA1267D;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/2D8A1F61-0E8B-4252-8742-95F9BEA1267D]
172E0EFA-0534-4A7E-A79D-C7E91EEC5AB9;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/172E0EFA-0534-4A7E-A79D-C7E91EEC5AB9]
2F6CC22B-CE3F-468C-A187-DD84A8B94A2E;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/A855BACB-CC80-4C47-AEFE-8E63E4D2FFF5/batches/2F6CC22B-CE3F-468C-A187-DD84A8B94A2E]
2F6CC22B-CE3F-468C-A187-DD84A8B94A2E;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/A855BACB-CC80-4C47-AEFE-8E63E4D2FFF5/batches/2F6CC22B-CE3F-468C-A187-DD84A8B94A2E]
1CCC530C-9014-4314-AD4A-1B5D640BCB63;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/1CCC530C-9014-4314-AD4A-1B5D640BCB63]
238F316B-6D74-474F-BBA1-A0F78A8F0985;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/238F316B-6D74-474F-BBA1-A0F78A8F0985]
358D40E0-9238-4AF7-B452-E52507345FDD;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/358D40E0-9238-4AF7-B452-E52507345FDD]
0277A386-B39D-4BFF-9226-1CF8E2BA4BD5;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/0277A386-B39D-4BFF-9226-1CF8E2BA4BD5]
28AF30C7-C6E0-429C-93EE-EF4B157741D8;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/28AF30C7-C6E0-429C-93EE-EF4B157741D8]
06FD595F-730E-462A-881F-0561623B1A9B;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/06FD595F-730E-462A-881F-0561623B1A9B]
04B5CC10-608F-465D-83AD-3C52E9A8FB1E;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/04B5CC10-608F-465D-83AD-3C52E9A8FB1E]
636492C5-9579-44B7-B7A0-8803BA400270;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/636492C5-9579-44B7-B7A0-8803BA400270]
636492C5-9579-44B7-B7A0-8803BA400270;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/636492C5-9579-44B7-B7A0-8803BA400270]
28AE646B-6280-4673-BE0C-B59AF995D5DA;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/28AE646B-6280-4673-BE0C-B59AF995D5DA]
36D392F3-09EA-49E7-80CD-4E46259DCE60;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/36D392F3-09EA-49E7-80CD-4E46259DCE60]
1A7AEF35-9CA9-4169-9591-D0D422D1BB06;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/1A7AEF35-9CA9-4169-9591-D0D422D1BB06]
0663BD24-6ECD-418A-8901-CBB7319123F7;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/E344BD35-79F2-41A8-BDFD-20C29A776CD0/batches/0663BD24-6ECD-418A-8901-CBB7319123F7]
0663BD24-6ECD-418A-8901-CBB7319123F7;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/E344BD35-79F2-41A8-BDFD-20C29A776CD0/batches/0663BD24-6ECD-418A-8901-CBB7319123F7]
1E0C8540-D640-4426-BFEE-B35F76DFBFD6;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/1E0C8540-D640-4426-BFEE-B35F76DFBFD6]
360EBDAB-DE7E-4183-958E-99D409285728;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/360EBDAB-DE7E-4183-958E-99D409285728]
1D820A2F-895B-44A6-990E-80E581F96471;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/1D820A2F-895B-44A6-990E-80E581F96471]
10FF371D-AD6A-4EE6-BAE5-FD939FB817D2;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/10FF371D-AD6A-4EE6-BAE5-FD939FB817D2]
3BE00E8C-DE2F-480F-9CAB-342C7B36E261;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/3BE00E8C-DE2F-480F-9CAB-342C7B36E261]
3D75A12D-3E28-42CF-879C-9BF53E706DDD;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/3D75A12D-3E28-42CF-879C-9BF53E706DDD]
2371D6D9-33DE-4AAE-9014-4721DFDAB84E;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/2371D6D9-33DE-4AAE-9014-4721DFDAB84E]
06740CD8-6817-4DA2-82D1-7294BF1F4898;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/06740CD8-6817-4DA2-82D1-7294BF1F4898]
0187AEC0-BA03-4D32-B06D-E76225681C1C;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/0187AEC0-BA03-4D32-B06D-E76225681C1C]
322242CF-95B6-4D5E-9A04-1442451F12BE;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/322242CF-95B6-4D5E-9A04-1442451F12BE]
35E51886-54E7-42F0-BD82-7C746DFFEB75;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/35E51886-54E7-42F0-BD82-7C746DFFEB75]
317B8DE0-CBFC-4605-B664-0A3B36D64850;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/54334DC6-F848-4D5D-922D-D5B58FB74820/manage/0E2A880E-F8CD-4229-8F33-B2F09FF223FC/batches/317B8DE0-CBFC-4605-B664-0A3B36D64850]
