Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 23;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
101685878 (7BEBF25F-D7C8-464B-A6F3-632190655725);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/7BEBF25F-D7C8-464B-A6F3-632190655725/batches/list]
101665715 (8199E847-5FF8-4208-83C1-AB91CAC4BF79);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/8199E847-5FF8-4208-83C1-AB91CAC4BF79/batches/list]
101665707 (5A75CBF6-24E3-40DA-9D01-8B0CCE9C201C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/5A75CBF6-24E3-40DA-9D01-8B0CCE9C201C/batches/list]
101665699 (EE73189C-8BE1-4584-A1F7-D5907644989C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/EE73189C-8BE1-4584-A1F7-D5907644989C/batches/list]
101665708 (9A442D12-EA1A-4E7D-8DAB-10470AFAAED5);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/9A442D12-EA1A-4E7D-8DAB-10470AFAAED5/batches/list]
101665711 (BA1E5FE8-3FB8-4661-A2F9-53F5A678D6AB);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/BA1E5FE8-3FB8-4661-A2F9-53F5A678D6AB/batches/list]
101665717 (7517993D-4D6C-466C-A013-9ABF70243033);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/7517993D-4D6C-466C-A013-9ABF70243033/batches/list]
101665706 (B0AA9626-EE1D-4D49-B1BF-F30B883A00FD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/B0AA9626-EE1D-4D49-B1BF-F30B883A00FD/batches/list]
101665718 (3BE02BA7-0059-4662-882F-02348138EE6C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/3BE02BA7-0059-4662-882F-02348138EE6C/batches/list]
101665712 (B32C3C5B-BEEF-494A-93D9-B9B4A3C7B226);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/B32C3C5B-BEEF-494A-93D9-B9B4A3C7B226/batches/list]
101665713 (3832C286-37F6-4BC2-ABF9-4932F0C4D8BC);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/55E7A51B-21F5-4D16-AAFF-61F6EE150E8D/manage/3832C286-37F6-4BC2-ABF9-4932F0C4D8BC/batches/list]
