Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 2;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 2264;
004471817_00077 (imageset: 042174CC-1369-4B58-9AC7-CB49AF6E5BC0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/042174CC-1369-4B58-9AC7-CB49AF6E5BC0/batches/67E64A21-C778-42E4-982E-D9AF9D834BD5]
004471817_00076 (imageset: 042174CC-1369-4B58-9AC7-CB49AF6E5BC0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/042174CC-1369-4B58-9AC7-CB49AF6E5BC0/batches/25F511B3-F701-498B-A4A2-8548DA53AA1F]
004471817_00075 (imageset: 042174CC-1369-4B58-9AC7-CB49AF6E5BC0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/042174CC-1369-4B58-9AC7-CB49AF6E5BC0/batches/B1C2A5ED-8C64-4635-83B7-0F2281739C98]
004471817_00074 (imageset: 042174CC-1369-4B58-9AC7-CB49AF6E5BC0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/042174CC-1369-4B58-9AC7-CB49AF6E5BC0/batches/2A34ABCB-A24B-455F-BFD5-666460AE264A]
004541983_00289 (imageset: 47CCABDC-158A-4EFC-8F32-E94E44D5E63E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/47CCABDC-158A-4EFC-8F32-E94E44D5E63E/batches/98715766-B2C9-424E-B69A-9D8A7ADDDC26]
004471817_00073 (imageset: 042174CC-1369-4B58-9AC7-CB49AF6E5BC0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/042174CC-1369-4B58-9AC7-CB49AF6E5BC0/batches/E83997E3-7E51-44FE-9903-DF1709A212B7]
004541983_00288 (imageset: 47CCABDC-158A-4EFC-8F32-E94E44D5E63E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/47CCABDC-158A-4EFC-8F32-E94E44D5E63E/batches/C626048B-E747-43B5-81E6-7EBC11EC7EEC]
004471817_00072 (imageset: 042174CC-1369-4B58-9AC7-CB49AF6E5BC0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/042174CC-1369-4B58-9AC7-CB49AF6E5BC0/batches/2B838BCA-3604-4A8F-AF4E-C64488B884E1]
004541983_00287 (imageset: 47CCABDC-158A-4EFC-8F32-E94E44D5E63E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/47CCABDC-158A-4EFC-8F32-E94E44D5E63E/batches/F6EC82AD-C780-4474-815F-7BD201F94272]
004471817_00071 (imageset: 042174CC-1369-4B58-9AC7-CB49AF6E5BC0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/042174CC-1369-4B58-9AC7-CB49AF6E5BC0/batches/9FF79B7A-2DFD-4BCF-9D4F-03601CB18DEA]
004541983_00286 (imageset: 47CCABDC-158A-4EFC-8F32-E94E44D5E63E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/561A5794-E7D8-459E-A991-3B8D86F57A14/manage/47CCABDC-158A-4EFC-8F32-E94E44D5E63E/batches/74A34A7A-7A78-432F-8E96-FB2428C06B83]
