Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 98;
571D5CBD-F752-43AF-9F68-85EF4D0FAC70;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/1E44CA38-4A55-4E41-92D6-039A0EC16636/batches/571D5CBD-F752-43AF-9F68-85EF4D0FAC70]
66EE27DA-DF9E-4105-BA8E-64A2A942A533;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/7BCEA43C-1A55-444D-A27C-0458220F0F4D/batches/66EE27DA-DF9E-4105-BA8E-64A2A942A533]
FCF6CC4D-9705-4169-B3F1-D3723AB0A281;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/B151B587-D46E-4781-901A-4703E9A1D3FA/batches/FCF6CC4D-9705-4169-B3F1-D3723AB0A281]
C82751A4-B2D0-44B6-B221-58A4811D2C8B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/AA2B5B54-F478-4AEF-93AB-E9A6027E3981/batches/C82751A4-B2D0-44B6-B221-58A4811D2C8B]
087A6888-D802-416C-8B95-D53FD152EA52;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/B151B587-D46E-4781-901A-4703E9A1D3FA/batches/087A6888-D802-416C-8B95-D53FD152EA52]
E70CA159-2011-427B-9BBD-352D59154F9E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/605BAB70-CFF0-4156-A105-78F4F1160338/batches/E70CA159-2011-427B-9BBD-352D59154F9E]
B855D8F4-2A44-4E5E-87C6-C764B2ADBD72;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/12E91085-B65E-47A5-9DED-5CCBE4A6F4E9/batches/B855D8F4-2A44-4E5E-87C6-C764B2ADBD72]
B893CB8A-0B8E-464E-B4C1-F44585DCB447;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/AE17525D-A942-4794-84C2-6699EC077486/batches/B893CB8A-0B8E-464E-B4C1-F44585DCB447]
0D5BE6AA-ADB0-4B1D-A8DB-3AF32CF64A50;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/B151B587-D46E-4781-901A-4703E9A1D3FA/batches/0D5BE6AA-ADB0-4B1D-A8DB-3AF32CF64A50]
CD5790CD-E443-4F41-A08C-12C9DDF1C0A9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/82377AA4-F434-49CE-8E3F-1C096BB3DDBF/batches/CD5790CD-E443-4F41-A08C-12C9DDF1C0A9]
5D67F7B5-7FF4-410B-8268-5C90E93A661E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/0110DDCF-B802-41B6-84B8-9E67472C19FF/batches/5D67F7B5-7FF4-410B-8268-5C90E93A661E]
936EBC45-D5AA-4E2C-B2B1-AB0CA22CB051;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/0110DDCF-B802-41B6-84B8-9E67472C19FF/batches/936EBC45-D5AA-4E2C-B2B1-AB0CA22CB051]
709BAFB9-FCD4-4D8B-87C2-A24E8891393B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/CEF6B4A9-BE40-4F0F-B364-455D07150E3E/batches/709BAFB9-FCD4-4D8B-87C2-A24E8891393B]
4772D7B4-1844-4960-9A6C-93CC10F36EF7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/663CCFB0-6ABA-40AA-9420-0AF41702E5FD/batches/4772D7B4-1844-4960-9A6C-93CC10F36EF7]
35EB1D2A-8660-46CC-A10B-33C809861FEF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/848E162E-6471-457D-AF38-ED38388DEFCE/batches/35EB1D2A-8660-46CC-A10B-33C809861FEF]
87D16BD2-989A-424D-B921-B2D44D2970CF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/98C7BAD7-D7B8-4E8C-802C-C0C05118AE79/batches/87D16BD2-989A-424D-B921-B2D44D2970CF]
C00103EB-6B0A-4EC4-BA6E-994BC2AC77F4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/70AB5C00-FF72-44DE-ADD0-35609C584F83/batches/C00103EB-6B0A-4EC4-BA6E-994BC2AC77F4]
77A83659-A9D3-4B0D-9CF6-5BE87422906B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/653B3B76-D5D4-40B8-8889-DEEBD8D4B951/batches/77A83659-A9D3-4B0D-9CF6-5BE87422906B]
C18DEA24-E645-49DC-97C4-198F48EE712F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/D5BF1591-BCF6-41C1-B546-21DAEA6B8E3C/batches/C18DEA24-E645-49DC-97C4-198F48EE712F]
91DD9B03-E5B1-4277-A966-53B99A5E28A9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/653B3B76-D5D4-40B8-8889-DEEBD8D4B951/batches/91DD9B03-E5B1-4277-A966-53B99A5E28A9]
16ABD223-8FBF-4C7E-9608-D85685BC893D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/5D56114E-F87C-42B0-A6E1-C7D75F321907/batches/16ABD223-8FBF-4C7E-9608-D85685BC893D]
F53FBF24-DECA-4F67-AD19-AE3F2BB51E91;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/653B3B76-D5D4-40B8-8889-DEEBD8D4B951/batches/F53FBF24-DECA-4F67-AD19-AE3F2BB51E91]
C784C225-B3FD-408B-BBB6-718541EFD81C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/9B873165-EE90-4D80-A79A-FE2BB84ADE4B/batches/C784C225-B3FD-408B-BBB6-718541EFD81C]
EE16DAA4-2C13-4705-A8B2-A649DFB2F4F2;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/FAC647C1-E07F-4397-B86C-6E9C1CD9A8BA/batches/EE16DAA4-2C13-4705-A8B2-A649DFB2F4F2]
BDD70E53-E8F8-4103-8326-636FF769D2FE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/8FB49C05-34B3-49FC-AA9E-D256EC8E53C1/batches/BDD70E53-E8F8-4103-8326-636FF769D2FE]
2CC058CE-BF63-4FE8-856A-D64D5FEEBA1E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/CB9B4DC1-9BEB-4E9C-B943-445D12774848/batches/2CC058CE-BF63-4FE8-856A-D64D5FEEBA1E]
BD1B1617-1DA0-47E3-A0B6-81BB17C09124;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/CB9B4DC1-9BEB-4E9C-B943-445D12774848/batches/BD1B1617-1DA0-47E3-A0B6-81BB17C09124]
221D5E8A-325B-4347-A52E-C508A860B3FD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/1D4D7D0C-0120-46CE-B979-7DFF78734A2A/batches/221D5E8A-325B-4347-A52E-C508A860B3FD]
1A01DB1C-AFF6-4359-B96C-C4A7E9EE4835;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/57B94C09-C5FD-4FAA-A7C0-404A8FC6AF47/manage/4BBB11FB-FA70-41D4-9D58-3F4AC3284EF0/batches/1A01DB1C-AFF6-4359-B96C-C4A7E9EE4835]
