Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 18;
102968943_00387 (imageset: DAA4E2AD-090B-4973-9A89-B1F95A76EB07);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/DAA4E2AD-090B-4973-9A89-B1F95A76EB07/batches/DC558039-9C5C-4286-A769-8C926A5FA8CA]
102968943_00266 (imageset: DAA4E2AD-090B-4973-9A89-B1F95A76EB07);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/DAA4E2AD-090B-4973-9A89-B1F95A76EB07/batches/C93DDE2C-EB81-4FC6-9476-8580067F9AE3]
102968943_00268 (imageset: DAA4E2AD-090B-4973-9A89-B1F95A76EB07);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/DAA4E2AD-090B-4973-9A89-B1F95A76EB07/batches/C93DDE2C-EB81-4FC6-9476-8580067F9AE3]
103049072_00087 (imageset: 4E20C331-5DB4-4E29-A7DC-F51FD19B324A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/4E20C331-5DB4-4E29-A7DC-F51FD19B324A/batches/FB3BC654-DF35-4B85-83C7-D6DFBEB3CDA5]
102968943_00388 (imageset: DAA4E2AD-090B-4973-9A89-B1F95A76EB07);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/DAA4E2AD-090B-4973-9A89-B1F95A76EB07/batches/DC558039-9C5C-4286-A769-8C926A5FA8CA]
102968943_00267 (imageset: DAA4E2AD-090B-4973-9A89-B1F95A76EB07);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/DAA4E2AD-090B-4973-9A89-B1F95A76EB07/batches/C93DDE2C-EB81-4FC6-9476-8580067F9AE3]
103049072_00086 (imageset: 4E20C331-5DB4-4E29-A7DC-F51FD19B324A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/4E20C331-5DB4-4E29-A7DC-F51FD19B324A/batches/FB3BC654-DF35-4B85-83C7-D6DFBEB3CDA5]
103049072_00085 (imageset: 4E20C331-5DB4-4E29-A7DC-F51FD19B324A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/4E20C331-5DB4-4E29-A7DC-F51FD19B324A/batches/FB3BC654-DF35-4B85-83C7-D6DFBEB3CDA5]
102968943_00385 (imageset: DAA4E2AD-090B-4973-9A89-B1F95A76EB07);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/DAA4E2AD-090B-4973-9A89-B1F95A76EB07/batches/DC558039-9C5C-4286-A769-8C926A5FA8CA]
102969537_00150 (imageset: B216D40E-A63E-4EDF-8793-55C1A5A3962F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/B216D40E-A63E-4EDF-8793-55C1A5A3962F/batches/C4025C96-4580-49BB-A0C9-F1D20342C531]
102968964_00057 (imageset: F7B2A03F-9BB8-42DE-8DF4-A5B885EB07EE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/F7B2A03F-9BB8-42DE-8DF4-A5B885EB07EE/batches/127CA9A2-23E8-46BE-982A-3C1AB025C3C1]
102968964_00058 (imageset: F7B2A03F-9BB8-42DE-8DF4-A5B885EB07EE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/F7B2A03F-9BB8-42DE-8DF4-A5B885EB07EE/batches/127CA9A2-23E8-46BE-982A-3C1AB025C3C1]
102969396_00296 (imageset: 7506EA3B-4237-4C5D-BEC1-D3B1E4EE95BE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/7506EA3B-4237-4C5D-BEC1-D3B1E4EE95BE/batches/FFE6DFF2-9174-4C19-8A5B-3E76389DE6F3]
102969537_00151 (imageset: B216D40E-A63E-4EDF-8793-55C1A5A3962F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/B216D40E-A63E-4EDF-8793-55C1A5A3962F/batches/C4025C96-4580-49BB-A0C9-F1D20342C531]
102969396_00295 (imageset: 7506EA3B-4237-4C5D-BEC1-D3B1E4EE95BE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/7506EA3B-4237-4C5D-BEC1-D3B1E4EE95BE/batches/FFE6DFF2-9174-4C19-8A5B-3E76389DE6F3]
102969396_00297 (imageset: 7506EA3B-4237-4C5D-BEC1-D3B1E4EE95BE);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5811390D-AC6B-44BB-A6EC-B67951E5F619/manage/7506EA3B-4237-4C5D-BEC1-D3B1E4EE95BE/batches/FFE6DFF2-9174-4C19-8A5B-3E76389DE6F3]
