Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NO_WORKFLOW_STATE: 44;
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 44;
ReportItem instance counts;;BATCH:NOT_IN_PROJECT: 100;
0EAFFC34-7DAA-4FAA-A1F6-758047372292;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/05A23DBB-833F-4BFB-B944-4512C57F6AF5/batches/0EAFFC34-7DAA-4FAA-A1F6-758047372292]
08D8D2F7-CC8A-4319-92F2-88E8EE977F17;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/05A23DBB-833F-4BFB-B944-4512C57F6AF5/batches/08D8D2F7-CC8A-4319-92F2-88E8EE977F17]
09704C50-EB65-46B8-9D6A-BE43DD4F54B7;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/05A23DBB-833F-4BFB-B944-4512C57F6AF5/batches/09704C50-EB65-46B8-9D6A-BE43DD4F54B7]
06FFEF7E-C996-4D74-9930-1991988514FF;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/05A23DBB-833F-4BFB-B944-4512C57F6AF5/batches/06FFEF7E-C996-4D74-9930-1991988514FF]
7236F1E0-283E-4DC8-A557-B87F3A7787F0;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/75F1EFED-FDDF-47A4-AACC-4FF0A1B89BA7/batches/7236F1E0-283E-4DC8-A557-B87F3A7787F0]
7236F1E0-283E-4DC8-A557-B87F3A7787F0;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/75F1EFED-FDDF-47A4-AACC-4FF0A1B89BA7/batches/7236F1E0-283E-4DC8-A557-B87F3A7787F0]
00E4468F-A2E8-4D50-A58C-62FD0557EB07;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/481374F8-A1E9-4CC4-AA95-52C7AD87E2F5/batches/00E4468F-A2E8-4D50-A58C-62FD0557EB07]
00E4468F-A2E8-4D50-A58C-62FD0557EB07;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/481374F8-A1E9-4CC4-AA95-52C7AD87E2F5/batches/00E4468F-A2E8-4D50-A58C-62FD0557EB07]
03CBFD5C-A576-4C5F-98BA-37EE0E4D339F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/462EB93D-7617-4512-AEA5-0EC42EF55233/batches/03CBFD5C-A576-4C5F-98BA-37EE0E4D339F]
03CBFD5C-A576-4C5F-98BA-37EE0E4D339F;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/462EB93D-7617-4512-AEA5-0EC42EF55233/batches/03CBFD5C-A576-4C5F-98BA-37EE0E4D339F]
002D896E-88A5-416E-B55B-F07916C058A2;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/05A23DBB-833F-4BFB-B944-4512C57F6AF5/batches/002D896E-88A5-416E-B55B-F07916C058A2]
C56B0D5D-3456-41C1-911D-6B1FB577957C;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/BB8F0D1A-171C-4136-A002-410B3B7B63B2/batches/C56B0D5D-3456-41C1-911D-6B1FB577957C]
C56B0D5D-3456-41C1-911D-6B1FB577957C;BATCH;NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/BB8F0D1A-171C-4136-A002-410B3B7B63B2/batches/C56B0D5D-3456-41C1-911D-6B1FB577957C]
0A4A5654-EA5B-4AD5-A4C9-15C17B5E0D0C;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/05A23DBB-833F-4BFB-B944-4512C57F6AF5/batches/0A4A5654-EA5B-4AD5-A4C9-15C17B5E0D0C]
00D0EB99-423E-4A27-9E3E-1ADAF8B3F3F0;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/05A23DBB-833F-4BFB-B944-4512C57F6AF5/batches/00D0EB99-423E-4A27-9E3E-1ADAF8B3F3F0]
0C98D469-83D3-4CD6-8622-7F3E42F76774;BATCH;NOT_IN_PROJECT;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/589DF182-666B-428A-B649-659D9F6BC01A/manage/05A23DBB-833F-4BFB-B944-4512C57F6AF5/batches/0C98D469-83D3-4CD6-8622-7F3E42F76774]
