Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 5;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
101290048_00027 (imageset: CCE841A6-3677-4746-BF08-A41399D3F652);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/CCE841A6-3677-4746-BF08-A41399D3F652/batches/7377F759-6552-42ED-B743-2F0EC2383F17]
101289991_00014 (imageset: CF69A47A-56DB-450A-8DAA-520924F77335);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/CF69A47A-56DB-450A-8DAA-520924F77335/batches/5C93E2CB-1224-4F55-B890-F1C5711BF893]
101289991_00013 (imageset: CF69A47A-56DB-450A-8DAA-520924F77335);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/CF69A47A-56DB-450A-8DAA-520924F77335/batches/5C93E2CB-1224-4F55-B890-F1C5711BF893]
101290150_00047 (imageset: 2DFA63C6-9916-42BE-B043-EBE74F21561D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/2DFA63C6-9916-42BE-B043-EBE74F21561D/batches/14737E06-014C-4455-8C68-D682B1B67E46]
101289991_00012 (imageset: CF69A47A-56DB-450A-8DAA-520924F77335);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/CF69A47A-56DB-450A-8DAA-520924F77335/batches/5C93E2CB-1224-4F55-B890-F1C5711BF893]
101290040_00020 (imageset: 27C75C38-1A6C-42A4-8465-A3C0E34C6CA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/27C75C38-1A6C-42A4-8465-A3C0E34C6CA7/batches/0B406253-8159-41D5-AE98-9F005A627F71]
101290150_00048 (imageset: 2DFA63C6-9916-42BE-B043-EBE74F21561D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/2DFA63C6-9916-42BE-B043-EBE74F21561D/batches/14737E06-014C-4455-8C68-D682B1B67E46]
101290040_00021 (imageset: 27C75C38-1A6C-42A4-8465-A3C0E34C6CA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/27C75C38-1A6C-42A4-8465-A3C0E34C6CA7/batches/0B406253-8159-41D5-AE98-9F005A627F71]
101290056_00032 (imageset: B93DFBA9-76DE-4D9C-92B7-2CBFE87F8B59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/B93DFBA9-76DE-4D9C-92B7-2CBFE87F8B59/batches/165025D4-C504-4333-B377-4B90FD839965]
101290150_00049 (imageset: 2DFA63C6-9916-42BE-B043-EBE74F21561D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/59A979CA-AD2F-4B03-A17E-68814B592E0A/manage/2DFA63C6-9916-42BE-B043-EBE74F21561D/batches/14737E06-014C-4455-8C68-D682B1B67E46]
