Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 11;
102315057_00084 (imageset: 127D3A20-B066-47F3-BCD4-18B55A6B0BD1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/127D3A20-B066-47F3-BCD4-18B55A6B0BD1/batches/A36434EB-1B2C-49ED-A09A-60547A45581E]
102315015_00212 (imageset: 501BEBF4-28D5-4753-9BBA-DADFE171EC8A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/501BEBF4-28D5-4753-9BBA-DADFE171EC8A/batches/888B9809-8675-4D5C-9BE0-22DAA5B6AC6B]
102315045_00014 (imageset: 3B5BA28F-AED6-481F-BD58-C42CBE918AD6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/3B5BA28F-AED6-481F-BD58-C42CBE918AD6/batches/ABE6EDF4-B168-47DA-A70A-6D58E610652F]
102315034_00072 (imageset: 0B7146B2-3ACA-44D0-B666-CC21DA1EB7B7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/0B7146B2-3ACA-44D0-B666-CC21DA1EB7B7/batches/910DEDDD-9C59-425C-804E-053E61DA7CD6]
102315016_00175 (imageset: 0935F6B7-B032-472D-8234-7B8215DEE936);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/0935F6B7-B032-472D-8234-7B8215DEE936/batches/A3D9B001-3E44-46D7-A14B-8A680CFCC8E3]
102315060_00154 (imageset: 93121448-59AE-404D-AFA2-83D7F2FACC98);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/93121448-59AE-404D-AFA2-83D7F2FACC98/batches/222C7AB8-6AB6-4424-9DBB-78EE362F29D6]
102315062_00295 (imageset: 5E7BF6AA-8EC0-4410-A200-D297F43C3706);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/5E7BF6AA-8EC0-4410-A200-D297F43C3706/batches/F2AADE23-AF6C-4C38-8D58-931F72347C7B]
102315047_00168 (imageset: 996D2761-165B-4837-AA5A-E3C0089857D1);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/996D2761-165B-4837-AA5A-E3C0089857D1/batches/02CB8505-D59C-4AC5-820E-FC3D2459035D]
102315016_00290 (imageset: 0935F6B7-B032-472D-8234-7B8215DEE936);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/0935F6B7-B032-472D-8234-7B8215DEE936/batches/8E2FAB0D-212C-4A65-AA70-24C249D0428A]
102315071_00150 (imageset: A442A322-E70E-4F43-9A3E-42ECEA7FD632);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/A442A322-E70E-4F43-9A3E-42ECEA7FD632/batches/F90988FF-850F-4BA6-A095-021D3E853358]
102315029_00122 (imageset: EB765EE3-C6B3-406A-9B54-F54351724F23);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5A24F3B4-716A-43CA-BEED-0F449BFAE443/manage/EB765EE3-C6B3-406A-9B54-F54351724F23/batches/DB3E8348-E24E-4EB5-9B98-B5A75F66A4D5]
