Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 200;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_NO_BLOCKED_IMAGES: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 200;
101634364_00072 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634364_00071 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634364_00070 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634351_00072 (imageset: 3BF4C486-5DE5-4BA6-A8F3-4C6351D4DA3B);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/3BF4C486-5DE5-4BA6-A8F3-4C6351D4DA3B/batches/35310D95-4506-4847-90A0-F86BE37ED32C]
101634357_00068 (imageset: C2EBF295-6CE5-448A-8669-9ADDD83DB9DE);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/C2EBF295-6CE5-448A-8669-9ADDD83DB9DE/batches/B21E7C16-71D6-4B51-95BE-06812006050A]
101634357_00067 (imageset: C2EBF295-6CE5-448A-8669-9ADDD83DB9DE);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/C2EBF295-6CE5-448A-8669-9ADDD83DB9DE/batches/B21E7C16-71D6-4B51-95BE-06812006050A]
101634357_00069 (imageset: C2EBF295-6CE5-448A-8669-9ADDD83DB9DE);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/C2EBF295-6CE5-448A-8669-9ADDD83DB9DE/batches/B21E7C16-71D6-4B51-95BE-06812006050A]
101634357_00066 (imageset: C2EBF295-6CE5-448A-8669-9ADDD83DB9DE);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/C2EBF295-6CE5-448A-8669-9ADDD83DB9DE/batches/B21E7C16-71D6-4B51-95BE-06812006050A]
101634365_00058 (imageset: ADE31792-646E-4D43-AD92-392461E2A388);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/ADE31792-646E-4D43-AD92-392461E2A388/batches/F055CBD2-DC0D-4A86-806C-EE3B70317F6C]
101634364_00066 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634364_00065 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634365_00059 (imageset: ADE31792-646E-4D43-AD92-392461E2A388);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/ADE31792-646E-4D43-AD92-392461E2A388/batches/F055CBD2-DC0D-4A86-806C-EE3B70317F6C]
101634364_00064 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634354_00002 (imageset: 85C2E55C-9C6F-4913-BADB-8F56D2E56E8F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/85C2E55C-9C6F-4913-BADB-8F56D2E56E8F/batches/20F9E613-DC58-4424-A26B-BC9D5C499C65]
101634364_00069 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634364_00068 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634364_00067 (imageset: 33FAB7D8-4719-4840-B5B4-0C6FCEA7A810);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/33FAB7D8-4719-4840-B5B4-0C6FCEA7A810/batches/68E5BF9D-2493-44E9-BD7C-CB440810579C]
101634354_00001 (imageset: 85C2E55C-9C6F-4913-BADB-8F56D2E56E8F);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5C28BC6B-32DD-4ABC-80F6-7732EF33FB6B/manage/85C2E55C-9C6F-4913-BADB-8F56D2E56E8F/batches/20F9E613-DC58-4424-A26B-BC9D5C499C65]
