Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 95;
F0D74114-EB3E-4063-993A-5E4BC5A86C38;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/3F32B4D6-44C9-474F-9D46-9657955C96A8/batches/F0D74114-EB3E-4063-993A-5E4BC5A86C38]
B9356990-4E63-4559-9452-C1CFCC0CEC7A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/B9356990-4E63-4559-9452-C1CFCC0CEC7A]
5C614C34-D117-467E-93C2-D3E242EA2232;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/5C614C34-D117-467E-93C2-D3E242EA2232]
D53A1B8C-02D3-43EF-8383-55506E022A24;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/3F32B4D6-44C9-474F-9D46-9657955C96A8/batches/D53A1B8C-02D3-43EF-8383-55506E022A24]
DDCEBC22-45AB-462E-B783-0313DC24D541;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/DDCEBC22-45AB-462E-B783-0313DC24D541]
CDBA81BB-7AE5-4AC0-BFC4-AABD19D5678F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/3F32B4D6-44C9-474F-9D46-9657955C96A8/batches/CDBA81BB-7AE5-4AC0-BFC4-AABD19D5678F]
9FEB8031-129F-4308-8DF6-D84B369A8A4C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/3F32B4D6-44C9-474F-9D46-9657955C96A8/batches/9FEB8031-129F-4308-8DF6-D84B369A8A4C]
9540D632-F39E-453A-82D3-74BD4069FE76;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/9540D632-F39E-453A-82D3-74BD4069FE76]
B4FF515A-68D6-402F-83A7-24F3E6D3E674;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/B4FF515A-68D6-402F-83A7-24F3E6D3E674]
2ED80C78-11ED-49E3-8C85-5772809D5AC7;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/2ED80C78-11ED-49E3-8C85-5772809D5AC7]
844558B7-6323-4546-9A4E-8D172E064804;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/844558B7-6323-4546-9A4E-8D172E064804]
C254D94A-6C79-4BA6-9D86-D733F0F45CB7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/C254D94A-6C79-4BA6-9D86-D733F0F45CB7]
AF3C6DF4-1CD1-4309-955B-6B0E8C07D4B5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/AF3C6DF4-1CD1-4309-955B-6B0E8C07D4B5]
E2452F40-42AF-47CB-98CC-8FDA08C7DC39;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/E2452F40-42AF-47CB-98CC-8FDA08C7DC39]
0ECC1FDA-1368-4595-B7CA-9A37B8C12364;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/0ECC1FDA-1368-4595-B7CA-9A37B8C12364]
0BAC0313-8BF0-4975-8A51-A034A7AE2F25;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/0BAC0313-8BF0-4975-8A51-A034A7AE2F25]
FF02DAEE-8D3D-4F01-8F3B-13E3B9B7343E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/FF02DAEE-8D3D-4F01-8F3B-13E3B9B7343E]
803F885A-7A43-414B-BC49-82DEDE7A2013;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/803F885A-7A43-414B-BC49-82DEDE7A2013]
0ABB2928-603E-42CC-8EF2-F04DDA8EB8A9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/3F32B4D6-44C9-474F-9D46-9657955C96A8/batches/0ABB2928-603E-42CC-8EF2-F04DDA8EB8A9]
BB903701-69EE-4DD1-9740-78FE4CE74412;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/BB903701-69EE-4DD1-9740-78FE4CE74412]
5403E132-1A0C-4BB5-843F-391552B1356F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/3F32B4D6-44C9-474F-9D46-9657955C96A8/batches/5403E132-1A0C-4BB5-843F-391552B1356F]
7F3C0376-08D6-472A-A92A-384A06BD6650;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/7F3C0376-08D6-472A-A92A-384A06BD6650]
30C6E328-5B7E-4199-915F-E4A45A5149A6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/30C6E328-5B7E-4199-915F-E4A45A5149A6]
177C3528-8A93-4D1F-8D10-7D90D2DDBBB9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/177C3528-8A93-4D1F-8D10-7D90D2DDBBB9]
E6463DAC-60BB-43E0-8C90-6888D3C806FB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/3F32B4D6-44C9-474F-9D46-9657955C96A8/batches/E6463DAC-60BB-43E0-8C90-6888D3C806FB]
6D5E335A-D28B-42EF-A4BC-45F32414A91C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/3F32B4D6-44C9-474F-9D46-9657955C96A8/batches/6D5E335A-D28B-42EF-A4BC-45F32414A91C]
E0921E76-EADA-4705-B773-125DEED301A1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/E0921E76-EADA-4705-B773-125DEED301A1]
3CD4D764-1FA8-47C3-ADA5-F3092B589451;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/3CD4D764-1FA8-47C3-ADA5-F3092B589451]
1AD2D0B1-07D9-47F2-ADEA-2248EF41DD53;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DAF43747-1577-4F71-AAC7-0857425D40CE/batches/1AD2D0B1-07D9-47F2-ADEA-2248EF41DD53]
A45D2464-BA8D-41A3-8BEF-26487273BB68;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5D948EB9-20D5-4570-B298-2679CB2D1126/manage/DCD3588B-E5D6-45C9-ABC5-CAB0CD871A85/batches/A45D2464-BA8D-41A3-8BEF-26487273BB68]
