Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 100;
012AB95F-2951-4645-9387-66552FA4AC03;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/0D04A1F6-7F03-48D1-9EE0-7C93B15D4B62/batches/012AB95F-2951-4645-9387-66552FA4AC03]
EFCE28BB-9237-456F-992E-88EEBDDEB875;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/3623A2E1-E1A2-448C-BF79-4EDB1D12D8A8/batches/EFCE28BB-9237-456F-992E-88EEBDDEB875]
E99169A0-361D-49A3-83A5-4A937566A460;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/14DC305A-45F6-4757-9C78-948064138D60/batches/E99169A0-361D-49A3-83A5-4A937566A460]
3E40F3B3-1CB3-4EE8-BC05-A1D592546044;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/63FDB8AB-968E-4BA9-986B-E095B0BF30EA/batches/3E40F3B3-1CB3-4EE8-BC05-A1D592546044]
C6E746C2-D83A-458C-9C5D-B00513308E6A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/BCE094E3-64DB-4BB1-89DD-0BA3764E3F9D/batches/C6E746C2-D83A-458C-9C5D-B00513308E6A]
6F946FCE-E11B-4A7A-9502-0974B90C42B7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/17E54A8E-871A-4B43-AE87-6E3966ECFBA6/batches/6F946FCE-E11B-4A7A-9502-0974B90C42B7]
8F4A8464-91C6-4949-B7DB-4D9899133005;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/D7140850-29C9-40EF-A279-3637CD06BA96/batches/8F4A8464-91C6-4949-B7DB-4D9899133005]
F29CB4DE-6298-4789-B54A-4811EBD50693;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/504783DD-5C68-4ED0-9FC4-4CF3100664A5/batches/F29CB4DE-6298-4789-B54A-4811EBD50693]
EB88478D-5378-4CD8-8322-4811F3714110;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/4ACB1154-BAB3-4BD5-88CD-9CC4916A0F35/batches/EB88478D-5378-4CD8-8322-4811F3714110]
6DF6A633-91A8-4A72-A045-84A5ED50A254;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/18171ABC-48C8-4680-97EF-3687E7ECE75F/batches/6DF6A633-91A8-4A72-A045-84A5ED50A254]
0F447589-6A9B-4CCF-A494-9E2BA38F5990;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/858496E4-60D7-43F0-8EDE-083CF850646C/batches/0F447589-6A9B-4CCF-A494-9E2BA38F5990]
92BAC1A2-D738-4D5F-9749-9A84554C89EE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/0605ECAB-A209-419E-B91F-F19487F335C4/batches/92BAC1A2-D738-4D5F-9749-9A84554C89EE]
2D519A45-2203-48A6-A614-9A095CCB065E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/EE089A54-FD71-466A-A843-A26A9D5F477C/batches/2D519A45-2203-48A6-A614-9A095CCB065E]
9E494A59-C836-470F-9CD3-D76BCAB6370B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/40096FBF-28EF-454A-994D-E31CCF5CC97C/batches/9E494A59-C836-470F-9CD3-D76BCAB6370B]
D870B253-5DA7-48B3-876E-45DBBB66C9F0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/51D710BB-22AB-4117-823B-5EF6C9D24142/batches/D870B253-5DA7-48B3-876E-45DBBB66C9F0]
3ADAF184-81DB-47EE-B822-5CCBCF21BCAE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/15BF61DE-FAEB-4A35-8B9D-E138F2A8FC93/batches/3ADAF184-81DB-47EE-B822-5CCBCF21BCAE]
C446A5BC-C046-4214-952C-214060A45676;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/D1F193B2-68B8-4C25-82D4-39EE3647EFC3/batches/C446A5BC-C046-4214-952C-214060A45676]
5e3c7c75-7e83-48c6-a2ff-6ffad477fcf5;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/5e3c7c75-7e83-48c6-a2ff-6ffad477fcf5/overview]
4DC65C2B-7450-4514-8367-3CF1FC457062;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/B291F114-AEF1-45C3-8C68-4B9CF1759530/batches/4DC65C2B-7450-4514-8367-3CF1FC457062]
AF871F75-D0E7-49B7-9542-437247359D90;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/85FB9102-8820-4685-9A43-9E4C6ADDD74B/batches/AF871F75-D0E7-49B7-9542-437247359D90]
509CD455-1B9B-4F51-AE12-34AF9946492B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/979324CE-E218-45C1-8500-B05DCB736B8E/batches/509CD455-1B9B-4F51-AE12-34AF9946492B]
2B46E13C-82BC-4026-8445-E3003B724780;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/15BF61DE-FAEB-4A35-8B9D-E138F2A8FC93/batches/2B46E13C-82BC-4026-8445-E3003B724780]
F6E71672-BBC6-4EAE-986C-DE8027919AFD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/1D82AF1C-3051-495D-9BCA-CF4E10590C97/batches/F6E71672-BBC6-4EAE-986C-DE8027919AFD]
CDB5D765-21FB-4A70-B183-218A49EEDF82;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/4383B393-6BA8-49EC-B46D-1219537E0AFC/batches/CDB5D765-21FB-4A70-B183-218A49EEDF82]
A7C000D4-496F-4516-9C79-0D68156B3EF4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/33176B0B-5A2B-44B9-BAE1-F4068E844D2E/batches/A7C000D4-496F-4516-9C79-0D68156B3EF4]
A83C736F-5448-4609-A3A3-692934CF8A15;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/B632E735-FD98-44A5-B008-744F45058895/batches/A83C736F-5448-4609-A3A3-692934CF8A15]
DD9B97B4-7CA4-4D1B-99B5-CD36506C9AE0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/B291F114-AEF1-45C3-8C68-4B9CF1759530/batches/DD9B97B4-7CA4-4D1B-99B5-CD36506C9AE0]
B28E1DE0-B2D9-46FE-824A-0EE32AB5A344;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/6083CC5D-718A-4DD4-8712-444E35EF80C9/batches/B28E1DE0-B2D9-46FE-824A-0EE32AB5A344]
14DBAB3B-DA1B-4203-80AA-6AA3B77D654C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5E3C7C75-7E83-48C6-A2FF-6FFAD477FCF5/manage/6F850B0E-603F-4747-A003-D3AB15A9BA15/batches/14DBAB3B-DA1B-4203-80AA-6AA3B77D654C]
