Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 11;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 82;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 10;
5E7A031E-F86B-4DB4-85D4-F160074A2C64;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https:///www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/overview]
004113526_00433 (imageset: 96AE6BBC-2422-4E7E-BABB-5A9587902BEC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/96AE6BBC-2422-4E7E-BABB-5A9587902BEC/batches/F9FC8F46-0F53-46B3-824C-8AD3FA056410]
004113526_00434 (imageset: 96AE6BBC-2422-4E7E-BABB-5A9587902BEC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/96AE6BBC-2422-4E7E-BABB-5A9587902BEC/batches/F9FC8F46-0F53-46B3-824C-8AD3FA056410]
004113526_00437 (imageset: 96AE6BBC-2422-4E7E-BABB-5A9587902BEC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/96AE6BBC-2422-4E7E-BABB-5A9587902BEC/batches/F9FC8F46-0F53-46B3-824C-8AD3FA056410]
004113526_00438 (imageset: 96AE6BBC-2422-4E7E-BABB-5A9587902BEC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/96AE6BBC-2422-4E7E-BABB-5A9587902BEC/batches/F9FC8F46-0F53-46B3-824C-8AD3FA056410]
004113526_01170 (imageset: 96AE6BBC-2422-4E7E-BABB-5A9587902BEC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/96AE6BBC-2422-4E7E-BABB-5A9587902BEC/batches/F9FC8F46-0F53-46B3-824C-8AD3FA056410]
004117594_00022 (imageset: 5F65638A-3FC9-4CB0-99EF-194C37D0F287);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/5F65638A-3FC9-4CB0-99EF-194C37D0F287/batches/E8B8906A-F2B6-4ABF-9DA7-BA450B8D9928]
004117594_00021 (imageset: 5F65638A-3FC9-4CB0-99EF-194C37D0F287);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/5F65638A-3FC9-4CB0-99EF-194C37D0F287/batches/E8B8906A-F2B6-4ABF-9DA7-BA450B8D9928]
004113526_00620 (imageset: 96AE6BBC-2422-4E7E-BABB-5A9587902BEC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/96AE6BBC-2422-4E7E-BABB-5A9587902BEC/batches/F9FC8F46-0F53-46B3-824C-8AD3FA056410]
004113526_01165 (imageset: 96AE6BBC-2422-4E7E-BABB-5A9587902BEC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5E7A031E-F86B-4DB4-85D4-F160074A2C64/manage/96AE6BBC-2422-4E7E-BABB-5A9587902BEC/batches/F9FC8F46-0F53-46B3-824C-8AD3FA056410]
