Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;IMAGE:NO_INDEXING_BATCH: 100;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
004431170_00249 (imageset: 71F295C1-C590-42D2-B0D6-AA9B215FCF98);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE \\ NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/71F295C1-C590-42D2-B0D6-AA9B215FCF98/batches/BF011E78-A7F3-45AC-97EF-3A2E8B908140]
004431170_00248 (imageset: 71F295C1-C590-42D2-B0D6-AA9B215FCF98);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE \\ NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/71F295C1-C590-42D2-B0D6-AA9B215FCF98/batches/BF011E78-A7F3-45AC-97EF-3A2E8B908140]
004431170_00243 (imageset: 71F295C1-C590-42D2-B0D6-AA9B215FCF98);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE \\ NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/71F295C1-C590-42D2-B0D6-AA9B215FCF98/batches/BF011E78-A7F3-45AC-97EF-3A2E8B908140]
004431170_00252 (imageset: 71F295C1-C590-42D2-B0D6-AA9B215FCF98);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE \\ NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/71F295C1-C590-42D2-B0D6-AA9B215FCF98/batches/BF011E78-A7F3-45AC-97EF-3A2E8B908140]
004431170_00253 (imageset: 71F295C1-C590-42D2-B0D6-AA9B215FCF98);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE \\ NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/71F295C1-C590-42D2-B0D6-AA9B215FCF98/batches/BF011E78-A7F3-45AC-97EF-3A2E8B908140]
004431170_00250 (imageset: 71F295C1-C590-42D2-B0D6-AA9B215FCF98);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE \\ NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/71F295C1-C590-42D2-B0D6-AA9B215FCF98/batches/BF011E78-A7F3-45AC-97EF-3A2E8B908140]
004431170_00251 (imageset: 71F295C1-C590-42D2-B0D6-AA9B215FCF98);IMAGE;NOT_IN_IMAGE_EXPORT_TABLE \\ NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/71F295C1-C590-42D2-B0D6-AA9B215FCF98/batches/BF011E78-A7F3-45AC-97EF-3A2E8B908140]
6AE7F30C-1EF0-4196-AFC7-A6304D7180DC;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/A723AD7A-45C6-44E0-9F9A-8AE4E895AEFA/batches/6AE7F30C-1EF0-4196-AFC7-A6304D7180DC]
4C279D46-9444-49D1-9585-54E14F323942;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/9A54B618-AF09-469A-8C65-A14E6893B652/batches/4C279D46-9444-49D1-9585-54E14F323942]
E9F326ED-8754-4FF2-BDD7-B2A2011A54E8;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/31A877F8-8F82-45B8-A5E9-8F57A3AB3743/batches/E9F326ED-8754-4FF2-BDD7-B2A2011A54E8]
158C95A9-8797-41CD-9FA3-D5A53F7E00A3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/5FDE4608-A36B-4228-B255-51A0E7EF61E9/manage/E6C3DBD5-183B-4229-997C-CCF017CFAE7D/batches/158C95A9-8797-41CD-9FA3-D5A53F7E00A3]
