Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1133;
007616285_00817 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/04C8A48C-ED75-4C00-AB90-32CBDA68EF1B]
007616285_00816 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/04C8A48C-ED75-4C00-AB90-32CBDA68EF1B]
007616285_00819 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/FA4CF8B8-C79B-4B89-A5B1-959009DF7BC3]
007616285_00818 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/FA4CF8B8-C79B-4B89-A5B1-959009DF7BC3]
007616285_00813 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/2B9B832B-AABD-4DD6-9D8F-F630A4E04D68]
007616285_00812 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/2B9B832B-AABD-4DD6-9D8F-F630A4E04D68]
007616285_00815 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/8B88663E-9205-42D1-997C-1DAE5193FA74]
007616285_00814 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/8B88663E-9205-42D1-997C-1DAE5193FA74]
007616285_00810 (imageset: CAF02665-6EDD-4F68-969C-D93B3E3034B6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6023064F-115D-4543-A688-6D174EBA5ABF/manage/CAF02665-6EDD-4F68-969C-D93B3E3034B6/batches/2198BA58-4FA5-4497-975F-4F9A9C3AE735]
