Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 20;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1;
102049236 (F26FB120-634A-4151-9DA6-FE925B1584A6);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/F26FB120-634A-4151-9DA6-FE925B1584A6/batches/list]
102049231 (5EC600E2-101D-44DC-9D78-731D27C81E29);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/5EC600E2-101D-44DC-9D78-731D27C81E29/batches/list]
102049226 (2E7F2FBC-E319-49FB-B7F5-6A3E552C4426);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/2E7F2FBC-E319-49FB-B7F5-6A3E552C4426/batches/list]
102049219 (18145981-1A50-47DD-95D1-BB565C8B7BC2);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/18145981-1A50-47DD-95D1-BB565C8B7BC2/batches/list]
102049228 (ACA9594E-DF8B-4202-914F-2E00268828EF);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/ACA9594E-DF8B-4202-914F-2E00268828EF/batches/list]
102049238 (5D32C5EB-B38B-486A-95C3-FA0C0CE1059B);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/5D32C5EB-B38B-486A-95C3-FA0C0CE1059B/batches/list]
102049229 (F6F9FB50-5132-4C4D-8EE5-A199B0A70181);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/F6F9FB50-5132-4C4D-8EE5-A199B0A70181/batches/list]
102049227 (C4D8E611-6BB8-435D-96AE-8BEE5909239F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/C4D8E611-6BB8-435D-96AE-8BEE5909239F/batches/list]
102049223 (966B8850-7D64-44D6-98B2-C57E99158E89);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/966B8850-7D64-44D6-98B2-C57E99158E89/batches/list]
102049221 (BA0D264D-AD2D-4A0B-8F39-49566EE7449F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/BA0D264D-AD2D-4A0B-8F39-49566EE7449F/batches/list]
102049225 (22339F05-F620-42A7-83CA-A4737A9E1779);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/22339F05-F620-42A7-83CA-A4737A9E1779/batches/list]
102049222 (4EE31BC5-FCCE-4BB5-8901-59113A36B1A9);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/618F67BE-B47A-4973-9146-41EB22F52CF0/manage/4EE31BC5-FCCE-4BB5-8901-59113A36B1A9/batches/list]
