Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 14;
007724798_00168 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/18F7A486-D11E-42BE-B9C0-B334C28F03C7]
007724798_00167 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/18F7A486-D11E-42BE-B9C0-B334C28F03C7]
007724798_00023 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/BFCE6C0B-0D60-4A71-A9D1-43271CF501EA]
007724798_00154 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/D621F3B4-B3E4-4A7A-B5BB-69866051F48A]
007724798_00110 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/2376D5B5-4F6C-4B83-9344-40C5B7BC8B20]
007724798_00153 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/D621F3B4-B3E4-4A7A-B5BB-69866051F48A]
007724798_00054 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/08A5813A-6439-416C-B958-DC164E79D6A9]
007724798_00195 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/02F971D4-8F7F-4661-ADE2-9254246A50E7]
007724798_00084 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/3D52AAFF-550C-41BF-90A1-CD253A175BE9]
007724798_00072 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/796B6222-DD49-4DBA-82C4-FADEA203BD2A]
007724798_00083 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/3D52AAFF-550C-41BF-90A1-CD253A175BE9]
007724798_00160 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/63BB6569-F945-4478-B1AC-291E24921033]
007724798_00071 (imageset: CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61AC4338-9A1B-4255-B7B2-C7544F6177CF/manage/CF9AB8AB-A986-4BEE-AB90-5C7978ABA8A5/batches/796B6222-DD49-4DBA-82C4-FADEA203BD2A]
