Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BATCHES_WITH_TOO_MANY_IMAGES: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 95;
5D99C6A9-593D-4828-9B27-06F58ABF096F;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/F6A50AB6-5BA8-4AD3-9076-734A21E16F3D/batches/5D99C6A9-593D-4828-9B27-06F58ABF096F]
1B9E7B46-C99B-4BD0-B900-E48CB6835E4D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/B29DA9AC-E78D-481F-BDAD-7BE0381531F4/batches/1B9E7B46-C99B-4BD0-B900-E48CB6835E4D]
7F673395-9F60-4BBE-BC0F-EB68198B00A0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/069364D7-A1AE-41B7-95B1-A28507857306/batches/7F673395-9F60-4BBE-BC0F-EB68198B00A0]
FA62C2E0-061A-4112-A112-0B90E7BBC734;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/963938A9-FE66-432C-A952-7A23AE97266C/batches/FA62C2E0-061A-4112-A112-0B90E7BBC734]
DC3DB9E7-EC6C-4D0B-9DAE-61B83D2178AC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/5AAB9D3B-A49A-4D6F-B678-33148BB7E388/batches/DC3DB9E7-EC6C-4D0B-9DAE-61B83D2178AC]
DAF09CC2-1F5B-43C6-9364-8A0A1AE2AB33;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/0F4EECD8-A3DF-4F54-BD7B-602A0085711F/batches/DAF09CC2-1F5B-43C6-9364-8A0A1AE2AB33]
909ABA30-0745-45BE-9B99-F5F2427803F4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/1290D21B-1753-4425-B52E-FF1C14EC6BDD/batches/909ABA30-0745-45BE-9B99-F5F2427803F4]
754862CC-89DE-4ADD-B847-D4E7CD469832;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/9CF9DD14-3E15-4982-B2A2-F595D89B20B3/batches/754862CC-89DE-4ADD-B847-D4E7CD469832]
E078A738-4C69-4D62-A17B-2AE421B197B6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/1FAED015-1BB1-4EFB-AA6C-6D1D3631B059/batches/E078A738-4C69-4D62-A17B-2AE421B197B6]
10178BAE-BDC7-4026-A567-68AB5DE617FC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/D03A49AA-9830-48CE-80C4-606D847F0471/batches/10178BAE-BDC7-4026-A567-68AB5DE617FC]
AB523C9E-31A1-493A-9AB7-270E37D30DFD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/F1C3701D-8DD3-4BBA-8BCA-D590E0B0CACA/batches/AB523C9E-31A1-493A-9AB7-270E37D30DFD]
A1B39E9A-9A58-4B7F-81FB-83F0BAA3E464;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/BEBA0228-C29A-4F54-B252-779021A5E7D0/batches/A1B39E9A-9A58-4B7F-81FB-83F0BAA3E464]
BC4B432E-14FD-41EB-A50C-38EAD4FE4E7D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/51832D32-7C91-4961-A85A-D51C23882805/batches/BC4B432E-14FD-41EB-A50C-38EAD4FE4E7D]
60B634AF-51CA-42D0-AE0E-7AD37CF56D30;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/EBBB47D5-E142-4FEE-AB08-2CA0128AB7D5/batches/60B634AF-51CA-42D0-AE0E-7AD37CF56D30]
585B9E9C-0CBF-44DD-9D0A-FB533F9298AC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/D0919ED6-44D0-479F-A8AF-592C375A37F7/batches/585B9E9C-0CBF-44DD-9D0A-FB533F9298AC]
F652C0FC-E5A0-4411-A580-C0638B7F3F71;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/9CF9DD14-3E15-4982-B2A2-F595D89B20B3/batches/F652C0FC-E5A0-4411-A580-C0638B7F3F71]
851E0114-8411-49D6-A0B4-8C0AF7CB8744;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/F1C3701D-8DD3-4BBA-8BCA-D590E0B0CACA/batches/851E0114-8411-49D6-A0B4-8C0AF7CB8744]
F778030E-8195-4795-BBFA-74C707F9392A;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/23642878-610F-47D6-99BB-41C5C9BBE02E/batches/F778030E-8195-4795-BBFA-74C707F9392A]
E1C33182-2D4B-4D8F-87F1-AF12B0E2C6E7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/6C400564-855A-4E8F-B271-0C89D2067368/batches/E1C33182-2D4B-4D8F-87F1-AF12B0E2C6E7]
CD8F77C1-EF66-43B2-B4F0-B63144A1028C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/6A207FAD-3988-4548-93A4-67DC06E2E641/batches/CD8F77C1-EF66-43B2-B4F0-B63144A1028C]
7DA01FFF-45F8-40D2-8ED5-92D3A017B42E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/D23CEE3A-AEC2-456B-8A2D-EE6492328B0F/batches/7DA01FFF-45F8-40D2-8ED5-92D3A017B42E]
3E894314-1983-4567-93A8-3A65AE9C41C8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/F828FB01-C6FE-49E6-907C-71003E13EBF1/batches/3E894314-1983-4567-93A8-3A65AE9C41C8]
D38A834E-BEE3-4668-B5B6-7F7E286533A4;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/25D33E25-0184-47B8-AA5C-0E0ABB5ED793/batches/D38A834E-BEE3-4668-B5B6-7F7E286533A4]
2CD1E3DA-3E11-4A32-8053-537FB5D67D43;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/497B7261-73BC-491A-A582-479F82C538E9/batches/2CD1E3DA-3E11-4A32-8053-537FB5D67D43]
E9E30896-DC0A-409D-9098-41D9734E97DF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/B66E52DF-A4DC-40C0-98B2-0B65723DB19C/batches/E9E30896-DC0A-409D-9098-41D9734E97DF]
E5E72E12-C299-4033-8324-078339546A19;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/9CF9DD14-3E15-4982-B2A2-F595D89B20B3/batches/E5E72E12-C299-4033-8324-078339546A19]
A5A2426D-20EB-4FFC-AB3F-EDEE7A232068;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/BEBA0228-C29A-4F54-B252-779021A5E7D0/batches/A5A2426D-20EB-4FFC-AB3F-EDEE7A232068]
DE28AB0B-9FB9-4E08-891F-96D5A615A247;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/61CDA3DF-1DE4-4793-93B5-5B7E6C6F1361/manage/B8FDACAD-1870-4FB2-BBAC-3CF363FF0CFD/batches/DE28AB0B-9FB9-4E08-891F-96D5A615A247]
