Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 13;
008153161_00875 (imageset: 27E64119-DC9F-42B9-A0A4-8894E614DA67);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/27E64119-DC9F-42B9-A0A4-8894E614DA67/batches/5C2B6C4C-8EA2-4DD6-9EC3-1C8CA87F29F7]
008153159_00481 (imageset: B31B8542-D3E6-42C7-BCA7-38099B6D4960);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/B31B8542-D3E6-42C7-BCA7-38099B6D4960/batches/B7DC1877-0369-4206-913B-EF06FBD0019C]
008149767_00038 (imageset: CACCEC62-64F7-4FBE-B658-BA00ADC9C8AD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/CACCEC62-64F7-4FBE-B658-BA00ADC9C8AD/batches/41682103-3CFC-45C0-9D9F-BAA4F14866D9]
008153160_01894 (imageset: 1FEDFE04-F0F2-49F6-8DCB-21DCE58F376B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/1FEDFE04-F0F2-49F6-8DCB-21DCE58F376B/batches/6FFE9F39-461E-4683-A49A-122C2093654B]
008153154_00275 (imageset: BFDF35C9-C9E8-4648-AE92-67CE90DA8D97);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/BFDF35C9-C9E8-4648-AE92-67CE90DA8D97/batches/38F9B97D-724B-40B1-AB34-8FA4265BC2F6]
008150906_01144 (imageset: 9B76CA52-35C0-44FD-900E-82220D41CD27);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/9B76CA52-35C0-44FD-900E-82220D41CD27/batches/180655F8-C333-4BE9-BCC9-F2765896FCDC]
008149766_00094 (imageset: 81C22909-53F8-4C1E-8ACF-CF8B58AEBBC7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/81C22909-53F8-4C1E-8ACF-CF8B58AEBBC7/batches/B48AFCE8-E485-46FE-9A66-C4596145BB71]
008153156_01873 (imageset: B53BCEF6-8F27-4F75-BF7F-E9235A4FEED5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/B53BCEF6-8F27-4F75-BF7F-E9235A4FEED5/batches/22ADC349-DB2B-4E84-AF70-6AE8664EEFC6]
008153154_00973 (imageset: BFDF35C9-C9E8-4648-AE92-67CE90DA8D97);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/BFDF35C9-C9E8-4648-AE92-67CE90DA8D97/batches/AB1041FC-A501-4839-BE32-A645FC7835DD]
008124793_01750 (imageset: 46B80CE1-36F3-4860-ACFD-C333990D7DB4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/46B80CE1-36F3-4860-ACFD-C333990D7DB4/batches/071F8245-2906-4A28-9E55-86FE5D97A276]
008153156_01887 (imageset: B53BCEF6-8F27-4F75-BF7F-E9235A4FEED5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/B53BCEF6-8F27-4F75-BF7F-E9235A4FEED5/batches/F16FA702-1EB8-45BF-A06E-8E78195913AD]
008153159_00423 (imageset: B31B8542-D3E6-42C7-BCA7-38099B6D4960);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/B31B8542-D3E6-42C7-BCA7-38099B6D4960/batches/B9DE89C8-BF3C-42E7-AE25-0B09C3D5824E]
008125416_01156 (imageset: A5B2FAE4-216E-4B91-8492-FCB68DB41EA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/61E6EC76-0C38-4473-95BB-42DF5206632B/manage/A5B2FAE4-216E-4B91-8492-FCB68DB41EA7/batches/CBD069C3-1EF5-44C5-A878-E621A1F0185D]
