Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 717;
105148503_00110 (imageset: EEAA097D-F232-4700-892D-740C95AE0DDC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/EEAA097D-F232-4700-892D-740C95AE0DDC/batches/9F53D432-9F7F-460B-9334-4594EC8DA8B5]
105209389_00260 (imageset: E961442E-DCBF-476D-A1A5-0F6C9D929B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/E961442E-DCBF-476D-A1A5-0F6C9D929B99/batches/5B3AB391-DBB6-4CE1-A73E-A503C38E1F58]
105209389_00266 (imageset: E961442E-DCBF-476D-A1A5-0F6C9D929B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/E961442E-DCBF-476D-A1A5-0F6C9D929B99/batches/D50DF221-0DB2-4AF1-A634-9C835AF76FB3]
105209315_00052 (imageset: BB93286C-0038-416C-A4E8-94D2760D5191);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/BB93286C-0038-416C-A4E8-94D2760D5191/batches/849D1F72-4C74-4A5B-AB04-6E64556427F5]
105209315_00053 (imageset: BB93286C-0038-416C-A4E8-94D2760D5191);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/BB93286C-0038-416C-A4E8-94D2760D5191/batches/849D1F72-4C74-4A5B-AB04-6E64556427F5]
105209389_00389 (imageset: E961442E-DCBF-476D-A1A5-0F6C9D929B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/E961442E-DCBF-476D-A1A5-0F6C9D929B99/batches/E380D26F-FB09-4F7A-875F-5C08DD9EEB94]
105209389_00148 (imageset: E961442E-DCBF-476D-A1A5-0F6C9D929B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/E961442E-DCBF-476D-A1A5-0F6C9D929B99/batches/D6D0A74E-94D2-4D8D-87B3-3B247BC14AFB]
105209389_00383 (imageset: E961442E-DCBF-476D-A1A5-0F6C9D929B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/E961442E-DCBF-476D-A1A5-0F6C9D929B99/batches/F9AAC90D-D1F3-4921-8953-4AFCA43C128E]
105209384_00366 (imageset: 091CC301-EF95-4DA9-A4F1-5D1D149598E2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/091CC301-EF95-4DA9-A4F1-5D1D149598E2/batches/9660E3AC-B373-4529-AEFC-FC8B92817FE8]
105209389_00384 (imageset: E961442E-DCBF-476D-A1A5-0F6C9D929B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/E961442E-DCBF-476D-A1A5-0F6C9D929B99/batches/F9AAC90D-D1F3-4921-8953-4AFCA43C128E]
105209384_00367 (imageset: 091CC301-EF95-4DA9-A4F1-5D1D149598E2);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/091CC301-EF95-4DA9-A4F1-5D1D149598E2/batches/9660E3AC-B373-4529-AEFC-FC8B92817FE8]
105209389_00021 (imageset: E961442E-DCBF-476D-A1A5-0F6C9D929B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/E961442E-DCBF-476D-A1A5-0F6C9D929B99/batches/6A1DB0D6-D06D-4B5E-AB6B-7D45D42A56EE]
105148503_00235 (imageset: EEAA097D-F232-4700-892D-740C95AE0DDC);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/EEAA097D-F232-4700-892D-740C95AE0DDC/batches/12F29C2A-28E3-470B-97F5-446F71702227]
105209389_00385 (imageset: E961442E-DCBF-476D-A1A5-0F6C9D929B99);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/62F09EDA-AC6A-48A9-AE83-91E3EF4C9AE0/manage/E961442E-DCBF-476D-A1A5-0F6C9D929B99/batches/F9AAC90D-D1F3-4921-8953-4AFCA43C128E]
