Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH_SHOULD_BE_EXPORTED: 4286;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 300;
526176B5-AF2A-49F1-A308-B51AE35BFE18;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
AD962289-419C-434B-A785-7EA4A6AD52F5;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
1003BF84-7B91-4ACA-8ACC-0E0F4B42CA27;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_SHOULD_BE_EXPORTED;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/63D95F71-E93E-44CE-9AB4-4E8B7D1190C3/manage/2D9FEB35-4BE9-4156-8D69-F17DF0D26520/batches/1003BF84-7B91-4ACA-8ACC-0E0F4B42CA27]
9565FB53-F835-444F-9C56-681D7473FCD6;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
C0C2020F-D610-4F6B-A680-37C46A1F305B;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
FD4B1AA6-7EA3-4CFB-BD10-0DF10ECD8678;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
1EB73CD4-FD6F-4B05-8744-EA29205985F8;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
49F731EF-65AD-4915-AB71-0A00297951EF;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
92D9D638-C15A-44B8-9C96-A535BD446FCB;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
F05DC4A5-032A-4CD5-B039-D71AC3B0A26D;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
97A5B51B-DE00-4957-B5CA-BAB2F2E8DBF6;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
E97C2D9A-52DB-4693-AD80-B83D5565DD7C;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
D1EEE2AF-011E-47E1-B57D-8878972A9A18;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
9A09ECEF-806C-498B-B0AA-583371811945;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
22138556-F8F6-4C3E-A7D9-C76A2DD02C49;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
DC2085CC-7A20-46D0-A9F8-584A2B52D9CE;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
16D91E09-102E-492A-9C5E-AC19B0DFE775;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
EDF64FE4-A40D-4702-91E5-DB460DFCC511;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
39712C9D-1865-40B8-9387-568ACD87BB2B;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
F2E24396-373B-4DB5-A454-ECDEFE2E4862;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
D76BEFDB-4C6A-482F-A285-475CDC0DA73D;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
F716D97B-727B-48E1-A6F3-9CB98F267584;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
CD391623-3299-4DD0-8AC2-2294841BE3B0;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
5E0344AF-5CB6-4A4D-951B-AB65AECBE5E8;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
C307C4B0-C934-47F7-A5B2-C6700F33AD43;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
BD431D38-F229-49AD-B071-67FABFE8AEFD;BATCH;BATCH_SHOULD_BE_EXPORTED;[BATCH|]
