Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 98;
ACE74009-3DE1-4CAC-B7CB-2B1D976AE2ED;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/F0C7B5A0-6109-4CBD-A548-65ABCB59FC41/batches/ACE74009-3DE1-4CAC-B7CB-2B1D976AE2ED]
EF2D6730-F799-4894-9C44-D2316D834A2D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/C428FA71-5A2B-4C50-935D-52AFC4B5241E/batches/EF2D6730-F799-4894-9C44-D2316D834A2D]
3500E41B-EC69-4C99-88B6-3B10B05064FD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/16ED7E24-B139-41D0-9B8F-D0358CDF3EED/batches/3500E41B-EC69-4C99-88B6-3B10B05064FD]
133FC5BA-EE8F-43DC-991C-64B9BFE3108A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/14D77BC1-414D-4F30-B020-B635696849D4/batches/133FC5BA-EE8F-43DC-991C-64B9BFE3108A]
EE375B3F-923D-4F26-8851-508A2612DB24;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/F0C7B5A0-6109-4CBD-A548-65ABCB59FC41/batches/EE375B3F-923D-4F26-8851-508A2612DB24]
FC67BFC5-4366-47EE-BF9F-B299B73E84DB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/0451988F-8343-4EEE-AD8D-2E75ABC98869/batches/FC67BFC5-4366-47EE-BF9F-B299B73E84DB]
4BAE9F61-EE1C-494D-ADB6-5E1CC8EF31A5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/8C520E18-2EA3-423D-81B9-7EDF97B3BD72/batches/4BAE9F61-EE1C-494D-ADB6-5E1CC8EF31A5]
D54AC1BB-29BA-4844-9C83-9D26FB140A16;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/16ED7E24-B139-41D0-9B8F-D0358CDF3EED/batches/D54AC1BB-29BA-4844-9C83-9D26FB140A16]
0491C816-D24C-4622-A1BF-79B33F978073;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/C428FA71-5A2B-4C50-935D-52AFC4B5241E/batches/0491C816-D24C-4622-A1BF-79B33F978073]
FC2767CD-932C-4B0B-A65D-6F9AD3558DEB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/831B5C2C-54AD-464C-B530-6B0D70A048C1/batches/FC2767CD-932C-4B0B-A65D-6F9AD3558DEB]
3EB5B7F4-579C-45D5-9D5D-D4027BB0E23C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/16ED7E24-B139-41D0-9B8F-D0358CDF3EED/batches/3EB5B7F4-579C-45D5-9D5D-D4027BB0E23C]
F5D7CA1E-343A-4974-86E3-A9F96FC0136C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/14D77BC1-414D-4F30-B020-B635696849D4/batches/F5D7CA1E-343A-4974-86E3-A9F96FC0136C]
E086752F-384C-4932-8B69-6E69518C3C52;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/14D77BC1-414D-4F30-B020-B635696849D4/batches/E086752F-384C-4932-8B69-6E69518C3C52]
A11051E8-961E-43FC-B2D1-0B6DE95D0848;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/236B45FD-C122-41CF-A05E-5F61475D89E1/batches/A11051E8-961E-43FC-B2D1-0B6DE95D0848]
E47EAC5B-40C3-4097-AED9-CAA6A818FBC9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/831B5C2C-54AD-464C-B530-6B0D70A048C1/batches/E47EAC5B-40C3-4097-AED9-CAA6A818FBC9]
78332DD9-022C-46A6-9F91-87DCA84AE05F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/5C5C6D34-F470-4F14-AEA8-7489A7474AFA/batches/78332DD9-022C-46A6-9F91-87DCA84AE05F]
D1551552-74FF-4803-8EAC-EBD0A76B601A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/654318A1-69C6-42E9-AAE2-47164AD6FC28/batches/D1551552-74FF-4803-8EAC-EBD0A76B601A]
5959A61F-505C-4340-8F59-1F4D67349C42;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/C428FA71-5A2B-4C50-935D-52AFC4B5241E/batches/5959A61F-505C-4340-8F59-1F4D67349C42]
A66B2402-6F70-4274-A485-1308A0BC60FF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/C428FA71-5A2B-4C50-935D-52AFC4B5241E/batches/A66B2402-6F70-4274-A485-1308A0BC60FF]
24DCB3BB-F83A-48AE-945F-4D3825F247A5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/E08AB44B-488D-4618-95AF-750657B3202F/batches/24DCB3BB-F83A-48AE-945F-4D3825F247A5]
94A00AE9-D2D0-4606-BEFD-DB030B8C3204;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/A5B6FB85-3906-47B7-AF2C-6C758053DC8A/batches/94A00AE9-D2D0-4606-BEFD-DB030B8C3204]
0AA3595D-A634-4A37-BB3F-9B3EBE324514;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/75A3E985-559B-4FBE-AE3A-28D146D79FE2/batches/0AA3595D-A634-4A37-BB3F-9B3EBE324514]
9399582A-C1CB-4EB0-B948-6BC26503F53D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/14D77BC1-414D-4F30-B020-B635696849D4/batches/9399582A-C1CB-4EB0-B948-6BC26503F53D]
BD832223-097E-41B7-B6BD-4211320136EC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/C428FA71-5A2B-4C50-935D-52AFC4B5241E/batches/BD832223-097E-41B7-B6BD-4211320136EC]
670CBA5F-4EDC-42FB-98B1-4772BB2BB550;PROJECT;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/overview]
1A1EDDD5-BE81-4F76-B2C2-87180731B533;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/654318A1-69C6-42E9-AAE2-47164AD6FC28/batches/1A1EDDD5-BE81-4F76-B2C2-87180731B533]
E411E876-0116-4625-9DCA-F30981D74F72;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/F0C7B5A0-6109-4CBD-A548-65ABCB59FC41/batches/E411E876-0116-4625-9DCA-F30981D74F72]
B567ECDE-FB6D-4D70-AA1A-6A25FDF8C594;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/9EE339C2-2BD9-4EDC-8C08-CC3DC9EF9E06/batches/B567ECDE-FB6D-4D70-AA1A-6A25FDF8C594]
70494F6C-516E-4D3E-B667-43BFA0136EA3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/670CBA5F-4EDC-42FB-98B1-4772BB2BB550/manage/C23BD42E-1E9F-4FE0-AD22-3CEF9DD508EE/batches/70494F6C-516E-4D3E-B667-43BFA0136EA3]
