Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 10;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 482;
102773591_00110 (imageset: E7486084-F4CC-494C-B614-168C691D7C68);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/E7486084-F4CC-494C-B614-168C691D7C68/batches/BB2DE086-0505-4BC7-B282-D583F1A0CCB6]
102773591_00112 (imageset: E7486084-F4CC-494C-B614-168C691D7C68);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/E7486084-F4CC-494C-B614-168C691D7C68/batches/BB2DE086-0505-4BC7-B282-D583F1A0CCB6]
102384293_00326 (imageset: 50BE6D71-2FCA-4ACE-8D64-63E6E7D18CBF);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/50BE6D71-2FCA-4ACE-8D64-63E6E7D18CBF/batches/72A484BF-7689-4055-8719-08980256D75A]
102773591_00111 (imageset: E7486084-F4CC-494C-B614-168C691D7C68);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/E7486084-F4CC-494C-B614-168C691D7C68/batches/BB2DE086-0505-4BC7-B282-D583F1A0CCB6]
102384293_00327 (imageset: 50BE6D71-2FCA-4ACE-8D64-63E6E7D18CBF);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/50BE6D71-2FCA-4ACE-8D64-63E6E7D18CBF/batches/72A484BF-7689-4055-8719-08980256D75A]
102748727_00050 (imageset: 054ACD46-200D-43D6-BC9C-B245A4F47C21);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/054ACD46-200D-43D6-BC9C-B245A4F47C21/batches/19348C0C-650F-4CA0-B60E-746ADF8ED669]
102773556_00028 (imageset: 044924AB-7B6A-4054-B821-49765AC2AB96);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/044924AB-7B6A-4054-B821-49765AC2AB96/batches/CAD49A46-5DCB-4964-B94F-5ECB7348DCD5]
102748727_00052 (imageset: 054ACD46-200D-43D6-BC9C-B245A4F47C21);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/054ACD46-200D-43D6-BC9C-B245A4F47C21/batches/19348C0C-650F-4CA0-B60E-746ADF8ED669]
102773591_00369 (imageset: E7486084-F4CC-494C-B614-168C691D7C68);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/E7486084-F4CC-494C-B614-168C691D7C68/batches/950325F8-93C9-4549-B72B-AB484F671B87]
102773591_00368 (imageset: E7486084-F4CC-494C-B614-168C691D7C68);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/E7486084-F4CC-494C-B614-168C691D7C68/batches/950325F8-93C9-4549-B72B-AB484F671B87]
102384256_00050 (imageset: 5A0C2F07-7BC5-441C-832C-6C15C8FEF1AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/5A0C2F07-7BC5-441C-832C-6C15C8FEF1AF/batches/D3BBF5C8-5B65-477A-8A19-302B94D78006]
102384256_00051 (imageset: 5A0C2F07-7BC5-441C-832C-6C15C8FEF1AF);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/5A0C2F07-7BC5-441C-832C-6C15C8FEF1AF/batches/D3BBF5C8-5B65-477A-8A19-302B94D78006]
102748727_00081 (imageset: 054ACD46-200D-43D6-BC9C-B245A4F47C21);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/054ACD46-200D-43D6-BC9C-B245A4F47C21/batches/6E02FB3D-07A1-43F6-865E-3250A15EFB25]
102727308_00131 (imageset: 8F57DBBA-004F-4877-8C06-143BD39E143D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/690AEF5A-D245-49ED-90D0-0E2E3EF099CB/manage/8F57DBBA-004F-4877-8C06-143BD39E143D/batches/FACAD9DB-C114-4081-99A7-C9B69ADAB248]
