Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 272;
104278738 (C4FF5ED9-062B-49F9-88B1-10E7B48EED0C);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/C4FF5ED9-062B-49F9-88B1-10E7B48EED0C/batches/list]
104278641 (4FE9A11E-A133-40EB-A840-44F072A60C87);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/4FE9A11E-A133-40EB-A840-44F072A60C87/batches/list]
104278707 (33777EBA-1101-4D48-A912-0831079AA5C1);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/33777EBA-1101-4D48-A912-0831079AA5C1/batches/list]
104278717 (C373BEC8-A088-4171-B576-A7EEFDD1AE23);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/C373BEC8-A088-4171-B576-A7EEFDD1AE23/batches/list]
104278654 (D69F92D2-E8BE-4B15-8CA7-4F70D8977302);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/D69F92D2-E8BE-4B15-8CA7-4F70D8977302/batches/list]
104278590 (850B8012-33F4-4048-B35C-8269AB83E116);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/850B8012-33F4-4048-B35C-8269AB83E116/batches/list]
104278582 (42D43377-6CDC-4BF7-BE66-0F0B8110D0C3);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/42D43377-6CDC-4BF7-BE66-0F0B8110D0C3/batches/list]
104278694 (8B2FA923-7EAE-4D36-BFD2-24F4A2F42998);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/8B2FA923-7EAE-4D36-BFD2-24F4A2F42998/batches/list]
104278686 (050CE146-1B7B-409A-9AE3-0C53F38AC065);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/050CE146-1B7B-409A-9AE3-0C53F38AC065/batches/list]
104278615 (6F65322F-4FB6-46E3-917F-1B562FD2B072);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/6F65322F-4FB6-46E3-917F-1B562FD2B072/batches/list]
104278539 (DF9BBD85-A860-467E-A164-84417D344B10);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/DF9BBD85-A860-467E-A164-84417D344B10/batches/list]
104278532 (ED67DB78-B2A7-4FFA-A9F0-B1970443F221);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/ED67DB78-B2A7-4FFA-A9F0-B1970443F221/batches/list]
104278670 (78A14A06-E300-4528-867D-B54F6F3F2995);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/78A14A06-E300-4528-867D-B54F6F3F2995/batches/list]
104278734 (085E4674-681F-44C3-B2A2-03C3EB021B8A);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/6B027497-5022-4EFB-A550-8F4B587F9E6B/manage/085E4674-681F-44C3-B2A2-03C3EB021B8A/batches/list]
