Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
101169950_00217 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/5B6C2E44-41C5-4424-A9A0-AEEC59AFDB53]
101169950_00206 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/0BA70D30-19FC-43E2-B4D4-436F463FD3BC]
101169900_00063 (imageset: FF43AEDD-D154-4506-9ED8-13DBC323AD51);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/FF43AEDD-D154-4506-9ED8-13DBC323AD51/batches/1DAD7B9D-9593-43A2-AA71-3A054531BEFE]
101166902_00217 (imageset: DAB887F4-DD17-40BF-B68B-FCD13CBE223B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/DAB887F4-DD17-40BF-B68B-FCD13CBE223B/batches/9D6E393E-DAC8-4CEE-9043-2324583D7DDD]
101166837_00235 (imageset: 96BAAAF3-1342-473B-83E4-2C8A07E56686);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/96BAAAF3-1342-473B-83E4-2C8A07E56686/batches/1E686929-8C52-41D3-956B-1485918C2F3E]
101169950_00109 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/836A553E-F8BF-4032-B953-669DFCB9FB7F]
101166902_00369 (imageset: DAB887F4-DD17-40BF-B68B-FCD13CBE223B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/DAB887F4-DD17-40BF-B68B-FCD13CBE223B/batches/2CD57E3E-8D5E-4299-B200-140382B7CC96]
101169950_00207 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/88E19D1B-1AF4-4D53-AC25-5459E6386E68]
101169950_00271 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/74678AFC-3C6F-4725-94A1-C6FB8DDEB6DB]
101169950_00350 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/364EB9B1-C0BF-46A2-8D2D-214B4F65A07D]
101169950_00173 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/32C86B23-83DC-4935-8CA2-2EDD12A74A30]
101169950_00063 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/2B16D300-A85D-4634-9BBB-199451AD033B]
101169891_00542 (imageset: 6466DC01-00F0-443B-9B6E-20E6DD40DD3B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/6466DC01-00F0-443B-9B6E-20E6DD40DD3B/batches/8960B90D-1EFC-42DB-B3CE-BA2B02B680FE]
101169950_00363 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/1AC77509-5180-4059-92B1-C2550C1FD73A]
101169950_00145 (imageset: 8636ED4F-1895-41CF-903E-AB0601496103);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/8636ED4F-1895-41CF-903E-AB0601496103/batches/61949B24-957D-448D-AB27-A855998D5B07]
101166924_00273 (imageset: D0531581-EEA5-48C1-BFA6-412588204E6D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/D0531581-EEA5-48C1-BFA6-412588204E6D/batches/585D12D7-9DAF-4647-92D4-741AB7EC362C]
101169883_00053 (imageset: CB44E101-91E0-4E13-9015-3C0E40C05F90);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/CB44E101-91E0-4E13-9015-3C0E40C05F90/batches/C8C93BB1-A865-4B26-B82F-A96E70342CAB]
101166912_00572 (imageset: 1A1F17DE-DD48-4DEE-ABF5-9120E6331202);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/1A1F17DE-DD48-4DEE-ABF5-9120E6331202/batches/233250F8-F3A5-4A8B-91D8-F5C9EB4EC330]
101169698_00289 (imageset: 31267328-ADBA-437D-A027-AEC18C7A0D75);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/31267328-ADBA-437D-A027-AEC18C7A0D75/batches/DE843A70-AF1F-485A-8ABD-1A14E2F0B266]
101113970_00056 (imageset: 5A772DF0-E526-4D17-ACD3-9F69C96BFED0);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6B88A789-F2DD-4BEE-9CB4-4BF3762C3BCF/manage/5A772DF0-E526-4D17-ACD3-9F69C96BFED0/batches/A22DE45D-D3C3-4380-B417-4320E82E7029]
