Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 39;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 1744;
005491651_00020 (imageset: 23E49C6F-265E-40AB-96F8-42408BE348D4);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/23E49C6F-265E-40AB-96F8-42408BE348D4/batches/802FD03D-7A1E-447D-934A-EBACF5BB9EA1]
005491698_00478 (imageset: D8DA42AB-D2A6-4A53-AD24-B568685C7A76);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/D8DA42AB-D2A6-4A53-AD24-B568685C7A76/batches/021F6F8C-4DA2-45B2-8DE5-C9095B51DE56]
005492105_01150 (imageset: D86DD93F-E81D-49CF-B7C0-0B28BB02AF2F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/D86DD93F-E81D-49CF-B7C0-0B28BB02AF2F/batches/44A3D8F4-D462-447D-B3C1-8DF9D0E14962]
005492138_00608 (imageset: 3B2B477F-84C4-4004-AAB2-5BF56959055A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/3B2B477F-84C4-4004-AAB2-5BF56959055A/batches/04219E1B-270A-4A0A-999C-AA21BA8D9A43]
005492138_00609 (imageset: 3B2B477F-84C4-4004-AAB2-5BF56959055A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/3B2B477F-84C4-4004-AAB2-5BF56959055A/batches/04219E1B-270A-4A0A-999C-AA21BA8D9A43]
005491645_00347 (imageset: E2003288-2B66-415E-9EB8-2A198342F59D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/E2003288-2B66-415E-9EB8-2A198342F59D/batches/E03826E6-E9D3-4470-A814-ED9B9EFC5C51]
005491645_00346 (imageset: E2003288-2B66-415E-9EB8-2A198342F59D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/E2003288-2B66-415E-9EB8-2A198342F59D/batches/E03826E6-E9D3-4470-A814-ED9B9EFC5C51]
005491645_00345 (imageset: E2003288-2B66-415E-9EB8-2A198342F59D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/E2003288-2B66-415E-9EB8-2A198342F59D/batches/E03826E6-E9D3-4470-A814-ED9B9EFC5C51]
005492080_00304 (imageset: 5F57E837-3329-4381-BCDE-119C8F609DD5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6C8A7EDF-A21F-415F-A649-451EFAFE2DDD/manage/5F57E837-3329-4381-BCDE-119C8F609DD5/batches/154133D2-0D19-4E8B-B773-B053CC794568]
