Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 98;
C22C00F0-FDBB-47D1-88BC-08A8577771BC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/13BD0369-B1AB-4305-BF13-001F44421FA9/batches/C22C00F0-FDBB-47D1-88BC-08A8577771BC]
9C03E37C-4D8E-4C9E-8902-9DDFA2EAFE14;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/B6FD4514-7926-49FD-9F7C-DDF31A2A963F/batches/9C03E37C-4D8E-4C9E-8902-9DDFA2EAFE14]
08E418E1-3A73-441D-95E3-219AB7440FB8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/FC15A72C-34F2-4A7D-9F6C-35A8A3212931/batches/08E418E1-3A73-441D-95E3-219AB7440FB8]
AEB30724-8A46-4F2A-936B-DDAC915AE4D8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/FC15A72C-34F2-4A7D-9F6C-35A8A3212931/batches/AEB30724-8A46-4F2A-936B-DDAC915AE4D8]
3ED4FA92-BBCC-42BB-BD75-A80577EFFAC3;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/A96D99DB-1E5E-4792-8719-FE613A2E92FF/batches/3ED4FA92-BBCC-42BB-BD75-A80577EFFAC3]
335F8EF2-91B9-4DD7-BBE5-13480D01DA17;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/A79B5581-8FE7-4904-A23F-8DAFFE4B9E88/batches/335F8EF2-91B9-4DD7-BBE5-13480D01DA17]
A245875D-C696-41B0-837D-694B0369FD1A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/B6FD4514-7926-49FD-9F7C-DDF31A2A963F/batches/A245875D-C696-41B0-837D-694B0369FD1A]
D0F691C6-81E3-4AB8-A332-1F911BDAE79C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/99FBF444-9A38-4A8E-9383-19D4C20E6C51/batches/D0F691C6-81E3-4AB8-A332-1F911BDAE79C]
152B36A3-C968-4E7C-A2B2-D102B055DEB0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/A96D99DB-1E5E-4792-8719-FE613A2E92FF/batches/152B36A3-C968-4E7C-A2B2-D102B055DEB0]
A9CC48FC-C96E-46B8-8A6B-4DFC0F3073F3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/D769AA73-677E-49CD-85DA-1D7EE0335C03/batches/A9CC48FC-C96E-46B8-8A6B-4DFC0F3073F3]
188CE92E-E285-4ACE-8D89-368B93D41BBD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/99FBF444-9A38-4A8E-9383-19D4C20E6C51/batches/188CE92E-E285-4ACE-8D89-368B93D41BBD]
6DC39AF5-1671-4CCF-B759-F07252144C3F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/BEEA2DB0-D62C-4BA2-9D6D-C30519C768B6/batches/6DC39AF5-1671-4CCF-B759-F07252144C3F]
9BCC577D-7103-4B25-A3EB-5CC72BECCF60;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/D769AA73-677E-49CD-85DA-1D7EE0335C03/batches/9BCC577D-7103-4B25-A3EB-5CC72BECCF60]
13629B9D-28C6-49FF-AA81-8E6AAA9319C8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/93A26890-9962-4BD0-BEA4-5AB120F48E36/batches/13629B9D-28C6-49FF-AA81-8E6AAA9319C8]
C720C1B4-9047-4A9F-87AB-8E8FE947838A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/D8AB4221-C08A-4E17-82ED-1243DE3A3E50/batches/C720C1B4-9047-4A9F-87AB-8E8FE947838A]
3541DFC7-38A0-45AD-A67C-7896E2DF3E91;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/A79B5581-8FE7-4904-A23F-8DAFFE4B9E88/batches/3541DFC7-38A0-45AD-A67C-7896E2DF3E91]
73F22784-97A2-491C-905F-3B726C2DF7BD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/B5B34829-9E95-4E93-84A3-83F099DC675F/batches/73F22784-97A2-491C-905F-3B726C2DF7BD]
1892B06E-7BE7-4CA6-8C21-BE1C993B2E17;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/D8AB4221-C08A-4E17-82ED-1243DE3A3E50/batches/1892B06E-7BE7-4CA6-8C21-BE1C993B2E17]
965F0980-647B-4C2A-B27D-2D5A079F1E02;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/13D726B4-CEFF-4DE4-9960-62CD267F8858/batches/965F0980-647B-4C2A-B27D-2D5A079F1E02]
A61987E3-21C1-4885-AF1C-172312F35D52;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/B5B34829-9E95-4E93-84A3-83F099DC675F/batches/A61987E3-21C1-4885-AF1C-172312F35D52]
123E2EF9-11B0-4DF3-8D32-E3AC80E57F17;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/979184ED-6685-4430-A62C-B07F99A45707/batches/123E2EF9-11B0-4DF3-8D32-E3AC80E57F17]
CF949A86-A696-4AB6-8143-DC829BA2D66D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/26B35CBF-5E30-4EB5-9A37-6FE28191E027/batches/CF949A86-A696-4AB6-8143-DC829BA2D66D]
59C0C3AD-FE30-4092-8E25-D9A2ABBC83CB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/979184ED-6685-4430-A62C-B07F99A45707/batches/59C0C3AD-FE30-4092-8E25-D9A2ABBC83CB]
E4BC30C8-199C-42DB-ACDC-ADE12CA427A2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/B6FD4514-7926-49FD-9F7C-DDF31A2A963F/batches/E4BC30C8-199C-42DB-ACDC-ADE12CA427A2]
17A60B93-857C-4853-BC0E-D674D1F56E78;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/13BD0369-B1AB-4305-BF13-001F44421FA9/batches/17A60B93-857C-4853-BC0E-D674D1F56E78]
AB8973EE-286C-43BE-8762-DB790EEAAFF7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/7345C873-977F-472B-B9BB-EDA3961A0815/batches/AB8973EE-286C-43BE-8762-DB790EEAAFF7]
807B250E-6E84-4F83-A5B7-D58DE5708A31;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/B607DC2E-04E8-44CC-A02E-55D00DD8287D/batches/807B250E-6E84-4F83-A5B7-D58DE5708A31]
05C31472-05C5-4C19-9EC6-E2FC0B89A9BE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/7C8240AD-5B7E-4AE8-ABDD-BEF4D11292C2/batches/05C31472-05C5-4C19-9EC6-E2FC0B89A9BE]
A385D395-1211-4578-BDE9-86CFBC4B8BB1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/6DEE09E6-5AB6-44E9-871F-E369E0759F08/manage/FB1D41BE-72C1-47ED-9CB0-908246C4B42A/batches/A385D395-1211-4578-BDE9-86CFBC4B8BB1]
