Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 337;
004139987_00065 (imageset: 567CCE14-9C85-4E73-B486-7F176A395F23);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/567CCE14-9C85-4E73-B486-7F176A395F23/batches/5021E853-4E71-4F69-9EC5-5ABBDB958090]
007984258_00360 (imageset: CF594910-7790-4C25-834C-7C0230AF5A59);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/CF594910-7790-4C25-834C-7C0230AF5A59/batches/770C6FCE-5BB3-4A31-9A92-D68825E3FBAE]
004140806_00310 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/88287AD4-7417-4D3B-A735-AEDD7B0EFBE0]
004140806_00430 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/836B78E5-75F2-4D96-AA6C-399F70B8B7CD]
004140806_00553 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/2BC84594-3383-43E4-967A-80799DB66F84]
004140806_00556 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/A4C10B0A-8624-4252-8B5D-887D6787EC73]
004116137_00233 (imageset: ABD9EEC3-D551-4EED-9EBC-09BB4AE7D45D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/ABD9EEC3-D551-4EED-9EBC-09BB4AE7D45D/batches/06B9DD53-CCBD-4CF3-AAF1-D8B6D520F25E]
004116137_00111 (imageset: ABD9EEC3-D551-4EED-9EBC-09BB4AE7D45D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/ABD9EEC3-D551-4EED-9EBC-09BB4AE7D45D/batches/77C759BC-3D7D-473B-ACA4-FDB30DA28098]
004140806_00555 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/19342B6B-A065-4F09-A7C8-C821661F6AF9]
004140668_01109 (imageset: 2624D81D-97FB-4751-A139-D40EC78D63ED);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/2624D81D-97FB-4751-A139-D40EC78D63ED/batches/13F05C32-E9B2-4568-AD4F-FB9666D08CEF]
004139402_00132 (imageset: 9ADDA58E-2433-451C-A7AF-B9F209042570);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/9ADDA58E-2433-451C-A7AF-B9F209042570/batches/DD94D13A-97CC-4797-BBD6-6B06123334B5]
004139987_00184 (imageset: 567CCE14-9C85-4E73-B486-7F176A395F23);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/567CCE14-9C85-4E73-B486-7F176A395F23/batches/3A203180-F061-4C61-BC22-F089A6388157]
004140806_00557 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/86ADF314-224D-454C-8C0D-B205C44253F4]
004139987_00061 (imageset: 567CCE14-9C85-4E73-B486-7F176A395F23);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/567CCE14-9C85-4E73-B486-7F176A395F23/batches/64C276B9-966D-404E-ACDF-BE70FA3D9635]
004140806_00319 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/3E526947-F2A1-44E7-975F-A165A1AEBD46]
004140806_00420 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/D53BF256-6E20-4E05-A80E-4AAFAF943BC4]
004140806_00541 (imageset: 75F39720-BEED-4F64-94F6-9EE133B65C25);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/6F1F0B35-3C6C-4EEA-B1E0-05987B127DDE/manage/75F39720-BEED-4F64-94F6-9EE133B65C25/batches/8FA0F05F-88D6-40C2-8C55-4420F29F1471]
