Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 11;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
008343127 (54B16F2F-24B1-41AD-978D-56A15DFAA073);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/54B16F2F-24B1-41AD-978D-56A15DFAA073/batches/list]
008343124 (F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/list]
008300741 (DA5E8764-8BFD-4CB6-BFDC-560D3AE10322);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/DA5E8764-8BFD-4CB6-BFDC-560D3AE10322/batches/list]
008343125 (61960567-3A2B-4A7C-BEAD-B26E7E98CE77);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/61960567-3A2B-4A7C-BEAD-B26E7E98CE77/batches/list]
008343120 (3FFCD32F-AD20-4947-BBA1-1A58D09EBD48);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/3FFCD32F-AD20-4947-BBA1-1A58D09EBD48/batches/list]
008343123 (CD1348A1-F39F-4C07-A25D-7DAC13BB8664);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/CD1348A1-F39F-4C07-A25D-7DAC13BB8664/batches/list]
008343126 (8E6BE61A-E41C-4272-81D5-9360206E4967);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/8E6BE61A-E41C-4272-81D5-9360206E4967/batches/list]
008343121 (DF29F50E-D858-45C6-97CB-DD0F6BD75842);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/DF29F50E-D858-45C6-97CB-DD0F6BD75842/batches/list]
008343122 (2CFC95CF-DE05-4A86-882A-E16058052527);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/2CFC95CF-DE05-4A86-882A-E16058052527/batches/list]
008343129 (3A057170-7466-4761-A7B4-B72ADB87C786);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/3A057170-7466-4761-A7B4-B72ADB87C786/batches/list]
008343128 (E2968577-DD06-4758-84C8-61772A5BADDD);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/E2968577-DD06-4758-84C8-61772A5BADDD/batches/list]
008343127_00852 (imageset: 54B16F2F-24B1-41AD-978D-56A15DFAA073);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/54B16F2F-24B1-41AD-978D-56A15DFAA073/batches/12A00DCF-882F-45B9-8C7B-F884712A2279]
008343126_00122 (imageset: 8E6BE61A-E41C-4272-81D5-9360206E4967);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/8E6BE61A-E41C-4272-81D5-9360206E4967/batches/90E532F0-A339-4A9C-87CB-35B38DAC7F00]
008343120_00191 (imageset: 3FFCD32F-AD20-4947-BBA1-1A58D09EBD48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/3FFCD32F-AD20-4947-BBA1-1A58D09EBD48/batches/67305548-CCDD-49E7-9B8F-E1EA3CAB2E34]
008343124_00480 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/410E58C5-C199-40EA-97BB-E72BDE4924F0]
008343126_00564 (imageset: 8E6BE61A-E41C-4272-81D5-9360206E4967);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/8E6BE61A-E41C-4272-81D5-9360206E4967/batches/EA7DC3BC-A20C-4979-8B2B-7EC86677EDD7]
008343122_00233 (imageset: 2CFC95CF-DE05-4A86-882A-E16058052527);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/2CFC95CF-DE05-4A86-882A-E16058052527/batches/93441CCB-1E05-48A7-8DC2-F82BB42C4709]
008343124_00521 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/C2080CDF-8A23-4054-9118-5E7FCEFEC7E6]
008343124_00463 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/5057F087-463C-47A1-A19F-9BBFB24D3571]
008343124_00461 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/5057F087-463C-47A1-A19F-9BBFB24D3571]
008343124_00481 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/410E58C5-C199-40EA-97BB-E72BDE4924F0]
008343124_00227 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/0F3657DE-916F-47C8-AF4C-EFD7D23FA9C9]
008343125_00195 (imageset: 61960567-3A2B-4A7C-BEAD-B26E7E98CE77);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/61960567-3A2B-4A7C-BEAD-B26E7E98CE77/batches/E7C4F36A-F5D7-47FA-B143-59618AC151BC]
008343124_00228 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/0F3657DE-916F-47C8-AF4C-EFD7D23FA9C9]
008343120_00452 (imageset: 3FFCD32F-AD20-4947-BBA1-1A58D09EBD48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/3FFCD32F-AD20-4947-BBA1-1A58D09EBD48/batches/4242C8F4-2479-461A-B043-6B6D9577C931]
008343124_00522 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/C2080CDF-8A23-4054-9118-5E7FCEFEC7E6]
008343120_00455 (imageset: 3FFCD32F-AD20-4947-BBA1-1A58D09EBD48);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/3FFCD32F-AD20-4947-BBA1-1A58D09EBD48/batches/4242C8F4-2479-461A-B043-6B6D9577C931]
008343128_00574 (imageset: E2968577-DD06-4758-84C8-61772A5BADDD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/E2968577-DD06-4758-84C8-61772A5BADDD/batches/EBDE949F-C5F7-47E0-9CEE-F53DAD17584B]
008343128_00131 (imageset: E2968577-DD06-4758-84C8-61772A5BADDD);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/E2968577-DD06-4758-84C8-61772A5BADDD/batches/90836653-9713-4612-AF1D-CBC533CE0A4A]
008343124_00230 (imageset: F49EE3BE-11CF-492B-ABFA-3AEF0FA12993);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/F49EE3BE-11CF-492B-ABFA-3AEF0FA12993/batches/0F3657DE-916F-47C8-AF4C-EFD7D23FA9C9]
008343123_00469 (imageset: CD1348A1-F39F-4C07-A25D-7DAC13BB8664);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71200538-E280-4F50-8D6F-CF1C55AD9794/manage/CD1348A1-F39F-4C07-A25D-7DAC13BB8664/batches/28B892D1-4B81-4AE4-B012-2F24360B256B]
