Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 10;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 179584;
005257988_02800 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/671C39C7-4FB8-4D72-BDC2-7B12955F5AD9]
005257988_02801 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/671C39C7-4FB8-4D72-BDC2-7B12955F5AD9]
005257988_02802 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/671C39C7-4FB8-4D72-BDC2-7B12955F5AD9]
005257988_02803 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/671C39C7-4FB8-4D72-BDC2-7B12955F5AD9]
005257988_02819 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/C501D44C-9587-4D77-AFFF-8E1E1962DDE8]
005257988_02820 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/C501D44C-9587-4D77-AFFF-8E1E1962DDE8]
005257988_02821 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/C501D44C-9587-4D77-AFFF-8E1E1962DDE8]
005257988_02822 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/C501D44C-9587-4D77-AFFF-8E1E1962DDE8]
005257988_02823 (imageset: 254E282C-692D-49EB-9D82-786F5DE5351E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71E758F8-030C-4070-8271-78120ACA78E7/manage/254E282C-692D-49EB-9D82-786F5DE5351E/batches/C501D44C-9587-4D77-AFFF-8E1E1962DDE8]
