Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 54;
007643986_00131 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007643986_00133 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007654006_00289 (imageset: 91DB05FC-ADC3-43A5-A016-B1CA4D45A1F5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/91DB05FC-ADC3-43A5-A016-B1CA4D45A1F5/batches/224A063A-A41D-466E-9D4E-BEA9B7FD6CB1]
007643986_00130 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007653802_00233 (imageset: C35828A8-C35F-45A9-BAF8-E3BA22BE661B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/C35828A8-C35F-45A9-BAF8-E3BA22BE661B/batches/DA543B64-F8EA-4B84-9B5C-8662371CE584]
007654007_00612 (imageset: 0DBFDEB8-B9A3-4769-A57E-BE764330AA28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/0DBFDEB8-B9A3-4769-A57E-BE764330AA28/batches/8C13F27E-97E3-4A49-952D-29F0D0F50CCD]
007643986_00135 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007654007_00610 (imageset: 0DBFDEB8-B9A3-4769-A57E-BE764330AA28);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/0DBFDEB8-B9A3-4769-A57E-BE764330AA28/batches/8C13F27E-97E3-4A49-952D-29F0D0F50CCD]
007653873_00491 (imageset: 90E28061-5667-4D90-9994-F71FAC578A50);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/90E28061-5667-4D90-9994-F71FAC578A50/batches/C7F85929-5557-427D-AA09-FB72340905F5]
007653873_00493 (imageset: 90E28061-5667-4D90-9994-F71FAC578A50);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/90E28061-5667-4D90-9994-F71FAC578A50/batches/C7F85929-5557-427D-AA09-FB72340905F5]
007653802_00227 (imageset: C35828A8-C35F-45A9-BAF8-E3BA22BE661B);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/C35828A8-C35F-45A9-BAF8-E3BA22BE661B/batches/DA543B64-F8EA-4B84-9B5C-8662371CE584]
007653873_00495 (imageset: 90E28061-5667-4D90-9994-F71FAC578A50);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/90E28061-5667-4D90-9994-F71FAC578A50/batches/C7F85929-5557-427D-AA09-FB72340905F5]
007653997_00400 (imageset: 40CD1182-D5BB-46B1-ADCD-01733EEFF06E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/40CD1182-D5BB-46B1-ADCD-01733EEFF06E/batches/6EBF4F6A-A483-4779-B27F-96A751615E85]
007654006_00281 (imageset: 91DB05FC-ADC3-43A5-A016-B1CA4D45A1F5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/91DB05FC-ADC3-43A5-A016-B1CA4D45A1F5/batches/224A063A-A41D-466E-9D4E-BEA9B7FD6CB1]
007653886_00451 (imageset: 932013F6-52FC-4BC1-AF5A-F39F29514E55);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/932013F6-52FC-4BC1-AF5A-F39F29514E55/batches/CA1DA2D2-2BCE-4A37-9394-81BF8E782ADE]
007643986_00123 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007654005_00280 (imageset: D670069D-4CD6-416F-A4D3-7B84AA9F46E6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/D670069D-4CD6-416F-A4D3-7B84AA9F46E6/batches/B9A472B6-BDC1-4816-9751-6049F5F5845C]
007643986_00124 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007643986_00125 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007643986_00126 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007643986_00127 (imageset: 8EC9859F-F0E3-439F-A6F9-61D52B00F48A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/8EC9859F-F0E3-439F-A6F9-61D52B00F48A/batches/D564C1F9-028A-4D8C-8744-337A49BDFF2F]
007653997_00391 (imageset: 40CD1182-D5BB-46B1-ADCD-01733EEFF06E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/40CD1182-D5BB-46B1-ADCD-01733EEFF06E/batches/6EBF4F6A-A483-4779-B27F-96A751615E85]
007653997_00392 (imageset: 40CD1182-D5BB-46B1-ADCD-01733EEFF06E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/40CD1182-D5BB-46B1-ADCD-01733EEFF06E/batches/6EBF4F6A-A483-4779-B27F-96A751615E85]
007653997_00393 (imageset: 40CD1182-D5BB-46B1-ADCD-01733EEFF06E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/40CD1182-D5BB-46B1-ADCD-01733EEFF06E/batches/6EBF4F6A-A483-4779-B27F-96A751615E85]
007654029_00591 (imageset: 1498387D-AF4C-4AFB-BB79-2E3C6F367F72);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/1498387D-AF4C-4AFB-BB79-2E3C6F367F72/batches/F6AC3D38-7EFE-454E-9EAF-B0EA649ECBC6]
007653997_00394 (imageset: 40CD1182-D5BB-46B1-ADCD-01733EEFF06E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/40CD1182-D5BB-46B1-ADCD-01733EEFF06E/batches/6EBF4F6A-A483-4779-B27F-96A751615E85]
007653997_00395 (imageset: 40CD1182-D5BB-46B1-ADCD-01733EEFF06E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/71FF8271-F62E-403E-AEB0-93704C4B84E7/manage/40CD1182-D5BB-46B1-ADCD-01733EEFF06E/batches/6EBF4F6A-A483-4779-B27F-96A751615E85]
