Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 9;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 91;
E78BA345-3ED2-4AC0-83D2-494C98D600FC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/E4CE98A8-2FF4-4578-A2A7-A60B9A5BF6E1/batches/E78BA345-3ED2-4AC0-83D2-494C98D600FC]
C8A8D613-74B9-44A4-A781-0B95A9B8F4A1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/1F25EFF3-3B6B-448A-886F-880EC5F24872/batches/C8A8D613-74B9-44A4-A781-0B95A9B8F4A1]
A398A59A-20D3-463D-9ABE-21B69BFC4D2D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/5F1E70BD-634D-4C74-A57C-AA64466AC627/batches/A398A59A-20D3-463D-9ABE-21B69BFC4D2D]
873527CE-75F9-4606-B634-DCCA9056DAB9;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/ABA1CB79-65EE-4BCF-B138-C5286FC1119B/batches/873527CE-75F9-4606-B634-DCCA9056DAB9]
21F0F596-BCB2-4736-B24B-B7A3B09791BC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/E0786A6C-8440-47D2-93E4-B0B0A1A874C8/batches/21F0F596-BCB2-4736-B24B-B7A3B09791BC]
849B611A-64BC-4493-A351-16E3204BE0A2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/5F1E70BD-634D-4C74-A57C-AA64466AC627/batches/849B611A-64BC-4493-A351-16E3204BE0A2]
7A591073-2A56-445E-ABB8-459E358B0E15;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/F814037F-D322-4313-A8AC-2620F4E0EEC7/batches/7A591073-2A56-445E-ABB8-459E358B0E15]
8B204C8B-C798-4416-A8EB-8A996D34E8DC;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/45241976-4C3D-414E-977B-09AC5BE67FD5/batches/8B204C8B-C798-4416-A8EB-8A996D34E8DC]
8BD5946E-3657-43C4-B1E7-0970475EB3DE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/5F1E70BD-634D-4C74-A57C-AA64466AC627/batches/8BD5946E-3657-43C4-B1E7-0970475EB3DE]
63804BC2-87F7-4373-BA3E-26AED13C0743;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/8BBC97A8-12CE-467D-B7FA-C33E2B65D0FB/batches/63804BC2-87F7-4373-BA3E-26AED13C0743]
6E113F92-86A7-4237-BCF7-C9AE7E411227;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/1BFD126D-00B0-44CC-BFE9-F1F47DFCDD62/batches/6E113F92-86A7-4237-BCF7-C9AE7E411227]
8A11498B-C78C-449C-AFA9-D35E8814A817;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/5F1E70BD-634D-4C74-A57C-AA64466AC627/batches/8A11498B-C78C-449C-AFA9-D35E8814A817]
6B22AEB6-9A01-417F-8839-E47CCA32C99C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/E4CE98A8-2FF4-4578-A2A7-A60B9A5BF6E1/batches/6B22AEB6-9A01-417F-8839-E47CCA32C99C]
85B09E2A-05F1-47BA-BBBA-92C591EE4271;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/EE557DB9-EAA9-4C8E-8342-8D8F6F16DEC2/batches/85B09E2A-05F1-47BA-BBBA-92C591EE4271]
0DB2CB03-AF91-49BB-9797-413F430E2F2B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/E4CE98A8-2FF4-4578-A2A7-A60B9A5BF6E1/batches/0DB2CB03-AF91-49BB-9797-413F430E2F2B]
7494F884-130B-4758-9AC2-4217EFD540A7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/E4DC5134-82F1-43FD-A111-C033C56419E5/batches/7494F884-130B-4758-9AC2-4217EFD540A7]
697F9C3C-D88B-48A1-9B77-5BAF476AEDB3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/ABAA2C40-30F6-4A0F-A78C-5257E7AB7C14/batches/697F9C3C-D88B-48A1-9B77-5BAF476AEDB3]
39A1AAED-6AB8-4B3C-A5AE-C062897AFE00;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/5F1E70BD-634D-4C74-A57C-AA64466AC627/batches/39A1AAED-6AB8-4B3C-A5AE-C062897AFE00]
F1B83FC0-4B7C-4D99-9CA5-ECB5B35338DA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/D53E0FAB-3910-4D64-8148-8BE9DA0DE060/batches/F1B83FC0-4B7C-4D99-9CA5-ECB5B35338DA]
9096B769-F7E8-4A56-8C48-C7E61DE07375;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/91376D45-D08D-4517-9DE9-9EEB119EC9DE/batches/9096B769-F7E8-4A56-8C48-C7E61DE07375]
A3681B0C-9F8F-445E-B44A-C13B77A290D2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/E4CE98A8-2FF4-4578-A2A7-A60B9A5BF6E1/batches/A3681B0C-9F8F-445E-B44A-C13B77A290D2]
EEF7D697-3346-4798-98D9-5C8A751E7FB0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/6C35D881-0781-402B-998D-7B83A7B32DD9/batches/EEF7D697-3346-4798-98D9-5C8A751E7FB0]
D8A648C6-4148-4ED9-AE50-D6FD2D7BDD9D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/6C35D881-0781-402B-998D-7B83A7B32DD9/batches/D8A648C6-4148-4ED9-AE50-D6FD2D7BDD9D]
F4CFFB79-CF4E-4964-9C47-889E2A59E566;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/6C35D881-0781-402B-998D-7B83A7B32DD9/batches/F4CFFB79-CF4E-4964-9C47-889E2A59E566]
9896EF4A-7ED0-4B11-9F56-A36DA21EA785;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/91376D45-D08D-4517-9DE9-9EEB119EC9DE/batches/9896EF4A-7ED0-4B11-9F56-A36DA21EA785]
B6AD6F2E-5F71-423E-8CDC-3B0107E36BAF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/5F1E70BD-634D-4C74-A57C-AA64466AC627/batches/B6AD6F2E-5F71-423E-8CDC-3B0107E36BAF]
202AF022-CEBC-48DD-ABB3-17412448944F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/E4CE98A8-2FF4-4578-A2A7-A60B9A5BF6E1/batches/202AF022-CEBC-48DD-ABB3-17412448944F]
BCC2CB13-9654-4CB6-82AF-929AE93A68A5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/6C35D881-0781-402B-998D-7B83A7B32DD9/batches/BCC2CB13-9654-4CB6-82AF-929AE93A68A5]
FD743A1C-5E87-4249-A09E-3D8430F29435;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/65A7F89B-5640-4859-B3D5-313A967A563D/batches/FD743A1C-5E87-4249-A09E-3D8430F29435]
93F74608-13F4-44B3-B0AD-502D1F70397A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/73E5E290-14F9-412B-85BE-7EC405440174/manage/4ABBD1B8-94D0-425B-8494-F87F1E87F8CC/batches/93F74608-13F4-44B3-B0AD-502D1F70397A]
