Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 59;
004127911_00899 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/252F1432-9FEC-4657-B04A-5A086E1399E3]
004127911_00898 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/252F1432-9FEC-4657-B04A-5A086E1399E3]
004127911_00897 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/252F1432-9FEC-4657-B04A-5A086E1399E3]
004127936_00278 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/14DE0D13-CA4A-42F2-BDE8-949121483AF0]
004127936_00279 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/14DE0D13-CA4A-42F2-BDE8-949121483AF0]
004127910_00803 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/4566081C-A03C-4A78-A260-272FF51D75BA]
004127936_00395 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/4186E2C3-A8EF-41A9-AB0A-E823582FAE6D]
004127910_00804 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/4566081C-A03C-4A78-A260-272FF51D75BA]
004127936_00276 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/14DE0D13-CA4A-42F2-BDE8-949121483AF0]
004127910_00805 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/4566081C-A03C-4A78-A260-272FF51D75BA]
004127936_00277 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/14DE0D13-CA4A-42F2-BDE8-949121483AF0]
004127910_00806 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/4566081C-A03C-4A78-A260-272FF51D75BA]
004127911_00896 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/252F1432-9FEC-4657-B04A-5A086E1399E3]
004127936_00391 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/4186E2C3-A8EF-41A9-AB0A-E823582FAE6D]
004127936_00392 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/4186E2C3-A8EF-41A9-AB0A-E823582FAE6D]
004127936_00393 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/4186E2C3-A8EF-41A9-AB0A-E823582FAE6D]
004127936_00394 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/4186E2C3-A8EF-41A9-AB0A-E823582FAE6D]
004127911_01090 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/6CE17B61-8821-42CC-A0A9-143A32B84C36]
004127910_00807 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/4566081C-A03C-4A78-A260-272FF51D75BA]
004127910_00058 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/DFCA707D-BE7A-48C9-94B5-873E5A189852]
004127910_00059 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/DFCA707D-BE7A-48C9-94B5-873E5A189852]
004127910_00213 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/ABE98B13-9F32-4B6D-B5E7-EAD127D7F81D]
004127910_00214 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/ABE98B13-9F32-4B6D-B5E7-EAD127D7F81D]
004127910_00930 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/C566FC89-3B14-40E2-82BA-BC025EC41EC0]
004127910_00215 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/ABE98B13-9F32-4B6D-B5E7-EAD127D7F81D]
004127936_00267 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/87E0EBB7-AD65-4298-81D5-416D22B453EE]
004127936_00065 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/FEE45E86-4AD8-41F6-AADC-73A31B4AA476]
004127911_00680 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/7E3AF1A8-0660-4E37-8DB0-7CECBD9FE404]
004127910_00931 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/C566FC89-3B14-40E2-82BA-BC025EC41EC0]
004127910_00216 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/ABE98B13-9F32-4B6D-B5E7-EAD127D7F81D]
004127910_00932 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/C566FC89-3B14-40E2-82BA-BC025EC41EC0]
004127910_00217 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/ABE98B13-9F32-4B6D-B5E7-EAD127D7F81D]
004127910_00933 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/C566FC89-3B14-40E2-82BA-BC025EC41EC0]
004127911_00590 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/FB735B63-12C4-48F3-8496-B8A5DF6F11E5]
004127910_00061 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/DFCA707D-BE7A-48C9-94B5-873E5A189852]
004127910_00062 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/DFCA707D-BE7A-48C9-94B5-873E5A189852]
004127910_00060 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/DFCA707D-BE7A-48C9-94B5-873E5A189852]
004127910_00429 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/C1B06896-4951-41B9-A856-4E12A973E1FF]
004127936_00210 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/AA685187-BD93-4158-B421-431E74917969]
004127936_00280 (imageset: 254EBFFE-97CC-4D60-A8D8-536ADFE41B02);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/254EBFFE-97CC-4D60-A8D8-536ADFE41B02/batches/14DE0D13-CA4A-42F2-BDE8-949121483AF0]
004127910_01084 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/26D6BF6B-A861-47AA-A843-BAB5BE125C9F]
004127910_01081 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/26D6BF6B-A861-47AA-A843-BAB5BE125C9F]
004127910_01080 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/26D6BF6B-A861-47AA-A843-BAB5BE125C9F]
004127910_01083 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/26D6BF6B-A861-47AA-A843-BAB5BE125C9F]
004127910_01082 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/26D6BF6B-A861-47AA-A843-BAB5BE125C9F]
004127911_00900 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/252F1432-9FEC-4657-B04A-5A086E1399E3]
004127910_00432 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/C1B06896-4951-41B9-A856-4E12A973E1FF]
004127911_00745 (imageset: 6B334698-B2BD-454F-B785-97B82ED08A49);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/6B334698-B2BD-454F-B785-97B82ED08A49/batches/BFB5ACC9-11F6-4C8C-975E-D5B9FCAFA299]
004127910_00433 (imageset: FDC0EA77-5CD1-4520-975E-1DAF4E853855);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/73E9B957-BBAB-4022-9CB2-94E62552EEFA/manage/FDC0EA77-5CD1-4520-975E-1DAF4E853855/batches/C1B06896-4951-41B9-A856-4E12A973E1FF]
