Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 2610;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 6;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 4;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 2610;
007819722_00200 (imageset: C9E805CA-D079-4952-AA5C-CA02E61A4FAB);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/manage/C9E805CA-D079-4952-AA5C-CA02E61A4FAB/batches/04DEBF82-1A81-4375-9277-F53598858D66]
007819621_00290 (imageset: 8C4B779E-4ABE-4F2D-BE14-9C96B08E18CF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/manage/8C4B779E-4ABE-4F2D-BE14-9C96B08E18CF/batches/3FB98044-864B-4E11-B36C-8FA17030D7E4]
007819722_00201 (imageset: C9E805CA-D079-4952-AA5C-CA02E61A4FAB);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/manage/C9E805CA-D079-4952-AA5C-CA02E61A4FAB/batches/04DEBF82-1A81-4375-9277-F53598858D66]
007819722_00202 (imageset: C9E805CA-D079-4952-AA5C-CA02E61A4FAB);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/manage/C9E805CA-D079-4952-AA5C-CA02E61A4FAB/batches/04DEBF82-1A81-4375-9277-F53598858D66]
007819621_00292 (imageset: 8C4B779E-4ABE-4F2D-BE14-9C96B08E18CF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/manage/8C4B779E-4ABE-4F2D-BE14-9C96B08E18CF/batches/3FB98044-864B-4E11-B36C-8FA17030D7E4]
007819621_00291 (imageset: 8C4B779E-4ABE-4F2D-BE14-9C96B08E18CF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/manage/8C4B779E-4ABE-4F2D-BE14-9C96B08E18CF/batches/3FB98044-864B-4E11-B36C-8FA17030D7E4]
007819722_00203 (imageset: C9E805CA-D079-4952-AA5C-CA02E61A4FAB);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/manage/C9E805CA-D079-4952-AA5C-CA02E61A4FAB/batches/04DEBF82-1A81-4375-9277-F53598858D66]
007819722_00204 (imageset: C9E805CA-D079-4952-AA5C-CA02E61A4FAB);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74413892-9D82-4BE0-B022-1DEC18E29266/manage/C9E805CA-D079-4952-AA5C-CA02E61A4FAB/batches/04DEBF82-1A81-4375-9277-F53598858D66]
