Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 74514;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 33;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 1;
ReportItem instance counts;;DGS_MISSASSIGNMENTS: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 33;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
18-0705;DGS_ASSIGNMENT;DGS_MISSASSIGNMENTS;[18-0705 DgsMisassignments|18-0705 DgsMisassignments]
105389546 (E017577F-094B-45EF-8E60-F15596D8AD9F);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/E017577F-094B-45EF-8E60-F15596D8AD9F/batches/list]
74F78A92-2370-4A79-8CF6-A97285D80CEB;PROJECT;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL \\ PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/overview]
105197964_00170 (imageset: 29210CB0-F7C8-4F63-BF2B-754A8F6A13D7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/29210CB0-F7C8-4F63-BF2B-754A8F6A13D7/batches/list]
105197964_00177 (imageset: 29210CB0-F7C8-4F63-BF2B-754A8F6A13D7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/29210CB0-F7C8-4F63-BF2B-754A8F6A13D7/batches/list]
105197964_00178 (imageset: 29210CB0-F7C8-4F63-BF2B-754A8F6A13D7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/29210CB0-F7C8-4F63-BF2B-754A8F6A13D7/batches/list]
105197964_00175 (imageset: 29210CB0-F7C8-4F63-BF2B-754A8F6A13D7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/29210CB0-F7C8-4F63-BF2B-754A8F6A13D7/batches/list]
105197964_00174 (imageset: 29210CB0-F7C8-4F63-BF2B-754A8F6A13D7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/29210CB0-F7C8-4F63-BF2B-754A8F6A13D7/batches/list]
105197964_00171 (imageset: 29210CB0-F7C8-4F63-BF2B-754A8F6A13D7);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/29210CB0-F7C8-4F63-BF2B-754A8F6A13D7/batches/list]
105389310_00019 (imageset: 4460FF38-CAD2-49FB-9033-B6A4B6195A60);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/4460FF38-CAD2-49FB-9033-B6A4B6195A60/batches/list]
105389310_00017 (imageset: 4460FF38-CAD2-49FB-9033-B6A4B6195A60);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/4460FF38-CAD2-49FB-9033-B6A4B6195A60/batches/list]
105389310_00014 (imageset: 4460FF38-CAD2-49FB-9033-B6A4B6195A60);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/74F78A92-2370-4A79-8CF6-A97285D80CEB/manage/4460FF38-CAD2-49FB-9033-B6A4B6195A60/batches/list]
