Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 5230;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 124;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 124;
764A4D16-B226-4258-8617-212AAAAB7865;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/overview]
008128049_00596 (imageset: A3AE95CF-2B20-46C9-90C8-1000D4C025FC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/A3AE95CF-2B20-46C9-90C8-1000D4C025FC/batches/list]
008128049_00594 (imageset: A3AE95CF-2B20-46C9-90C8-1000D4C025FC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/A3AE95CF-2B20-46C9-90C8-1000D4C025FC/batches/list]
008128049_00593 (imageset: A3AE95CF-2B20-46C9-90C8-1000D4C025FC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/A3AE95CF-2B20-46C9-90C8-1000D4C025FC/batches/list]
008128486_00245 (imageset: 2E9EB59F-2F0B-479C-B1F8-AB98845D9831);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/2E9EB59F-2F0B-479C-B1F8-AB98845D9831/batches/list]
008128503_00265 (imageset: D4F0C281-0C72-42B0-92B5-7A72FACDFDF0);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/D4F0C281-0C72-42B0-92B5-7A72FACDFDF0/batches/list]
008128503_00264 (imageset: D4F0C281-0C72-42B0-92B5-7A72FACDFDF0);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/D4F0C281-0C72-42B0-92B5-7A72FACDFDF0/batches/list]
008128323_00580 (imageset: F69864C8-571B-432F-AFBA-5A9996F3DF72);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/F69864C8-571B-432F-AFBA-5A9996F3DF72/batches/list]
008128323_00581 (imageset: F69864C8-571B-432F-AFBA-5A9996F3DF72);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/F69864C8-571B-432F-AFBA-5A9996F3DF72/batches/list]
008128047_00056 (imageset: 55797A5E-CDA0-4D39-A37E-809D31C20E73);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/55797A5E-CDA0-4D39-A37E-809D31C20E73/batches/list]
008128349_00102 (imageset: A496DC76-F6C9-4F54-8103-2945E1ED863C);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/A496DC76-F6C9-4F54-8103-2945E1ED863C/batches/list]
008128326_00065 (imageset: 00A5BC37-A20C-49D0-A6E3-2E9D00E01F81);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/00A5BC37-A20C-49D0-A6E3-2E9D00E01F81/batches/list]
008128307_00154 (imageset: 1B60C6FA-751D-4FA7-95F9-2F148DE98802);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/1B60C6FA-751D-4FA7-95F9-2F148DE98802/batches/list]
008128307_00153 (imageset: 1B60C6FA-751D-4FA7-95F9-2F148DE98802);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/1B60C6FA-751D-4FA7-95F9-2F148DE98802/batches/list]
008128067_00611 (imageset: 441C3B09-E897-4721-8953-E343CF2A33E1);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/441C3B09-E897-4721-8953-E343CF2A33E1/batches/list]
008128307_00152 (imageset: 1B60C6FA-751D-4FA7-95F9-2F148DE98802);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/1B60C6FA-751D-4FA7-95F9-2F148DE98802/batches/list]
008128307_00151 (imageset: 1B60C6FA-751D-4FA7-95F9-2F148DE98802);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/1B60C6FA-751D-4FA7-95F9-2F148DE98802/batches/list]
008128049_00592 (imageset: A3AE95CF-2B20-46C9-90C8-1000D4C025FC);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/A3AE95CF-2B20-46C9-90C8-1000D4C025FC/batches/list]
008128307_00150 (imageset: 1B60C6FA-751D-4FA7-95F9-2F148DE98802);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/1B60C6FA-751D-4FA7-95F9-2F148DE98802/batches/list]
008128067_00612 (imageset: 441C3B09-E897-4721-8953-E343CF2A33E1);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/441C3B09-E897-4721-8953-E343CF2A33E1/batches/list]
008127996_00701 (imageset: E63A4744-D047-4BF7-A67D-71B655DCC558);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/E63A4744-D047-4BF7-A67D-71B655DCC558/batches/list]
008127996_00700 (imageset: E63A4744-D047-4BF7-A67D-71B655DCC558);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/E63A4744-D047-4BF7-A67D-71B655DCC558/batches/list]
008128321_00031 (imageset: F679D0C6-C3CC-4D20-8A7D-6ACA24F93803);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/764A4D16-B226-4258-8617-212AAAAB7865/manage/F679D0C6-C3CC-4D20-8A7D-6ACA24F93803/batches/list]
