Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 8;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 92;
A7D2611E-DB52-4C4C-9DF9-E896E66B5570;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/7B50490F-9A75-4DF5-BC07-9A244735E230/batches/A7D2611E-DB52-4C4C-9DF9-E896E66B5570]
539A99FC-180F-4ABE-AC3B-7730FD8EDAF7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/89BBBA27-6681-4EF7-8790-E7A079008725/batches/539A99FC-180F-4ABE-AC3B-7730FD8EDAF7]
513FA611-CDB4-4FA6-AD41-2FAA43C5D5C5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/083DA583-7D54-46AC-9F73-803BBDF638E9/batches/513FA611-CDB4-4FA6-AD41-2FAA43C5D5C5]
43ED18F6-30DF-4259-9410-74796BEE2ADC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/0E01A9A6-9509-420E-A1E6-B6B1DC11EE02/batches/43ED18F6-30DF-4259-9410-74796BEE2ADC]
8E1A3F9E-8C5B-4B06-962D-ABDAF6C8B559;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/DBE8D15F-E733-4672-AA69-D18F999244AA/batches/8E1A3F9E-8C5B-4B06-962D-ABDAF6C8B559]
CB73034A-3739-4C29-8D2D-CAF6ACB2B834;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/2449759A-009C-4A2F-9127-8259BBB48A36/batches/CB73034A-3739-4C29-8D2D-CAF6ACB2B834]
892B4E84-9CCA-4DC0-AC70-69D6E77697A3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/F9E7B0BA-3550-4FBC-AF58-605E18067F2C/batches/892B4E84-9CCA-4DC0-AC70-69D6E77697A3]
40EB20BC-B2D9-4C5D-95A4-2E2206EFA6EB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/752B81BB-2C8E-4919-AA44-CBA61EBE2240/batches/40EB20BC-B2D9-4C5D-95A4-2E2206EFA6EB]
2B799B21-9FEB-4ABC-9666-7CE7AC71AAE8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/8942E46B-43BB-4737-8DC8-E6D8FD486102/batches/2B799B21-9FEB-4ABC-9666-7CE7AC71AAE8]
D16E0241-08F2-4580-8371-30050E3387FB;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/E62224BF-CD4D-431B-BB07-D81D3245C70F/batches/D16E0241-08F2-4580-8371-30050E3387FB]
5FCDE489-22CA-47D7-9794-59BEDF5711AB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/B62FCE64-B9D5-4D68-8DD0-75C864249A68/batches/5FCDE489-22CA-47D7-9794-59BEDF5711AB]
20D3A120-3B3D-460F-B984-2EA71BAC96AD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/8942E46B-43BB-4737-8DC8-E6D8FD486102/batches/20D3A120-3B3D-460F-B984-2EA71BAC96AD]
9E326E70-3A33-4026-8135-2FBB539E9096;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/8C4F0C87-900E-49A6-9161-27811A4E02B0/batches/9E326E70-3A33-4026-8135-2FBB539E9096]
52D2038E-AE43-477F-AA16-B72D10A2CF6B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/936F8C1F-EB70-442C-9975-9F93F7B8B0C7/batches/52D2038E-AE43-477F-AA16-B72D10A2CF6B]
6F0D7335-7CA2-48B7-AB17-71BA7855B1D8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/936F8C1F-EB70-442C-9975-9F93F7B8B0C7/batches/6F0D7335-7CA2-48B7-AB17-71BA7855B1D8]
F16E3DA9-CB64-499E-B220-72387AECFD75;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/B39BE05B-628D-41C2-90E7-A6EFF36B9AC0/batches/F16E3DA9-CB64-499E-B220-72387AECFD75]
34A3A83E-FB01-4261-BD6D-A405794F8351;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/AE27B4E9-93D9-4974-A582-DBC49F1AACEC/batches/34A3A83E-FB01-4261-BD6D-A405794F8351]
D96C7582-AB56-4D20-96D8-B10912C38861;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/7298B7F0-F508-40E8-B583-38114D2AD88B/batches/D96C7582-AB56-4D20-96D8-B10912C38861]
2CE2E841-9202-4D74-A242-D7E32E01E917;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/D8E890C5-0274-4E4C-A52C-577B2DD2D0DF/batches/2CE2E841-9202-4D74-A242-D7E32E01E917]
A6EA8855-E6FD-4C7E-8E6E-BE512860EBDC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/B62FCE64-B9D5-4D68-8DD0-75C864249A68/batches/A6EA8855-E6FD-4C7E-8E6E-BE512860EBDC]
5F14F062-41A3-4B23-8615-304C0A643B92;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/8C4F0C87-900E-49A6-9161-27811A4E02B0/batches/5F14F062-41A3-4B23-8615-304C0A643B92]
2EAD1B3D-F6F7-424E-89FA-594AFEFBD0CD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/7298B7F0-F508-40E8-B583-38114D2AD88B/batches/2EAD1B3D-F6F7-424E-89FA-594AFEFBD0CD]
B0AA7839-4B41-4CF4-A600-EBEF5FD00303;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/F02EAF64-1B81-4D65-B1D5-4D6F959BAF74/batches/B0AA7839-4B41-4CF4-A600-EBEF5FD00303]
64D5289C-063D-4A3F-8A18-1E1AA6B6612B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/936F8C1F-EB70-442C-9975-9F93F7B8B0C7/batches/64D5289C-063D-4A3F-8A18-1E1AA6B6612B]
C98DD397-49DB-4187-A522-F10BB6EBFC0B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/9D0EE698-9F15-46D2-952E-B8CA5876A92B/batches/C98DD397-49DB-4187-A522-F10BB6EBFC0B]
C8649233-FDB5-4A7B-8F3B-9F4B4AE3F998;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/77DB6689-D195-434D-B7C3-6946B2E3AFA0/batches/C8649233-FDB5-4A7B-8F3B-9F4B4AE3F998]
9E1A6192-35A5-4454-8743-13109B7D5A96;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/DBE8D15F-E733-4672-AA69-D18F999244AA/batches/9E1A6192-35A5-4454-8743-13109B7D5A96]
C91FAA9A-8EB5-44EE-8734-562FB4F95D73;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/DBE8D15F-E733-4672-AA69-D18F999244AA/batches/C91FAA9A-8EB5-44EE-8734-562FB4F95D73]
9D974DF0-D21C-45FB-8406-37E0168BD304;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/2449759A-009C-4A2F-9127-8259BBB48A36/batches/9D974DF0-D21C-45FB-8406-37E0168BD304]
AECAD845-410A-4AD7-9F24-7701FD7C058E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/77ED0DBC-3004-4828-8B48-1823BA6889E5/manage/F4475AF2-2BDB-4882-9172-A699EF88C7CA/batches/AECAD845-410A-4AD7-9F24-7701FD7C058E]
