Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 5365;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 5;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;DGS_MISSASSIGNMENTS: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 5;
17-0542;DGS_ASSIGNMENT;DGS_MISSASSIGNMENTS;[17-0542 DgsMisassignments|17-0542 DgsMisassignments]
7838FF6D-99FE-44D5-9FCC-7724B57A72E6;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/overview]
100370660_00641 (imageset: 40220A8F-638E-4D94-AFE3-EC0B977B67AD);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/40220A8F-638E-4D94-AFE3-EC0B977B67AD/batches/list]
100370660_00640 (imageset: 40220A8F-638E-4D94-AFE3-EC0B977B67AD);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/40220A8F-638E-4D94-AFE3-EC0B977B67AD/batches/list]
100370660_00643 (imageset: 40220A8F-638E-4D94-AFE3-EC0B977B67AD);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/40220A8F-638E-4D94-AFE3-EC0B977B67AD/batches/list]
100370660_00642 (imageset: 40220A8F-638E-4D94-AFE3-EC0B977B67AD);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/40220A8F-638E-4D94-AFE3-EC0B977B67AD/batches/list]
100370607_00285 (imageset: 305A27CB-BD26-44F8-AC6A-1D9E80EA96CE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/305A27CB-BD26-44F8-AC6A-1D9E80EA96CE/batches/list]
100370607_00286 (imageset: 305A27CB-BD26-44F8-AC6A-1D9E80EA96CE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/305A27CB-BD26-44F8-AC6A-1D9E80EA96CE/batches/list]
100370607_00284 (imageset: 305A27CB-BD26-44F8-AC6A-1D9E80EA96CE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/305A27CB-BD26-44F8-AC6A-1D9E80EA96CE/batches/list]
100613928_00327 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100370607_00289 (imageset: 305A27CB-BD26-44F8-AC6A-1D9E80EA96CE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/305A27CB-BD26-44F8-AC6A-1D9E80EA96CE/batches/list]
100613928_00326 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100613928_00329 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100370607_00287 (imageset: 305A27CB-BD26-44F8-AC6A-1D9E80EA96CE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/305A27CB-BD26-44F8-AC6A-1D9E80EA96CE/batches/list]
100613928_00328 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100370607_00288 (imageset: 305A27CB-BD26-44F8-AC6A-1D9E80EA96CE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/305A27CB-BD26-44F8-AC6A-1D9E80EA96CE/batches/list]
100703224_00031 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100703224_00032 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100613928_00325 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100703224_00030 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100613928_00324 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100703224_00035 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100642355_00553 (imageset: 1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D/batches/list]
100613928_00330 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100703224_00036 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100642355_00554 (imageset: 1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D/batches/list]
100703224_00033 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100642355_00555 (imageset: 1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D/batches/list]
100613928_00332 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100703224_00034 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100642355_00556 (imageset: 1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D/batches/list]
100613928_00331 (imageset: B743F2A0-F78C-443B-8729-C68DDB2620AE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/B743F2A0-F78C-443B-8729-C68DDB2620AE/batches/list]
100703224_00039 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100642355_00557 (imageset: 1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D/batches/list]
100642355_00558 (imageset: 1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D/batches/list]
100703224_00037 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
100642355_00559 (imageset: 1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/1DC4042B-A370-4CFD-8DCE-C46E21EA5D5D/batches/list]
100486159_00002 (imageset: D0F391BE-4F40-4389-80CC-E7F0DECD4B79);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/D0F391BE-4F40-4389-80CC-E7F0DECD4B79/batches/list]
100703224_00038 (imageset: 21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7838FF6D-99FE-44D5-9FCC-7724B57A72E6/manage/21A9CFCF-12DD-47F8-BC4C-DBA9BC60BBDE/batches/list]
