Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 7;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 408;
102778160_00148 (imageset: 499A02A5-1D21-4BD4-AD2D-7461C686133A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/785434D6-5DDC-42FB-8DDE-B3747F85EBC7/manage/499A02A5-1D21-4BD4-AD2D-7461C686133A/batches/6FBA16DE-2DBD-4CB5-8AA2-46E9B3D2DF12]
102778160_00147 (imageset: 499A02A5-1D21-4BD4-AD2D-7461C686133A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/785434D6-5DDC-42FB-8DDE-B3747F85EBC7/manage/499A02A5-1D21-4BD4-AD2D-7461C686133A/batches/6FBA16DE-2DBD-4CB5-8AA2-46E9B3D2DF12]
102778160_00146 (imageset: 499A02A5-1D21-4BD4-AD2D-7461C686133A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/785434D6-5DDC-42FB-8DDE-B3747F85EBC7/manage/499A02A5-1D21-4BD4-AD2D-7461C686133A/batches/6FBA16DE-2DBD-4CB5-8AA2-46E9B3D2DF12]
102778149_00084 (imageset: 480AFF41-44D7-416A-97AE-799623EB8E9D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/785434D6-5DDC-42FB-8DDE-B3747F85EBC7/manage/480AFF41-44D7-416A-97AE-799623EB8E9D/batches/E8A6C925-EE39-4EDC-826D-982345B271BA]
102778149_00081 (imageset: 480AFF41-44D7-416A-97AE-799623EB8E9D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/785434D6-5DDC-42FB-8DDE-B3747F85EBC7/manage/480AFF41-44D7-416A-97AE-799623EB8E9D/batches/4E2A2F3A-16AE-4D98-9A0D-0E97EB4E195A]
102778149_00080 (imageset: 480AFF41-44D7-416A-97AE-799623EB8E9D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/785434D6-5DDC-42FB-8DDE-B3747F85EBC7/manage/480AFF41-44D7-416A-97AE-799623EB8E9D/batches/4E2A2F3A-16AE-4D98-9A0D-0E97EB4E195A]
102778149_00083 (imageset: 480AFF41-44D7-416A-97AE-799623EB8E9D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/785434D6-5DDC-42FB-8DDE-B3747F85EBC7/manage/480AFF41-44D7-416A-97AE-799623EB8E9D/batches/E8A6C925-EE39-4EDC-826D-982345B271BA]
102778149_00082 (imageset: 480AFF41-44D7-416A-97AE-799623EB8E9D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/785434D6-5DDC-42FB-8DDE-B3747F85EBC7/manage/480AFF41-44D7-416A-97AE-799623EB8E9D/batches/E8A6C925-EE39-4EDC-826D-982345B271BA]
