Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 11026;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1048;
007566117_00287 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007566117_00286 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007566117_00289 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007566117_00288 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007566117_00283 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007566117_00282 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007907645_00018 (imageset: AC6902CE-977A-4F1C-9B5F-601EAFD97845);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/AC6902CE-977A-4F1C-9B5F-601EAFD97845/batches/2B75058A-0240-4694-94AF-466E08A8DE35]
007566117_00285 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007907645_00019 (imageset: AC6902CE-977A-4F1C-9B5F-601EAFD97845);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/AC6902CE-977A-4F1C-9B5F-601EAFD97845/batches/2B75058A-0240-4694-94AF-466E08A8DE35]
007566117_00284 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007907645_00016 (imageset: AC6902CE-977A-4F1C-9B5F-601EAFD97845);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/AC6902CE-977A-4F1C-9B5F-601EAFD97845/batches/2B75058A-0240-4694-94AF-466E08A8DE35]
007907645_00017 (imageset: AC6902CE-977A-4F1C-9B5F-601EAFD97845);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/AC6902CE-977A-4F1C-9B5F-601EAFD97845/batches/2B75058A-0240-4694-94AF-466E08A8DE35]
007566117_00281 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007907645_00014 (imageset: AC6902CE-977A-4F1C-9B5F-601EAFD97845);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/AC6902CE-977A-4F1C-9B5F-601EAFD97845/batches/2B75058A-0240-4694-94AF-466E08A8DE35]
007566117_00280 (imageset: F313AD78-000E-4541-B14C-B19D8D4372A4);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/F313AD78-000E-4541-B14C-B19D8D4372A4/batches/4D83A5C4-48EC-466E-B16F-5F9783B2FF5C]
007907645_00015 (imageset: AC6902CE-977A-4F1C-9B5F-601EAFD97845);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/AC6902CE-977A-4F1C-9B5F-601EAFD97845/batches/2B75058A-0240-4694-94AF-466E08A8DE35]
007907645_00012 (imageset: AC6902CE-977A-4F1C-9B5F-601EAFD97845);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/78E22DA3-194D-42E5-BB3A-98340A24DCAC/manage/AC6902CE-977A-4F1C-9B5F-601EAFD97845/batches/2B75058A-0240-4694-94AF-466E08A8DE35]
