Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 144;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 2856;
CC8FDC9A-1FF0-4140-AD0A-944DB8267A94;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/8DAFEA4C-7335-46AD-A1AF-0AAD973430A5/batches/CC8FDC9A-1FF0-4140-AD0A-944DB8267A94]
3CE7C9D3-0251-4E9B-8A58-5C9BBBA718E8;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/3C29AB5D-0A69-4FCB-848E-CBCAA16DA998/batches/3CE7C9D3-0251-4E9B-8A58-5C9BBBA718E8]
9A32DCCB-9AEA-4EEC-8CFE-E44AEA45C472;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/3DC6AACC-A8F4-4957-B95B-488B4A007797/batches/9A32DCCB-9AEA-4EEC-8CFE-E44AEA45C472]
4FDB8E17-3C8B-48C6-BA64-96E734A05A3B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/3DC6AACC-A8F4-4957-B95B-488B4A007797/batches/4FDB8E17-3C8B-48C6-BA64-96E734A05A3B]
37C1339F-8BC4-433E-9F63-98E3B0052059;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/09E935BB-AEE2-45BD-B22D-EBA7E32600B9/batches/37C1339F-8BC4-433E-9F63-98E3B0052059]
12C69B33-197F-48FE-8126-072F92E40A03;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/69980DAF-D10A-4B9A-BC76-061896F0655B/batches/12C69B33-197F-48FE-8126-072F92E40A03]
7EEFBECF-9444-422C-9D39-1CDDA2BEBF1D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/086527AB-A9F3-4A63-B7C2-5E9FC90212CC/batches/7EEFBECF-9444-422C-9D39-1CDDA2BEBF1D]
5FC3428B-7337-4314-ABAE-61190F0927EE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/8DAFEA4C-7335-46AD-A1AF-0AAD973430A5/batches/5FC3428B-7337-4314-ABAE-61190F0927EE]
D2F4D4F1-1BD2-4C77-8932-9D22798E7633;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/F6315AA0-F7BB-4BBB-B4F4-F718059A4155/batches/D2F4D4F1-1BD2-4C77-8932-9D22798E7633]
DFA925F8-3C81-45C9-AF7C-67864103EB0C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/E991B17C-2292-4834-B8E1-FCC2AD1E9A74/batches/DFA925F8-3C81-45C9-AF7C-67864103EB0C]
E8E1919C-8791-435E-AA64-4C80F5EF6B22;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/8DAFEA4C-7335-46AD-A1AF-0AAD973430A5/batches/E8E1919C-8791-435E-AA64-4C80F5EF6B22]
E8DD2E23-1B6F-407D-8655-E7BE57183AA9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/69980DAF-D10A-4B9A-BC76-061896F0655B/batches/E8DD2E23-1B6F-407D-8655-E7BE57183AA9]
CD446880-8BD0-456E-8B9C-ED22B359A21D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/745EA79B-BCD8-4556-9DA0-9546B35DDE78/batches/CD446880-8BD0-456E-8B9C-ED22B359A21D]
613082B7-4C52-4E7E-ADCC-23F58426D8D1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/8DAFEA4C-7335-46AD-A1AF-0AAD973430A5/batches/613082B7-4C52-4E7E-ADCC-23F58426D8D1]
352692B4-BDE4-431C-9080-AC35B9D72B51;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/8DAFEA4C-7335-46AD-A1AF-0AAD973430A5/batches/352692B4-BDE4-431C-9080-AC35B9D72B51]
841C055D-425B-4BBE-AB31-AE92637B80F5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/6035906D-3398-401D-8FB8-0F1CB1590B8E/batches/841C055D-425B-4BBE-AB31-AE92637B80F5]
E281E99D-4325-47A8-95D1-81261AC3DAB1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/E991B17C-2292-4834-B8E1-FCC2AD1E9A74/batches/E281E99D-4325-47A8-95D1-81261AC3DAB1]
EB7BE65D-ACE8-46E9-99A5-EA8FE539EF3F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/086527AB-A9F3-4A63-B7C2-5E9FC90212CC/batches/EB7BE65D-ACE8-46E9-99A5-EA8FE539EF3F]
5D445AE4-CE93-4A6F-B5F9-51FC5553564C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/51E99017-355D-4D5B-815B-E8AC71438C3A/batches/5D445AE4-CE93-4A6F-B5F9-51FC5553564C]
1772E5E2-7376-4089-801A-CBB71FC14E1D;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/3C29AB5D-0A69-4FCB-848E-CBCAA16DA998/batches/1772E5E2-7376-4089-801A-CBB71FC14E1D]
9407CD23-1366-4001-9904-378E1D4BA9F4;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/8DAFEA4C-7335-46AD-A1AF-0AAD973430A5/batches/9407CD23-1366-4001-9904-378E1D4BA9F4]
0C797E0D-B8A7-4E97-9692-2607AE16FAA3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/086527AB-A9F3-4A63-B7C2-5E9FC90212CC/batches/0C797E0D-B8A7-4E97-9692-2607AE16FAA3]
6C8674BA-871D-439B-8FEA-CE00CC5D4270;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/086527AB-A9F3-4A63-B7C2-5E9FC90212CC/batches/6C8674BA-871D-439B-8FEA-CE00CC5D4270]
BE33B819-358E-43DA-BDFB-BFB685F8E2EB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/9FAF74C6-E83A-40A8-BCC4-56630B82F695/batches/BE33B819-358E-43DA-BDFB-BFB685F8E2EB]
76400EC3-2D93-447B-AFEB-A3700D7EAC59;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/6035906D-3398-401D-8FB8-0F1CB1590B8E/batches/76400EC3-2D93-447B-AFEB-A3700D7EAC59]
5D2B2417-6C79-4721-92A2-2A7B45DA3EF1;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/81F34BE4-FDA5-45EB-A436-6FF6FA080585/batches/5D2B2417-6C79-4721-92A2-2A7B45DA3EF1]
C0BA4974-F930-4461-8081-62918A6572FE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/81F34BE4-FDA5-45EB-A436-6FF6FA080585/batches/C0BA4974-F930-4461-8081-62918A6572FE]
FE779C26-C3FC-43A7-9017-04AE54498EF3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/8DAFEA4C-7335-46AD-A1AF-0AAD973430A5/batches/FE779C26-C3FC-43A7-9017-04AE54498EF3]
6AEF7635-3BD1-4B34-8C3F-38A5C55036FD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/8DAFEA4C-7335-46AD-A1AF-0AAD973430A5/batches/6AEF7635-3BD1-4B34-8C3F-38A5C55036FD]
3CEEC8B0-B0CB-4BDF-8395-E3AFF8D66CAE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7A308876-A667-4411-A7B0-44C33C600351/manage/E91630AD-7ABD-4746-BE8D-0802FC9AF9A4/batches/3CEEC8B0-B0CB-4BDF-8395-E3AFF8D66CAE]
