Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_IN_PROJECT: 7;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGESET_STATES: 7;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 200;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 200;
ReportItem instance counts;;PROJECT_IMAGESET_COUNTS_ARE_NOT_EQUAL: 1;
105772929_00098 (imageset: 3BD71456-44D0-4D12-883B-FE3713299656);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7A536A0D-D492-4139-93B8-F037ECD00274/manage/3BD71456-44D0-4D12-883B-FE3713299656/batches/47C71062-EB4B-48CC-AA03-3E6E4889A1E7]
105772929_00099 (imageset: 3BD71456-44D0-4D12-883B-FE3713299656);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7A536A0D-D492-4139-93B8-F037ECD00274/manage/3BD71456-44D0-4D12-883B-FE3713299656/batches/47C71062-EB4B-48CC-AA03-3E6E4889A1E7]
105772929_00097 (imageset: 3BD71456-44D0-4D12-883B-FE3713299656);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7A536A0D-D492-4139-93B8-F037ECD00274/manage/3BD71456-44D0-4D12-883B-FE3713299656/batches/47C71062-EB4B-48CC-AA03-3E6E4889A1E7]
105772929_00095 (imageset: 3BD71456-44D0-4D12-883B-FE3713299656);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7A536A0D-D492-4139-93B8-F037ECD00274/manage/3BD71456-44D0-4D12-883B-FE3713299656/batches/47C71062-EB4B-48CC-AA03-3E6E4889A1E7]
8C56D11D-C2B2-49D8-9BE0-FF8087271604;IMAGESET;IMAGESET_NOT_IN_PROJECT \\ States: \\NA_BLOCKED: 347;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7A536A0D-D492-4139-93B8-F037ECD00274/manage/8C56D11D-C2B2-49D8-9BE0-FF8087271604/batches/list]
105772929_00093 (imageset: 3BD71456-44D0-4D12-883B-FE3713299656);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7A536A0D-D492-4139-93B8-F037ECD00274/manage/3BD71456-44D0-4D12-883B-FE3713299656/batches/47C71062-EB4B-48CC-AA03-3E6E4889A1E7]
105772929_00091 (imageset: 3BD71456-44D0-4D12-883B-FE3713299656);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7A536A0D-D492-4139-93B8-F037ECD00274/manage/3BD71456-44D0-4D12-883B-FE3713299656/batches/47C71062-EB4B-48CC-AA03-3E6E4889A1E7]
105772929_00321 (imageset: 3BD71456-44D0-4D12-883B-FE3713299656);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7A536A0D-D492-4139-93B8-F037ECD00274/manage/3BD71456-44D0-4D12-883B-FE3713299656/batches/47C71062-EB4B-48CC-AA03-3E6E4889A1E7]
