Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 170;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 3495;
ReportItem instance counts;;BATCH_NO_WORKFLOW_STATE: 3665;
32839234-9379-487C-8E34-74E1FAFAD0BB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/53F5D20F-F5D8-4315-986D-E4D5CD9A5319/batches/32839234-9379-487C-8E34-74E1FAFAD0BB]
0530E41D-4EC3-47E0-835F-DED466A506A1;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/E1D2DF04-4834-47B7-9D19-31C5F3317724/batches/0530E41D-4EC3-47E0-835F-DED466A506A1]
0BC097DA-D8EE-437C-BD16-5BE54BCED6C7;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/AB9E4F9E-80EA-46EE-AE08-0103CFDA7B5B/batches/0BC097DA-D8EE-437C-BD16-5BE54BCED6C7]
40CE4204-D56E-4151-9B48-E22541DB871E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/F4FC2C4E-FDCD-4EDD-894B-C91029FEA2B6/batches/40CE4204-D56E-4151-9B48-E22541DB871E]
BE25B567-0618-49D3-BD02-93D2E27258D6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/2E163F88-BB68-465B-9CB8-51A7879B5C9D/batches/BE25B567-0618-49D3-BD02-93D2E27258D6]
AFA4278D-E9CF-4730-8AA8-495C9C6438D0;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/0A71EA36-61FB-437C-9E40-68939917E787/batches/AFA4278D-E9CF-4730-8AA8-495C9C6438D0]
C9184CD5-5F19-4D62-ACEA-1CC6305682B9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/BBA1C398-27F4-4F9F-B3FB-314FA5D6B222/batches/C9184CD5-5F19-4D62-ACEA-1CC6305682B9]
54601CCE-ACCA-41E9-B25E-48F6704A5B2B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/37BE9F74-2D52-43C1-B588-39EE6B6FB804/batches/54601CCE-ACCA-41E9-B25E-48F6704A5B2B]
83A3AB89-5904-4DFA-8692-6E52B077867E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/37BE9F74-2D52-43C1-B588-39EE6B6FB804/batches/83A3AB89-5904-4DFA-8692-6E52B077867E]
054AC9AA-4963-423E-BC7E-BA1C391D4432;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/53F5D20F-F5D8-4315-986D-E4D5CD9A5319/batches/054AC9AA-4963-423E-BC7E-BA1C391D4432]
DA988D82-3153-4526-ACA5-CFB430B89FBF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/0A71EA36-61FB-437C-9E40-68939917E787/batches/DA988D82-3153-4526-ACA5-CFB430B89FBF]
C8E1705D-CC7B-4341-8E4B-5CB760CEF90B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/DD251C10-34DC-4B96-8047-1D01CE76A0FA/batches/C8E1705D-CC7B-4341-8E4B-5CB760CEF90B]
69B3925F-56A0-48F9-82E8-318C01A6FACB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/F0C62587-F3E4-46C1-B055-FB2DBAB15F64/batches/69B3925F-56A0-48F9-82E8-318C01A6FACB]
86AEEE53-83B3-4AB4-B1C9-20BF1B784E89;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/0A71EA36-61FB-437C-9E40-68939917E787/batches/86AEEE53-83B3-4AB4-B1C9-20BF1B784E89]
80DD82F4-740A-4C56-B74E-9E031D662496;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/D8D16482-370C-460A-8871-78B27B2E644B/batches/80DD82F4-740A-4C56-B74E-9E031D662496]
FB5F6689-C2CC-4101-84BD-CB0E8CA94189;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/56064FFF-856C-4462-89CD-AFA968E2A5A5/batches/FB5F6689-C2CC-4101-84BD-CB0E8CA94189]
4749FE68-992E-4681-8343-2E2FB885C0A5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/56064FFF-856C-4462-89CD-AFA968E2A5A5/batches/4749FE68-992E-4681-8343-2E2FB885C0A5]
53871314-E575-43F5-8B42-1CA37218BD90;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/53F5D20F-F5D8-4315-986D-E4D5CD9A5319/batches/53871314-E575-43F5-8B42-1CA37218BD90]
C8F9C016-2537-4264-B790-8648A1796EDD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/CB6717E8-1FBE-4D4C-8900-9FBEC7DE569A/batches/C8F9C016-2537-4264-B790-8648A1796EDD]
A03839D4-69B6-4D3F-888C-DB25C1ED7CD5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/CF8E3DDB-C165-4024-AF4A-066EE2725683/batches/A03839D4-69B6-4D3F-888C-DB25C1ED7CD5]
96D99142-A0A2-4B01-98CA-0213B53DE843;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/3EA5A51A-1298-4BD8-80C4-EBE4947B3143/batches/96D99142-A0A2-4B01-98CA-0213B53DE843]
ED123786-5DA8-4C83-9B24-95544212E378;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/16A8B13C-5E50-4597-8071-A884CAB2E664/batches/ED123786-5DA8-4C83-9B24-95544212E378]
EDB2A2B3-9459-4FA3-806B-9573CF78A34E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/DAE98B7D-53D4-4E4F-86F3-3B373138D48D/batches/EDB2A2B3-9459-4FA3-806B-9573CF78A34E]
763411F8-6FB5-4270-ABC1-ED19472F9399;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/A129EDA6-42AF-40D8-97A6-F79C0804BD1A/batches/763411F8-6FB5-4270-ABC1-ED19472F9399]
21A07B7A-1066-45A6-B0F5-8F2D1A127FF5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/814C52EC-86D9-4CF3-B650-6ABFA21F8847/batches/21A07B7A-1066-45A6-B0F5-8F2D1A127FF5]
09850D50-75A0-4E68-A823-971688423FDD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/7CAAE2D6-7CBD-40F0-9BE0-841D7B7D4FD7/manage/0A71EA36-61FB-437C-9E40-68939917E787/batches/09850D50-75A0-4E68-A823-971688423FDD]
