Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 18;
100890762_00041 (imageset: 8BF6F402-15F9-46EE-9E6B-A0EB54519164);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/8BF6F402-15F9-46EE-9E6B-A0EB54519164/batches/4421156D-5D23-429C-B316-F90CB2FF4D56]
101102835_00044 (imageset: F3309571-DE71-4D6F-A278-2A9374196943);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/F3309571-DE71-4D6F-A278-2A9374196943/batches/C450B073-ACA4-46CE-B993-A0976744B0C9]
101022177_00129 (imageset: 8363178B-CD41-4690-A206-6E9E2870917D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/8363178B-CD41-4690-A206-6E9E2870917D/batches/A3BB2ED5-D30A-42C1-B030-E64B95797836]
100928594_00091 (imageset: 1358D18D-E65A-46FA-8135-4076E4C9252D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/1358D18D-E65A-46FA-8135-4076E4C9252D/batches/3ABD36BF-1F42-47E7-95CC-11A8B2519E99]
100890762_00037 (imageset: 8BF6F402-15F9-46EE-9E6B-A0EB54519164);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/8BF6F402-15F9-46EE-9E6B-A0EB54519164/batches/4421156D-5D23-429C-B316-F90CB2FF4D56]
100890762_00035 (imageset: 8BF6F402-15F9-46EE-9E6B-A0EB54519164);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/8BF6F402-15F9-46EE-9E6B-A0EB54519164/batches/4421156D-5D23-429C-B316-F90CB2FF4D56]
101022214_00007 (imageset: E9EA5F28-9099-4C45-A610-71F83FC52515);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/E9EA5F28-9099-4C45-A610-71F83FC52515/batches/D01F9CBE-4EAD-4B3A-8CD5-C192D5538B3A]
101022214_00005 (imageset: E9EA5F28-9099-4C45-A610-71F83FC52515);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/E9EA5F28-9099-4C45-A610-71F83FC52515/batches/D01F9CBE-4EAD-4B3A-8CD5-C192D5538B3A]
101022214_00003 (imageset: E9EA5F28-9099-4C45-A610-71F83FC52515);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/E9EA5F28-9099-4C45-A610-71F83FC52515/batches/D01F9CBE-4EAD-4B3A-8CD5-C192D5538B3A]
100928594_00089 (imageset: 1358D18D-E65A-46FA-8135-4076E4C9252D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/1358D18D-E65A-46FA-8135-4076E4C9252D/batches/3ABD36BF-1F42-47E7-95CC-11A8B2519E99]
101022214_00011 (imageset: E9EA5F28-9099-4C45-A610-71F83FC52515);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/E9EA5F28-9099-4C45-A610-71F83FC52515/batches/D01F9CBE-4EAD-4B3A-8CD5-C192D5538B3A]
100969795_00026 (imageset: 91DED459-7F16-4593-9A97-6AC71829A3FA);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/91DED459-7F16-4593-9A97-6AC71829A3FA/batches/ADA79C85-9C6C-427B-A134-A0B245CEDEBA]
101102835_00048 (imageset: F3309571-DE71-4D6F-A278-2A9374196943);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/F3309571-DE71-4D6F-A278-2A9374196943/batches/C450B073-ACA4-46CE-B993-A0976744B0C9]
101102835_00046 (imageset: F3309571-DE71-4D6F-A278-2A9374196943);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/F3309571-DE71-4D6F-A278-2A9374196943/batches/C450B073-ACA4-46CE-B993-A0976744B0C9]
101022177_00127 (imageset: 8363178B-CD41-4690-A206-6E9E2870917D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/8363178B-CD41-4690-A206-6E9E2870917D/batches/A3BB2ED5-D30A-42C1-B030-E64B95797836]
101054480_00008 (imageset: EE3AED60-F8FF-48CE-BC1B-01DF14F637B3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/EE3AED60-F8FF-48CE-BC1B-01DF14F637B3/batches/EEB3AEDE-9280-4269-942B-FF141D562EA6]
100969791_00019 (imageset: 1E10DC48-9229-4703-9B0A-42BFA47E4BD7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/1E10DC48-9229-4703-9B0A-42BFA47E4BD7/batches/C5DD0718-392D-44DA-A967-9F0EFC2979C7]
100928594_00087 (imageset: 1358D18D-E65A-46FA-8135-4076E4C9252D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7D88F4CE-4B7B-4D2F-AA74-2A0DBC6C4B3B/manage/1358D18D-E65A-46FA-8135-4076E4C9252D/batches/3ABD36BF-1F42-47E7-95CC-11A8B2519E99]
