Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 35;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 3;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 20;
004260315 (FA0F9470-FA30-438A-8D3E-FB9F6031DD28);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/FA0F9470-FA30-438A-8D3E-FB9F6031DD28/batches/list]
004259574 (6EB24599-FBE5-4556-840E-05D9C1D879AA);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/6EB24599-FBE5-4556-840E-05D9C1D879AA/batches/list]
004260331 (4D994FFC-23E0-4681-9D97-AB9AA7E7DED7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/4D994FFC-23E0-4681-9D97-AB9AA7E7DED7/batches/list]
004259674 (830D0D56-AA82-406B-B0A2-0F8D6470EAC4);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/830D0D56-AA82-406B-B0A2-0F8D6470EAC4/batches/list]
004259550 (37224D91-4267-477D-879E-53BB34A868C7);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/37224D91-4267-477D-879E-53BB34A868C7/batches/list]
004260313 (CBE9F454-FF3A-4C56-A0B9-DF378E3D5039);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/CBE9F454-FF3A-4C56-A0B9-DF378E3D5039/batches/list]
004259582 (9C575B25-8B60-4A3E-A0D7-DF46E7F84E53);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/9C575B25-8B60-4A3E-A0D7-DF46E7F84E53/batches/list]
004260312 (758E9C82-CED5-4CB3-AF54-E0631373D488);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/758E9C82-CED5-4CB3-AF54-E0631373D488/batches/list]
004259706 (6BC4730C-A623-4C58-831D-57C3492C0CDB);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/6BC4730C-A623-4C58-831D-57C3492C0CDB/batches/list]
004254179 (F322023C-02D4-424E-82B2-A41429F6CA56);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/F322023C-02D4-424E-82B2-A41429F6CA56/batches/list]
004254165 (B7C2C4F8-3C5F-48BD-91D5-3388E178F167);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/B7C2C4F8-3C5F-48BD-91D5-3388E178F167/batches/list]
004254127 (CE6EBB17-C9C2-48B2-B8C6-2D5F4C1B2A73);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/7E8CABD1-C864-4705-9C71-564A7A9B2E5A/manage/CE6EBB17-C9C2-48B2-B8C6-2D5F4C1B2A73/batches/list]
