Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 86;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
102891573_00192 (imageset: A4C95082-781D-48A0-860A-9C3C4D60B3BC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7FE4F57E-F7CC-451A-BBC2-4EC223442328/manage/A4C95082-781D-48A0-860A-9C3C4D60B3BC/batches/39A15C52-3BE4-47FC-8A8D-2604D18DBE06]
102891573_00193 (imageset: A4C95082-781D-48A0-860A-9C3C4D60B3BC);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7FE4F57E-F7CC-451A-BBC2-4EC223442328/manage/A4C95082-781D-48A0-860A-9C3C4D60B3BC/batches/39A15C52-3BE4-47FC-8A8D-2604D18DBE06]
102890975_00049 (imageset: 4DA204CC-80B9-4AC7-AD06-BF01102E3499);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7FE4F57E-F7CC-451A-BBC2-4EC223442328/manage/4DA204CC-80B9-4AC7-AD06-BF01102E3499/batches/4F04FE8D-A155-4A6C-8501-0686B304470D]
102891806_00120 (imageset: CD9A048B-A818-4A02-897A-1E2621E26D5E);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7FE4F57E-F7CC-451A-BBC2-4EC223442328/manage/CD9A048B-A818-4A02-897A-1E2621E26D5E/batches/D99DD2D6-68CB-435A-9F91-2915324C26D9]
102890865_00162 (imageset: 5FC57D13-977B-4087-A683-5E38D83F21E7);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7FE4F57E-F7CC-451A-BBC2-4EC223442328/manage/5FC57D13-977B-4087-A683-5E38D83F21E7/batches/1AD4369D-8A7C-49DF-AD91-68B8462E287E]
102891625_00036 (imageset: 94E67DBF-A0E8-407F-8327-73AC4FDFB6BF);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7FE4F57E-F7CC-451A-BBC2-4EC223442328/manage/94E67DBF-A0E8-407F-8327-73AC4FDFB6BF/batches/6E257EB8-C3BA-4980-B906-14C265861BA6]
102892232_00028 (imageset: 7574C707-413A-49BA-B056-2661C7044938);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NOT_IN_IMAGE_EXPORT_TABLE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/7FE4F57E-F7CC-451A-BBC2-4EC223442328/manage/7574C707-413A-49BA-B056-2661C7044938/batches/54305A17-DA91-49A1-A178-0C06E11FC5CC]
