Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 37;
005061066_00443 (imageset: 4A1A87DC-791D-4B21-A833-83ACCF4D3937);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/4A1A87DC-791D-4B21-A833-83ACCF4D3937/batches/1504F0A5-542F-491B-919A-D8DA113474FD]
005062409_00396 (imageset: 92147C93-CF69-4CCC-9E57-3E74BEF41E90);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/92147C93-CF69-4CCC-9E57-3E74BEF41E90/batches/6B5BB62C-7BC5-4BDD-8B10-57F7C0DAB2AA]
005062518_00282 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
005062518_00280 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
005062345_00307 (imageset: F73D5558-34EB-438A-B02B-A94501EF446D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F73D5558-34EB-438A-B02B-A94501EF446D/batches/B3A74C90-46C9-4E0F-96D7-21081C82CFEA]
005061071_00144 (imageset: 6DCE4640-FB81-4F3A-BC78-C48649741510);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6DCE4640-FB81-4F3A-BC78-C48649741510/batches/E1F0D7A8-CC83-42F1-8C0E-F6014BE3F1D1]
005061052_00198 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061052_00197 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061058_00293 (imageset: F50E16EC-ED99-437D-A1B6-351DD6F3922D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F50E16EC-ED99-437D-A1B6-351DD6F3922D/batches/4164D6AB-E011-406E-B072-85EAE86903A9]
005061052_00192 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061058_00295 (imageset: F50E16EC-ED99-437D-A1B6-351DD6F3922D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F50E16EC-ED99-437D-A1B6-351DD6F3922D/batches/4164D6AB-E011-406E-B072-85EAE86903A9]
005061058_00279 (imageset: F50E16EC-ED99-437D-A1B6-351DD6F3922D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F50E16EC-ED99-437D-A1B6-351DD6F3922D/batches/4164D6AB-E011-406E-B072-85EAE86903A9]
005062518_00278 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
005062518_00298 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
005061058_00297 (imageset: F50E16EC-ED99-437D-A1B6-351DD6F3922D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F50E16EC-ED99-437D-A1B6-351DD6F3922D/batches/4164D6AB-E011-406E-B072-85EAE86903A9]
005062484_00200 (imageset: 3D338A6F-553E-44A3-809F-CEABBE6D1E2F);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/3D338A6F-553E-44A3-809F-CEABBE6D1E2F/batches/B9627744-FF0B-4AAD-8C16-D6433AC77C70]
005062518_00296 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
005061058_00299 (imageset: F50E16EC-ED99-437D-A1B6-351DD6F3922D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F50E16EC-ED99-437D-A1B6-351DD6F3922D/batches/4164D6AB-E011-406E-B072-85EAE86903A9]
005061058_00277 (imageset: F50E16EC-ED99-437D-A1B6-351DD6F3922D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F50E16EC-ED99-437D-A1B6-351DD6F3922D/batches/4164D6AB-E011-406E-B072-85EAE86903A9]
005062518_00294 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
005062518_00291 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
005062487_00146 (imageset: 4FE00260-B318-4278-88A4-24B6F220FDA7);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/4FE00260-B318-4278-88A4-24B6F220FDA7/batches/D454E202-6178-4496-80AA-FD758B5C3577]
005061052_00201 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061052_00200 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061052_00189 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061052_00187 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061052_00185 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061058_00281 (imageset: F50E16EC-ED99-437D-A1B6-351DD6F3922D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F50E16EC-ED99-437D-A1B6-351DD6F3922D/batches/4164D6AB-E011-406E-B072-85EAE86903A9]
005062485_00319 (imageset: E7FA06B0-142F-4ED1-A9DB-0863281D8FD6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/E7FA06B0-142F-4ED1-A9DB-0863281D8FD6/batches/B47AB952-020A-460E-8735-0971768AA050]
005061052_00182 (imageset: B0A6FFBE-A41A-46D5-A2E8-115DAA64436A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/B0A6FFBE-A41A-46D5-A2E8-115DAA64436A/batches/F9B4A592-32E9-4EBD-8E95-9E071C1E58E6]
005061093_00124 (imageset: 9AB5D4A6-EB48-471D-A788-698A9743596A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/9AB5D4A6-EB48-471D-A788-698A9743596A/batches/91892A38-BFB8-4D4E-8E1E-2503D35C1FA6]
005061058_00301 (imageset: F50E16EC-ED99-437D-A1B6-351DD6F3922D);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/F50E16EC-ED99-437D-A1B6-351DD6F3922D/batches/4164D6AB-E011-406E-B072-85EAE86903A9]
005062518_00300 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
005062518_00289 (imageset: 6037811F-1F00-4DBD-B199-7D6F23283130);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80162B76-3194-40F7-8D24-50C52D349199/manage/6037811F-1F00-4DBD-B199-7D6F23283130/batches/D493ADD8-655E-47CB-9693-65B912CA135A]
