Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 95;
7615D610-3B74-41D7-829D-150F5C76DC35;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/83485550-95CB-4CAA-A8F1-687ECEE24ABC/batches/7615D610-3B74-41D7-829D-150F5C76DC35]
1045B5BE-490C-4035-BC15-29C35BE25CD2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/17B531F6-099C-4542-9AE8-4B1E1312BB3A/batches/1045B5BE-490C-4035-BC15-29C35BE25CD2]
68AFAFF0-E6FF-44CF-B9E3-41BDADF7D782;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/08F62CD3-F404-449F-8119-CABA6736466F/batches/68AFAFF0-E6FF-44CF-B9E3-41BDADF7D782]
4CC0E02E-3602-46F6-9B87-76810B273E15;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/D2CD8C9F-1A3A-486B-9AA6-DFD68EFF501A/batches/4CC0E02E-3602-46F6-9B87-76810B273E15]
B163340E-2D88-46DF-8141-3B0B84A95970;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/32A7AEAA-AA92-4F1A-894F-D5DC777E1BD0/batches/B163340E-2D88-46DF-8141-3B0B84A95970]
A80E53D4-93ED-4BDD-B489-2CA46783FE37;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/A022979F-74EC-4422-BBDA-0B69B8C54D88/batches/A80E53D4-93ED-4BDD-B489-2CA46783FE37]
36201A38-09D6-4368-A73C-F7BA89E889D9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/8D2CF3EF-A7B5-46AF-9728-8BB97AA4F2FB/batches/36201A38-09D6-4368-A73C-F7BA89E889D9]
1EDCF76D-0087-4917-9161-6ECB95834FA9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/D2CD8C9F-1A3A-486B-9AA6-DFD68EFF501A/batches/1EDCF76D-0087-4917-9161-6ECB95834FA9]
E8684255-538C-4A9A-AEF5-DF8621AC7B7F;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/11F8FE42-53F4-4F29-A559-C332285DC2DD/batches/E8684255-538C-4A9A-AEF5-DF8621AC7B7F]
A50EF740-8337-4DDA-9B6C-1468C6752845;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/83485550-95CB-4CAA-A8F1-687ECEE24ABC/batches/A50EF740-8337-4DDA-9B6C-1468C6752845]
31268C7D-DD5F-4D08-B71B-D23EF2456049;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/F7617A7B-7E9D-4B40-BA14-C0E718B6C9CC/batches/31268C7D-DD5F-4D08-B71B-D23EF2456049]
6D30362E-8D42-4BA6-BF64-8BF3F4F84028;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/53E2DFFA-5E8E-4E78-9509-B1CDD9897448/batches/6D30362E-8D42-4BA6-BF64-8BF3F4F84028]
676C2296-8554-4437-BDA5-B2BFC91F65AE;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/BC5DF330-8E6A-47CD-B8C2-14BE65440E9F/batches/676C2296-8554-4437-BDA5-B2BFC91F65AE]
39C965BE-7B54-41BA-9C6C-8ED62C3515ED;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/53E2DFFA-5E8E-4E78-9509-B1CDD9897448/batches/39C965BE-7B54-41BA-9C6C-8ED62C3515ED]
DC95C1AA-F2EE-4EE9-997F-AF6059587EC2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/F1A56A83-8E69-441F-96A9-1BCBCDF59DE5/batches/DC95C1AA-F2EE-4EE9-997F-AF6059587EC2]
A2BFAB4C-C78E-4308-8851-0248870ED15C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/F7617A7B-7E9D-4B40-BA14-C0E718B6C9CC/batches/A2BFAB4C-C78E-4308-8851-0248870ED15C]
3810EF83-5FA4-4DAE-9BA2-941C5E7E5E5E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/53E2DFFA-5E8E-4E78-9509-B1CDD9897448/batches/3810EF83-5FA4-4DAE-9BA2-941C5E7E5E5E]
7B663B1E-B6C8-4F43-B9F1-C46171DDE279;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/9BDD8604-CA39-43E6-91DF-49D1314DEA6E/batches/7B663B1E-B6C8-4F43-B9F1-C46171DDE279]
06ADA71C-157E-4A81-9B25-2E77E95AF7B5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/32A7AEAA-AA92-4F1A-894F-D5DC777E1BD0/batches/06ADA71C-157E-4A81-9B25-2E77E95AF7B5]
F4DFB59D-B4BA-432A-8E2D-38C8FEDBC515;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/6DFAC8E8-E561-4BDE-BA9F-AE6AD1DAA1F9/batches/F4DFB59D-B4BA-432A-8E2D-38C8FEDBC515]
E67BCC8F-0A59-4700-97C2-6CABCACDCFF2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/83485550-95CB-4CAA-A8F1-687ECEE24ABC/batches/E67BCC8F-0A59-4700-97C2-6CABCACDCFF2]
00B4A10D-C838-479F-8008-A9228DD02486;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/FCABAC88-EC2E-490C-803A-1F525337060F/batches/00B4A10D-C838-479F-8008-A9228DD02486]
48D058CA-DD54-4122-8BE0-BC1BCDBFA3A3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/08F62CD3-F404-449F-8119-CABA6736466F/batches/48D058CA-DD54-4122-8BE0-BC1BCDBFA3A3]
1CE7D3F4-C4D7-4F14-9F2A-15E61FF37F22;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/F7617A7B-7E9D-4B40-BA14-C0E718B6C9CC/batches/1CE7D3F4-C4D7-4F14-9F2A-15E61FF37F22]
174F3AAF-07F7-404D-8DD2-10210CA03115;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/A022979F-74EC-4422-BBDA-0B69B8C54D88/batches/174F3AAF-07F7-404D-8DD2-10210CA03115]
B5BCC3F3-8BA6-4565-9BCE-80BC24C12A25;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/08F62CD3-F404-449F-8119-CABA6736466F/batches/B5BCC3F3-8BA6-4565-9BCE-80BC24C12A25]
3C6197BC-651D-4876-B29A-0D46B6DE6A66;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/D2CD8C9F-1A3A-486B-9AA6-DFD68EFF501A/batches/3C6197BC-651D-4876-B29A-0D46B6DE6A66]
028ED845-4E65-4EB2-9FA8-8565188A681B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/BC5DF330-8E6A-47CD-B8C2-14BE65440E9F/batches/028ED845-4E65-4EB2-9FA8-8565188A681B]
5C94114F-ABB1-4E11-AF8B-1AE39659C429;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/8059A06F-2F57-459D-9351-1A2B27D083E6/manage/D6BA3FFD-AC84-4F74-A552-24247699353A/batches/5C94114F-ABB1-4E11-AF8B-1AE39659C429]
