Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 2;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 12;
007625331_01132 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/2CBF7AC8-60A0-4016-B8C2-588AED3308A7]
007625331_01033 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/397A7D89-2CF4-4C76-9339-87FD5B22E4D3]
007625331_01032 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/397A7D89-2CF4-4C76-9339-87FD5B22E4D3]
007625331_01134 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/2CBF7AC8-60A0-4016-B8C2-588AED3308A7]
007625331_01101 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/89E3D07C-1A61-4631-9CDB-F7DBF09D94A2]
007625331_01035 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/397A7D89-2CF4-4C76-9339-87FD5B22E4D3]
007625331_01034 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/397A7D89-2CF4-4C76-9339-87FD5B22E4D3]
007625331_01100 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/89E3D07C-1A61-4631-9CDB-F7DBF09D94A2]
007625331_01103 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/89E3D07C-1A61-4631-9CDB-F7DBF09D94A2]
007625331_01102 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/89E3D07C-1A61-4631-9CDB-F7DBF09D94A2]
007625331_00612 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/B8D2A02D-D1BD-4BE6-B232-E219B9808ADE]
007625331_00613 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/B8D2A02D-D1BD-4BE6-B232-E219B9808ADE]
007625331_00614 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/B8D2A02D-D1BD-4BE6-B232-E219B9808ADE]
007625331_00615 (imageset: 385CD535-B6EE-4781-9EE2-55BBDED00C66);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80B62061-E178-4C7A-89F4-5F1B50667205/manage/385CD535-B6EE-4781-9EE2-55BBDED00C66/batches/B8D2A02D-D1BD-4BE6-B232-E219B9808ADE]
