Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES: 6284;
ReportItem instance counts;;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE: 1086;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;IMAGE_NO_INDEXING_BATCH: 1086;
80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D;PROJECT;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL \\ PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/overview]
102153018_00789 (imageset: 04B0026E-C97F-4758-A536-7AD28114AE27);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/manage/04B0026E-C97F-4758-A536-7AD28114AE27/batches/962398BE-0D74-4E11-91F2-4BA101C9E114]
101836079_00166 (imageset: 3D7343DC-8C2A-4D52-8E79-B24E92F9051D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/manage/3D7343DC-8C2A-4D52-8E79-B24E92F9051D/batches/list]
102153018_00788 (imageset: 04B0026E-C97F-4758-A536-7AD28114AE27);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/manage/04B0026E-C97F-4758-A536-7AD28114AE27/batches/962398BE-0D74-4E11-91F2-4BA101C9E114]
102153018_00787 (imageset: 04B0026E-C97F-4758-A536-7AD28114AE27);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/manage/04B0026E-C97F-4758-A536-7AD28114AE27/batches/962398BE-0D74-4E11-91F2-4BA101C9E114]
101836087_00377 (imageset: 05D9647D-E160-4111-8C93-D7F7A837885D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/manage/05D9647D-E160-4111-8C93-D7F7A837885D/batches/list]
102153018_00793 (imageset: 04B0026E-C97F-4758-A536-7AD28114AE27);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/manage/04B0026E-C97F-4758-A536-7AD28114AE27/batches/962398BE-0D74-4E11-91F2-4BA101C9E114]
102153018_00792 (imageset: 04B0026E-C97F-4758-A536-7AD28114AE27);IMAGE;IMAGE_NOT_IN_IMAGE_EXPORT_TABLE \\ IMAGE_NO_INDEXING_BATCH \\ IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/manage/04B0026E-C97F-4758-A536-7AD28114AE27/batches/962398BE-0D74-4E11-91F2-4BA101C9E114]
101836087_00379 (imageset: 05D9647D-E160-4111-8C93-D7F7A837885D);IMAGE;IMAGE_NO_INDEXING_OR_BATCHING_BATCHES;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/80DE64CC-380E-4426-B2EC-EDAF6BA3AC3D/manage/05D9647D-E160-4111-8C93-D7F7A837885D/batches/list]
