Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_BLOCKED_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 5;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 95;
F69409EB-CBED-48E9-A681-3233EC6ED783;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/23247737-AF31-467B-971F-F2BFE01D4782/batches/F69409EB-CBED-48E9-A681-3233EC6ED783]
E50A05ED-CB4B-4615-8448-03827126067C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/F5C55205-ECCD-48BB-8D09-9F3A8D797865/batches/E50A05ED-CB4B-4615-8448-03827126067C]
B25479B6-B2C8-44DD-B28F-2D4DDEB67F09;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/EEA3D503-1D31-47F8-8950-C44A615EE728/batches/B25479B6-B2C8-44DD-B28F-2D4DDEB67F09]
71F66EB3-CC2A-4053-8501-A24607EE86E5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/B846A2EC-FD90-4648-8C4D-7EEC4B6197E0/batches/71F66EB3-CC2A-4053-8501-A24607EE86E5]
8BAD9A4B-1A5B-41D4-A518-FF992A5398A3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/6CE91EB1-230B-4B6F-81F5-BCA71F74F037/batches/8BAD9A4B-1A5B-41D4-A518-FF992A5398A3]
D9A7579E-47FE-40BB-9A71-D9D57A19F70A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/6CE91EB1-230B-4B6F-81F5-BCA71F74F037/batches/D9A7579E-47FE-40BB-9A71-D9D57A19F70A]
8C70A48C-10C9-41E2-94DA-7F918F49039B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/1F41F180-36A3-401E-85C0-CA0FFC3B3B21/batches/8C70A48C-10C9-41E2-94DA-7F918F49039B]
3BB6A5FF-CFD2-4384-B47F-53BD11BF7329;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/06B8812A-225B-46EA-BF1E-AE5C8DF2175A/batches/3BB6A5FF-CFD2-4384-B47F-53BD11BF7329]
4B598598-15DA-4212-8128-B98128420B30;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/6CE91EB1-230B-4B6F-81F5-BCA71F74F037/batches/4B598598-15DA-4212-8128-B98128420B30]
48FE5D85-BF0B-40F8-8D58-F3F06DB6DD7E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/78EC5427-2ADB-4BE2-8339-B4058AB62FB1/batches/48FE5D85-BF0B-40F8-8D58-F3F06DB6DD7E]
73F6F121-AEE4-46EB-B5B1-F6BE6B7ADC15;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/6589FB72-044A-4C91-9106-41C0699A7294/batches/73F6F121-AEE4-46EB-B5B1-F6BE6B7ADC15]
E4120C93-C527-4646-8F56-B0C365EA1A9C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/A46F4F95-CC33-4292-A5D4-526DE0D1B12A/batches/E4120C93-C527-4646-8F56-B0C365EA1A9C]
A2179253-BE3A-4138-AE30-87C8FFF19B22;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/6CE91EB1-230B-4B6F-81F5-BCA71F74F037/batches/A2179253-BE3A-4138-AE30-87C8FFF19B22]
845CF2B7-CD83-40D2-9922-8B2D190E5408;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/6532DCBB-88EE-4DAF-BE85-320959D81EEF/batches/845CF2B7-CD83-40D2-9922-8B2D190E5408]
048F9637-E399-4E30-BC6E-0FCEBEF13821;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/C7FA71CE-E445-4462-9F92-1DF4FF288C67/batches/048F9637-E399-4E30-BC6E-0FCEBEF13821]
97476AC3-EFAB-4471-8F36-3469DB9BA995;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/77F2BCC7-0CA7-43BE-9DEF-D5B3DC2026C3/batches/97476AC3-EFAB-4471-8F36-3469DB9BA995]
FB1095C9-9A80-4CCC-9391-D585B76F4899;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/FCBCE338-F124-4254-93E0-4BC9F97A845F/batches/FB1095C9-9A80-4CCC-9391-D585B76F4899]
DA4B6CEC-4403-476D-B3B2-7AE87B6F6ACD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/FFBA3312-77D9-4F38-8039-4C0B4338E1AB/batches/DA4B6CEC-4403-476D-B3B2-7AE87B6F6ACD]
0B78CA3A-71C2-48CE-B6F6-595B4D1540FF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/C74A01B5-45F7-4C8F-B3DD-041FF80105E6/batches/0B78CA3A-71C2-48CE-B6F6-595B4D1540FF]
72DC36EC-F0AB-4C7E-A5F4-E35132C75FEA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/06B8812A-225B-46EA-BF1E-AE5C8DF2175A/batches/72DC36EC-F0AB-4C7E-A5F4-E35132C75FEA]
A3BACFB3-34EB-4BEA-BA71-51CEB3E1C2A3;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/B388E347-2A7B-4926-BC5F-AC3F54436DED/batches/A3BACFB3-34EB-4BEA-BA71-51CEB3E1C2A3]
8A90A5D3-F9A5-4A33-AB96-AC00811D5DFF;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/EEA3D503-1D31-47F8-8950-C44A615EE728/batches/8A90A5D3-F9A5-4A33-AB96-AC00811D5DFF]
61D225A3-25CC-4918-BE18-5B13C4E17BA5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/11678515-3C51-4530-B99C-88897A1940C3/batches/61D225A3-25CC-4918-BE18-5B13C4E17BA5]
17A22D73-3BC0-4818-8290-069FE306FBFD;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/F5C55205-ECCD-48BB-8D09-9F3A8D797865/batches/17A22D73-3BC0-4818-8290-069FE306FBFD]
E5EA8B6A-D73C-4DE5-A994-7D616BE8BF3F;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/3C07EE17-814A-4F2F-A4B6-F262316CC953/batches/E5EA8B6A-D73C-4DE5-A994-7D616BE8BF3F]
938FE04F-3FA8-412B-AD9B-86B53375299E;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/D07E0321-A370-4961-A006-B6F8586DD910/batches/938FE04F-3FA8-412B-AD9B-86B53375299E]
3E0D058D-4733-4758-87C9-1461F09E3D3A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/05894621-9E55-4AD3-A99F-16006A453B47/batches/3E0D058D-4733-4758-87C9-1461F09E3D3A]
2AB7E447-66D8-4905-8A4C-2410B3A8096C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/06B8812A-225B-46EA-BF1E-AE5C8DF2175A/batches/2AB7E447-66D8-4905-8A4C-2410B3A8096C]
540BE745-47F9-4D01-81B4-9E2BDC111CC9;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/814B5F77-37C6-4AD0-A8B1-57446DB7BD7B/manage/5E4FEFB1-E41C-4303-9CF6-1233DB28535E/batches/540BE745-47F9-4D01-81B4-9E2BDC111CC9]
