Item;Item Type;Note;Item Link
ReportItem instance counts;;PROJECT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT_AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;BATCH_HAS_NO_RESOURCES: 1;
ReportItem instance counts;;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 1516;
ReportItem instance counts;;BATCH_IMAGESET_NOT_IN_PROJECT: 1;
ReportItem instance counts;;BATCH_NOT_IN_IMAGE_EXPORT_TABLE: 30359;
ReportItem instance counts;;BATCH_NO_WORKFLOW_STATE: 31875;
F15439F5-50A1-4AA2-8E64-69BBACF8340C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_HAS_NO_RESOURCES \\ BATCH_IMAGESET_NOT_IN_PROJECT \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/CD1DE67C-FF2B-4CF8-B8B5-D05F42B22CFF/batches/F15439F5-50A1-4AA2-8E64-69BBACF8340C]
5866DD7B-EFC7-4E00-889A-7CF84815601A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/5C89F97A-C751-4E19-A9C0-373D1C833442/batches/5866DD7B-EFC7-4E00-889A-7CF84815601A]
7D194E4F-138C-48F0-B6A9-85187D5E1B37;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/C9FE1BCF-A492-42E1-B5E8-319B8B243F35/batches/7D194E4F-138C-48F0-B6A9-85187D5E1B37]
2BF9EEFF-E607-41F0-BBF2-B3E221B701E6;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/ED7C4289-AE4A-447B-8B09-57C67E8A7D50/batches/2BF9EEFF-E607-41F0-BBF2-B3E221B701E6]
2EAA4F12-9F30-4171-8CB4-729E4663D631;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/5C89F97A-C751-4E19-A9C0-373D1C833442/batches/2EAA4F12-9F30-4171-8CB4-729E4663D631]
EDBAFD79-F654-401B-96EB-3F8774F36E18;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/B9C36BCA-892E-4AFA-9C4A-EBC97ED6D892/batches/EDBAFD79-F654-401B-96EB-3F8774F36E18]
B9C49AFA-ACE1-4128-B442-04A5B2AE1487;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/26B4F926-B11D-4DEE-8F19-8B8572A82D2D/batches/B9C49AFA-ACE1-4128-B442-04A5B2AE1487]
1B00DF27-4996-4BBB-BCFF-C1DA5041A8A2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/A1A034AE-786F-4A42-AE6B-97980CF23D10/batches/1B00DF27-4996-4BBB-BCFF-C1DA5041A8A2]
3E6CF389-883B-431B-980D-202FE70FFA7B;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/B4C3C6F2-7F6F-46F2-8F23-5326347B5778/batches/3E6CF389-883B-431B-980D-202FE70FFA7B]
1E7F74EA-6491-4475-A04D-DAC7E372EA7A;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/8A97D840-125B-4682-B48C-797A02F73609/batches/1E7F74EA-6491-4475-A04D-DAC7E372EA7A]
46082275-DDD6-4F18-A3CB-0371E9A2B95E;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/9B3C3EC1-0EC7-4343-89CF-2C477ED84E9E/batches/46082275-DDD6-4F18-A3CB-0371E9A2B95E]
E5F1DA0A-FDF8-4741-A2F6-3A6C754513DA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/A1A034AE-786F-4A42-AE6B-97980CF23D10/batches/E5F1DA0A-FDF8-4741-A2F6-3A6C754513DA]
7BD0B8F3-3936-4CE7-A034-695C0D27C2D5;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/A1A034AE-786F-4A42-AE6B-97980CF23D10/batches/7BD0B8F3-3936-4CE7-A034-695C0D27C2D5]
46775448-AE24-4F1C-ACD1-EEB192ECCA25;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/4F9D2C75-1E8C-4647-9FD2-2F69226FC5F2/batches/46775448-AE24-4F1C-ACD1-EEB192ECCA25]
D10B772D-4C40-427C-8841-E42374DA1C25;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/B4C3C6F2-7F6F-46F2-8F23-5326347B5778/batches/D10B772D-4C40-427C-8841-E42374DA1C25]
4B36582E-AA91-44B8-8A22-026FEE3DAEEA;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/5CD3C8E3-2B08-464C-9041-AEA458A2EE22/batches/4B36582E-AA91-44B8-8A22-026FEE3DAEEA]
4FC8864D-4368-4EA6-89F3-C6EE1664BEEC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/F762B60B-7418-4256-AE4D-3576A2434652/batches/4FC8864D-4368-4EA6-89F3-C6EE1664BEEC]
B1255756-356C-4135-91DC-36A3EFBE74FB;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/4F9D2C75-1E8C-4647-9FD2-2F69226FC5F2/batches/B1255756-356C-4135-91DC-36A3EFBE74FB]
C4A0DE40-B042-4CC4-A388-B375A94F7D70;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/832F1DA1-62F4-432E-8B7D-BACD1E35DF37/batches/C4A0DE40-B042-4CC4-A388-B375A94F7D70]
8D3AE2CE-FD72-4AEE-AB64-F0F2D367BFAA;BATCH;AUDIT_BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/CD1DE67C-FF2B-4CF8-B8B5-D05F42B22CFF/batches/8D3AE2CE-FD72-4AEE-AB64-F0F2D367BFAA]
78F355DB-3772-41DD-AF2D-75B621F26909;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/B9356A78-DC75-435A-8F0B-FE3416CDFEF3/batches/78F355DB-3772-41DD-AF2D-75B621F26909]
FE037C68-B101-4888-AF2A-F43A116E2325;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/5CD3C8E3-2B08-464C-9041-AEA458A2EE22/batches/FE037C68-B101-4888-AF2A-F43A116E2325]
EE4D90A2-0854-4417-917D-D92C74D58EEC;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/5C89F97A-C751-4E19-A9C0-373D1C833442/batches/EE4D90A2-0854-4417-917D-D92C74D58EEC]
B5477DBA-AE0F-4B3C-92A8-8F914D6D1CB2;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/3AE221EF-30B1-40D9-B12A-ACD07D9AE74C/batches/B5477DBA-AE0F-4B3C-92A8-8F914D6D1CB2]
BC45E299-0E0E-44D2-900D-A70581EC814C;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/AC67CD47-1DA0-449F-945E-01A0FEDF04A7/batches/BC45E299-0E0E-44D2-900D-A70581EC814C]
02A9F9FC-F285-444D-9738-D9BEAECF0469;BATCH;BATCH_NOT_IN_IMAGE_EXPORT_TABLE \\ BATCH_NO_WORKFLOW_STATE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/831FDF3A-3E4A-4768-A799-FD8ABEE2101A/manage/4DF6E543-5909-4BE8-875B-15146B9D1636/batches/02A9F9FC-F285-444D-9738-D9BEAECF0469]
