Item;Item Type;Note;Item Link
ReportItem instance counts;;BATCH:NOT_IN_IMAGE_EXPORT_TABLE: 100;
ReportItem instance counts;;PROJECT:IMAGE_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:BATCH_COUNTS_ARE_NOT_EQUAL: 1;
ReportItem instance counts;;PROJECT:AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL: 1;
834A940F-1D0C-43C4-9E77-75D11307DA13;PROJECT;BATCH_COUNTS_ARE_NOT_EQUAL \\ AUDIT_BATCH_COUNTS_ARE_NOT_EQUAL \\ IMAGE_COUNTS_ARE_NOT_EQUAL;[PROJECT|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/overview]
AD156C10-098B-4957-B2BE-FD69DEE53A1D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/E062C319-2A8B-4278-A647-BB300CA0C49A/batches/AD156C10-098B-4957-B2BE-FD69DEE53A1D]
FF706FD1-D186-469B-B9CC-5CB9FE2C0435;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/4943FBF9-009D-4DF8-89DC-A3C6FA41F1EA/batches/FF706FD1-D186-469B-B9CC-5CB9FE2C0435]
DE9D8B1C-312E-4E99-AD2F-2818F454F1DA;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/BE0BC2A1-4B26-4006-9C26-B5B5B7A43D2C/batches/DE9D8B1C-312E-4E99-AD2F-2818F454F1DA]
604DD936-D73B-4787-8142-E7B292756555;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/432A18E1-A0D6-444A-B0A6-008DB86D8D9B/batches/604DD936-D73B-4787-8142-E7B292756555]
B990BA61-619E-4BC9-A626-B0B7BF1CEE8D;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/1A8A3346-67E1-4B74-8122-0284E90DA196/batches/B990BA61-619E-4BC9-A626-B0B7BF1CEE8D]
5985EF8B-E897-4897-897F-4A598A7EF3A3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/5D183080-31FB-42CE-B295-E4FCFD8D8B4E/batches/5985EF8B-E897-4897-897F-4A598A7EF3A3]
F46853B9-91E1-4D28-987E-E5ADDB6F2B25;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/C872A4A5-869F-4207-A041-AD26931FB384/batches/F46853B9-91E1-4D28-987E-E5ADDB6F2B25]
91F860D6-6A2F-4E35-9856-E86D795FBC54;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/E99963A8-6904-4975-979E-EEB2AC12CE5F/batches/91F860D6-6A2F-4E35-9856-E86D795FBC54]
0E5EF9C9-04B1-472D-8690-7E842F3C6F9F;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/3D1ADEDF-23B1-4C8C-85C5-3E919CF6EDF2/batches/0E5EF9C9-04B1-472D-8690-7E842F3C6F9F]
D11265F3-95C6-45F0-8419-5A8711620454;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/985DFD55-DAB3-46AB-B2A5-636F82F248D6/batches/D11265F3-95C6-45F0-8419-5A8711620454]
9D1616B6-CA7F-4260-8E9F-8F9FE5635EE3;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/248C1706-CFBD-47D0-BBED-348CB98B3A91/batches/9D1616B6-CA7F-4260-8E9F-8F9FE5635EE3]
F96C9320-5DBD-4521-A1ED-2B2F4A8629E8;BATCH;NOT_IN_IMAGE_EXPORT_TABLE;[BATCH|https://www.familysearch.org/indexing/admin-new/#/projects/834A940F-1D0C-43C4-9E77-75D11307DA13/manage/985DFD55-DAB3-46AB-B2A5-636F82F248D6/batches/F96C9320-5DBD-4521-A1ED-2B2F4A8629E8]
