Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA: 7;
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 2;
101410829 (ED5D3B0C-AD24-46C3-B8D7-F852DD71D6B2);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/ED5D3B0C-AD24-46C3-B8D7-F852DD71D6B2/batches/list]
101410827 (71084887-9842-4605-BFB9-04B7B617E6C0);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/71084887-9842-4605-BFB9-04B7B617E6C0/batches/list]
101410826 (BA85EADE-2701-4473-9A8C-DA5F53CCD560);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/BA85EADE-2701-4473-9A8C-DA5F53CCD560/batches/list]
101370300 (95ACA860-DF28-451E-A17F-CAC51C76D129);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/95ACA860-DF28-451E-A17F-CAC51C76D129/batches/list]
101410828 (296F3114-9295-4B74-9AC3-D3BC22D17319);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/296F3114-9295-4B74-9AC3-D3BC22D17319/batches/list]
101394064 (4BBEE5D3-9AE1-4D66-AE1F-508773593D8D);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/4BBEE5D3-9AE1-4D66-AE1F-508773593D8D/batches/list]
101410825 (22685E54-9D17-411E-8A4D-F5817E0FC67E);IMAGESET;IMAGESET_NOT_ASSIGNED_TO_THIS_PROJECT_IN_ROSETTA;[IMAGESET|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/22685E54-9D17-411E-8A4D-F5817E0FC67E/batches/list]
101370300_00077 (imageset: 95ACA860-DF28-451E-A17F-CAC51C76D129);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/95ACA860-DF28-451E-A17F-CAC51C76D129/batches/7685ABC2-6BDC-419B-81A1-B661D877BAC0]
101370300_00124 (imageset: 95ACA860-DF28-451E-A17F-CAC51C76D129);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8401DC4C-DA4A-4D7F-8C13-F461408BADF9/manage/95ACA860-DF28-451E-A17F-CAC51C76D129/batches/836E4563-B22B-4F50-BB0C-751BB7237804]
