Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_REJECTED_STATE: 42;
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 19;
106007508_00231 (imageset: D6A60118-08F0-4B46-A180-929515759622);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/D6A60118-08F0-4B46-A180-929515759622/batches/65CC0784-C3C7-4715-A78D-645791649BAC]
105829431_00380 (imageset: 249106F2-74F2-45DB-BA39-0F80861C2F87);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/249106F2-74F2-45DB-BA39-0F80861C2F87/batches/8BDDECAA-36B7-4FE7-9F62-21B9033B2F5F]
106007509_00003 (imageset: 9E6F0A61-0E1A-4CF5-91FF-9E4E94E9E12C);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/9E6F0A61-0E1A-4CF5-91FF-9E4E94E9E12C/batches/5B8EAD5C-7F90-4F3B-A991-BDBADC4106FF]
105829431_00381 (imageset: 249106F2-74F2-45DB-BA39-0F80861C2F87);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/249106F2-74F2-45DB-BA39-0F80861C2F87/batches/8BDDECAA-36B7-4FE7-9F62-21B9033B2F5F]
106007604_00043 (imageset: 4ABE7280-0770-4FA4-8099-5BC7AA6EBBD2);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/4ABE7280-0770-4FA4-8099-5BC7AA6EBBD2/batches/193599E1-BCD2-4F5C-90B1-8F94C7E34C60]
105829431_00384 (imageset: 249106F2-74F2-45DB-BA39-0F80861C2F87);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/249106F2-74F2-45DB-BA39-0F80861C2F87/batches/5E9F49B7-2455-4240-92BA-A4449133BE0F]
106007465_00384 (imageset: 18455796-6CCA-44F4-B90E-693C8C52B53E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/18455796-6CCA-44F4-B90E-693C8C52B53E/batches/1C4CBED6-5F28-483E-9B91-EA40C35ECA73]
106007465_00385 (imageset: 18455796-6CCA-44F4-B90E-693C8C52B53E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/18455796-6CCA-44F4-B90E-693C8C52B53E/batches/1C4CBED6-5F28-483E-9B91-EA40C35ECA73]
106007507_00187 (imageset: 7509EBEF-0BB2-4A72-B20B-5CF668B8C2AC);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/7509EBEF-0BB2-4A72-B20B-5CF668B8C2AC/batches/87F7ADB0-05BD-4E47-B226-96CFEA44F807]
105829424_00452 (imageset: 451FCB6E-98B5-43CB-B280-E50E3F56CB3A);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/451FCB6E-98B5-43CB-B280-E50E3F56CB3A/batches/A6AD376F-DC4A-4C55-87A8-928EE34B8313]
106007602_00229 (imageset: F0DB2AB1-96D1-4A36-814B-711DB33431EB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/F0DB2AB1-96D1-4A36-814B-711DB33431EB/batches/A3ECFAED-E330-44DA-A434-F1DFCFB8D83E]
106007507_00101 (imageset: 7509EBEF-0BB2-4A72-B20B-5CF668B8C2AC);IMAGE;IMAGE_IN_REJECTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/7509EBEF-0BB2-4A72-B20B-5CF668B8C2AC/batches/46A3B0CE-3D65-4FA3-B688-F90DCCDE4BDB]
106007602_00228 (imageset: F0DB2AB1-96D1-4A36-814B-711DB33431EB);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/863FD023-B538-4720-B86E-8681CF13B846/manage/F0DB2AB1-96D1-4A36-814B-711DB33431EB/batches/A3ECFAED-E330-44DA-A434-F1DFCFB8D83E]
