Item;Item Type;Note;Item Link
ReportItem instance counts;;IMAGE_IN_EXPORTED_STATE: 61;
004652359_00237 (imageset: 1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5/batches/2FA1788B-A1FB-4FC4-B803-FE83D76DA950]
004652363_00569 (imageset: 8F04D799-07DE-4894-9908-E99EFD83EB14);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/8F04D799-07DE-4894-9908-E99EFD83EB14/batches/1EC75D93-A8D8-4B77-A031-5855F0870155]
004652358_00422 (imageset: ABFDBBE2-A8DA-45F4-B48A-C00F84423160);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/ABFDBBE2-A8DA-45F4-B48A-C00F84423160/batches/24BA9748-D4BB-477D-99BE-92C812FE9957]
004652369_00159 (imageset: AF4FEA65-3483-4676-9F44-E3DACCD74577);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/AF4FEA65-3483-4676-9F44-E3DACCD74577/batches/3AC24723-8162-451B-95CC-875DB3599456]
004652361_00069 (imageset: F12DE829-C50D-4F8E-BF92-4E34936BA770);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/F12DE829-C50D-4F8E-BF92-4E34936BA770/batches/04269F92-36C9-4AEB-9DBB-0050B04DFC68]
004652360_00050 (imageset: 8FD768E1-B983-4181-AFE6-C2F35899C29E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/8FD768E1-B983-4181-AFE6-C2F35899C29E/batches/154D0262-94BC-4974-8D70-24B96CF0A1F1]
004652364_00017 (imageset: FADB295E-3388-4D33-BEED-AF9896E77240);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/FADB295E-3388-4D33-BEED-AF9896E77240/batches/BFCAE8E5-1095-4FE3-84B3-A11CA1572EED]
004652359_00273 (imageset: 1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5/batches/8C256DCF-0829-4EF9-860C-6116A0C47D8C]
004652360_00176 (imageset: 8FD768E1-B983-4181-AFE6-C2F35899C29E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/8FD768E1-B983-4181-AFE6-C2F35899C29E/batches/65FD8B78-B955-4617-A72A-455B99F4117D]
004652359_00274 (imageset: 1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5/batches/8C256DCF-0829-4EF9-860C-6116A0C47D8C]
004652375_00033 (imageset: 29A5B749-8247-4435-BA93-B6ACF8B5408A);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/29A5B749-8247-4435-BA93-B6ACF8B5408A/batches/415DE3F7-32CC-414D-BEFF-25F87CCAA294]
004652359_00271 (imageset: 1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5/batches/8C256DCF-0829-4EF9-860C-6116A0C47D8C]
004652359_00272 (imageset: 1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/1D25B9B6-6900-4A75-B2A4-D4E51B71DDC5/batches/8C256DCF-0829-4EF9-860C-6116A0C47D8C]
004652368_00303 (imageset: 344134AF-7270-424F-96F1-8B3952FF5819);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/344134AF-7270-424F-96F1-8B3952FF5819/batches/9E3DD147-BB81-426C-92F6-33B47828E10D]
004652360_00572 (imageset: 8FD768E1-B983-4181-AFE6-C2F35899C29E);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/8FD768E1-B983-4181-AFE6-C2F35899C29E/batches/EA2D3599-F2BD-4AE9-8B88-3AD5E94FD7FB]
004652357_00338 (imageset: 0E5C722E-8211-4EB3-BB01-F99181DE2459);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/0E5C722E-8211-4EB3-BB01-F99181DE2459/batches/4BA1D925-568B-4782-84A2-86AFEBF4F724]
004652366_00441 (imageset: E4C3FDF8-4E0F-4728-84D5-E4997CAFD3D3);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/E4C3FDF8-4E0F-4728-84D5-E4997CAFD3D3/batches/F2511064-26B1-4D5A-ACF2-601AEB38336E]
004652365_00517 (imageset: 7FB655BA-2760-4A7E-8A9B-2215A38888A6);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/7FB655BA-2760-4A7E-8A9B-2215A38888A6/batches/36EB18B1-18DB-4F37-BF99-5DF36F9FEBB6]
004652357_00135 (imageset: 0E5C722E-8211-4EB3-BB01-F99181DE2459);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/0E5C722E-8211-4EB3-BB01-F99181DE2459/batches/904C804C-81D1-4B7D-ABC4-D80B6E4B0561]
004652357_00055 (imageset: 0E5C722E-8211-4EB3-BB01-F99181DE2459);IMAGE;IMAGE_IN_EXPORTED_STATE;[IMAGE|https://www.familysearch.org/indexing/admin-new/#/projects/8747E6BD-E219-427D-8910-6F3D3558761B/manage/0E5C722E-8211-4EB3-BB01-F99181DE2459/batches/18C602D8-2769-46F5-B08F-3A63346024DC]
